 	le	pain	est	bourré	de	petites	fourmis	</S>
m	0.520625	0.328803	0.0670361	0.0326656	0.0242659	0.0130898	0.0102561	0.0032586
á	0.0621721	0.608216	0.135577	0.0180206	0.041266	0.0790718	0.00462451	0.0510528
p	0.163369	0.788695	0.0148499	0.0022202	0.00413683	0.0115837	0.0111272	0.00401825
a	0.0644629	0.664037	0.0926477	0.0218294	0.0154959	0.0162864	0.087969	0.0372714
a	0.115407	0.413145	0.138336	0.0583645	0.0176902	0.0237966	0.0519413	0.181319
d	0.0585186	0.0116009	0.336692	0.274226	0.10869	0.135062	0.0229425	0.0522673
i	0.0108334	0.0130752	0.224325	0.065537	0.0785593	0.0711259	0.019582	0.516962
l	0.00875831	0.00357672	0.179453	0.195333	0.179711	0.0884129	0.0508137	0.29394
a	0.00890895	0.00821259	0.186265	0.164512	0.110166	0.124876	0.074696	0.322363
k	0.0211841	0.0125404	0.150665	0.0563802	0.0912302	0.135272	0.312344	0.220385
ώ	0.00218848	0.00799473	0.0210792	0.106582	0.0486039	0.0289808	0.715186	0.0693857
i	0.00134918	0.00521391	0.0397478	0.299067	0.140364	0.106268	0.33059	0.0774001
</S>	0.00362589	0.00128465	0.0451422	0.173808	0.240548	0.194086	0.118894	0.222611
