 	on	brûle	les	herbes	</S>
b	0.979196	0.0127552	0.00727279	0.00063202	0.000144212
á	0.591446	0.0762123	0.31419	0.013348	0.00480354
a	0.797268	0.125305	0.0239964	0.0117787	0.0416517
t	0.374586	0.435337	0.130246	0.00662161	0.0532096
u	0.0130452	0.813655	0.0317189	0.052465	0.0891158
m	0.0446685	0.407454	0.135221	0.0528717	0.359785
b	0.0457901	0.288475	0.205766	0.123404	0.336564
á	0.0728728	0.0212956	0.250625	0.123472	0.531734
a	0.236121	0.0138177	0.226585	0.384638	0.138839
t	0.0142177	0.015085	0.237232	0.655163	0.0783027
í	0.000435692	0.00541956	0.0596252	0.887224	0.0472956
t	0.00213761	0.00771923	0.0374154	0.837448	0.11528
i	0.00129431	0.00281673	0.0593907	0.774856	0.161642
</S>	0.00277128	0.00335988	0.0900881	0.301225	0.602556
