 	ils	se	sont	brouillés	</S>
b	0.933576	0.0582629	0.00639536	0.000909663	0.000856527
á	0.776306	0.198857	0.0233341	0.000632219	0.000870242
a	0.911598	0.0818302	0.00423179	0.000345685	0.00199421
á	0.098111	0.656069	0.201882	0.00641577	0.0375225
k	0.00891258	0.403317	0.416534	0.12518	0.0460555
a	0.00448466	0.342391	0.30833	0.201071	0.143724
b	0.00254557	0.255577	0.337519	0.249553	0.154806
h	0.0158876	0.187177	0.326875	0.129947	0.340114
i	0.0312907	0.165213	0.181377	0.279118	0.343002
l	0.0437718	0.0689179	0.16092	0.198363	0.528027
i	0.00216392	0.0163721	0.134176	0.305506	0.541783
l	0.0052817	0.0202862	0.10239	0.228155	0.643887
a	0.00663572	0.0243695	0.127022	0.245307	0.596666
b	0.00888023	0.0192093	0.10912	0.264607	0.598184
i	0.154778	0.0909943	0.259011	0.411096	0.0841216
a	0.00725309	0.0410561	0.131744	0.113631	0.706315
</S>	0.00401295	0.0391993	0.217981	0.0453237	0.693483
