 	le	chef	ne	tient	pas	compte	de	certaines	lois	</S>
o	0.923172	0.0213246	0.0404916	0.00217601	0.00560475	0.000519816	0.00376722	0.00180934	0.001098	3.67119e-05
k	0.00515302	0.991971	0.00141258	0.000246164	0.000157148	0.000163871	0.000164886	0.000113623	0.000429809	0.000188189
o	0.000292518	0.998874	0.000167596	3.46907e-05	8.57644e-05	0.000240473	9.26666e-05	2.81642e-05	7.90126e-05	0.000104915
n	0.000325925	0.997256	0.00137322	0.00010252	0.000113285	0.000292757	0.000169194	0.000105854	6.74166e-05	0.000194051
d	0.118878	0.756077	0.0341233	0.0095118	0.0160369	0.0123698	0.0133098	0.00713711	0.00528016	0.0272752
z	0.180808	0.744907	0.0361848	0.00775412	0.00371784	0.000824917	0.00162971	0.000514071	0.000580732	0.0230783
i	0.160868	0.595288	0.0625591	0.0121712	0.00754779	0.00682266	0.0082049	0.00236066	0.00489522	0.139283
l	0.0431705	0.000727645	0.657519	0.244009	0.0381861	0.00587435	0.00505866	0.000812355	0.000608625	0.00403451
á	0.0263291	0.000485389	0.0710693	0.484081	0.0808463	0.0225373	0.0262422	0.0278668	0.00177475	0.258768
a	0.100803	0.000207138	0.143687	0.201073	0.296926	0.0209922	0.0532588	0.165722	0.00466172	0.0126688
y	0.00588973	0.0119938	0.00457974	0.191122	0.107108	0.59742	0.0297048	0.0135559	0.00983107	0.0287951
é	0.00381042	0.000664893	0.00798087	0.198679	0.102557	0.371704	0.0707393	0.22002	0.00434181	0.0195024
l	0.00272409	0.000120297	0.0244834	0.269969	0.127484	0.358245	0.08281	0.0517873	0.0047819	0.0775949
á	0.00145677	0.000138602	0.0156359	0.182486	0.18187	0.216111	0.251844	0.0943786	0.00437598	0.0517029
á	0.00445975	0.00014043	0.0245971	0.0909896	0.185244	0.0905606	0.125733	0.41977	0.0294918	0.0290147
m	0.00749107	0.000271992	0.00578668	0.0317435	0.0617215	0.0365097	0.184907	0.472236	0.0824701	0.116863
b	0.00237446	9.78226e-05	0.00168048	0.00173775	0.0170825	0.0136485	0.0785423	0.153758	0.513895	0.217183
a	0.000202734	2.59465e-05	0.000459198	0.000477588	0.00295518	0.00269263	0.0235455	0.0503008	0.896065	0.0232753
o	0.000882587	0.000274266	0.00196645	0.000687372	0.00227913	0.00528843	0.0219194	0.0161523	0.802194	0.148356
y	0.00239906	0.000421356	0.0103122	0.00559079	0.0675982	0.0366012	0.254605	0.218513	0.0914259	0.312534
e	0.00694477	0.000455013	0.0122157	0.0127746	0.0463157	0.037076	0.144727	0.603866	0.0502877	0.0853376
n	0.00194789	0.0003115	0.00378731	0.00219712	0.0157322	0.00451269	0.103371	0.722235	0.0156228	0.130282
á	0.000473116	3.31629e-05	0.000305271	0.00214398	0.00209388	0.000481744	0.0161081	0.907421	0.00388459	0.0670547
</S>	0.000452372	6.48252e-05	0.00187066	0.00344188	0.0123009	0.00760465	0.0712165	0.0784072	0.0104205	0.81422
