 	je	m'	en	vais	réclamer	ma	dette	</S>
n	0.978796	0.0171139	0.00214014	0.000107529	9.5337e-06	0.00164059	0.000156258	3.57639e-05
g	0.904423	0.0886292	0.00311217	0.000272836	1.81649e-05	0.00328555	0.000191984	6.71769e-05
á	0.772051	0.188443	0.0335745	0.00316962	0.00058882	0.000758486	0.00130617	0.0001076
í	0.0563176	0.341872	0.232155	0.0657825	0.0155859	0.0467554	0.0154074	0.226124
m	0.00568528	0.0833841	0.679813	0.182282	0.0303468	0.00508139	0.00444424	0.00896268
o	0.000516598	0.0485813	0.740555	0.173006	0.0240136	0.00258548	0.00343734	0.00730509
d	8.55932e-05	0.00129914	0.250662	0.675275	0.0649422	0.00037877	0.00273697	0.00461981
z	0.000194969	0.00432949	0.178268	0.356152	0.446138	0.000318795	0.00490533	0.00969263
w	0.00238681	0.00786817	0.208049	0.752504	0.0272265	0.000112489	0.00105069	0.000801979
á	0.00262654	0.00914462	0.374777	0.571516	0.0292368	0.00275165	0.00303078	0.00691688
o	0.000858253	0.0520417	0.085044	0.288157	0.246718	0.254871	0.0473709	0.0249398
f	5.4877e-05	0.000408312	0.00479307	0.0769788	0.89412	0.00610673	0.0138419	0.00369621
ú	1.12672e-05	0.000120711	0.00113825	0.0258024	0.952841	0.00137398	0.00880284	0.00990932
b	2.57533e-05	9.8801e-05	0.00212151	0.0757059	0.905824	0.000305564	0.0025844	0.0133336
h	0.00441577	0.00249758	0.00711339	0.41535	0.358737	0.00414825	0.00813884	0.199599
á	0.00346419	0.00171394	0.00471916	0.023235	0.144797	0.0616073	0.0449662	0.715497
e	0.00115085	0.00556309	0.00478296	0.00480418	0.0130285	0.802468	0.125787	0.0424155
b	0.000343737	0.000646942	0.001335	0.00842304	0.0631779	0.0567656	0.733182	0.136126
y	0.00100945	0.00190909	0.00226256	0.00229362	0.0154794	0.0589581	0.823614	0.0944738
é	5.23089e-06	2.82379e-05	5.22817e-05	0.000964592	0.0312615	0.00325716	0.910133	0.0542979
m	1.41207e-06	1.69373e-05	0.000494503	0.00945539	0.112493	0.026186	0.54249	0.308862
b	0.000157327	5.79988e-05	0.000321858	0.00628731	0.00756178	0.0526537	0.549374	0.383586
o	0.0010268	0.000134522	0.000710923	0.00680762	0.0358142	0.0366504	0.323011	0.595845
</S>	0.000134602	0.000611483	0.00190419	0.00159613	0.00464084	0.25772	0.044949	0.688443
