 	la	lie	du	vin	de	palme	est	restée	dans	le	fond	de	la	calebasse	</S>
m	0.309212	0.520788	0.14013	0.00355061	0.0164312	0.00393087	0.00132544	0.00130356	0.000431849	0.000530194	0.000413435	0.00032013	0.0014148	0.000202058	1.56075e-05
b	0.0214931	0.735655	0.185017	0.00806016	0.012431	0.0131585	0.00421023	0.000650901	0.0019642	0.00251145	0.00104109	0.00187272	0.00995207	0.00030098	0.00168205
ω	0.0341437	0.926456	0.031442	0.00142328	0.00222772	0.00322272	0.000103729	4.30832e-05	4.12687e-05	0.000120094	9.47199e-05	2.81898e-05	7.93784e-05	0.000494951	7.92266e-05
n	0.130143	0.686074	0.143823	0.0197985	0.00845834	0.00647941	0.000504482	0.000976648	0.000178528	0.000324292	0.00023445	0.000198604	0.00035346	0.000820165	0.00163301
d	0.243056	0.614041	0.0694292	0.0135061	0.0128158	0.00806785	0.00212517	0.000923218	0.00246429	0.00217619	0.00040365	0.00323955	0.00155711	0.000722299	0.0254724
í	0.155031	0.662526	0.150387	0.00316611	0.00788706	0.00327875	0.000290182	6.32014e-05	0.000697662	0.00115507	0.000325394	0.00117756	0.000725851	0.000895225	0.012394
y	0.0818772	0.0701336	0.572389	0.0941458	0.0984859	0.0259513	0.0236178	0.00459538	0.00366916	0.00207331	0.00223854	0.00432393	0.00358109	0.000287492	0.0126309
ó	0.117898	0.0374117	0.325831	0.157014	0.230269	0.0636529	0.0180389	0.000771549	0.00966502	0.00606036	0.0120339	0.00413142	0.00439413	0.00219408	0.0106354
l	0.125709	0.0209843	0.156297	0.0894167	0.413032	0.139224	0.0158568	0.00169516	0.00967665	0.00577503	0.00657332	0.00167695	0.00245521	0.0069287	0.00469923
έ	0.0551018	0.0143979	0.0655802	0.448839	0.0759188	0.0871333	0.0467267	0.0114336	0.0212195	0.00697185	0.00606974	0.0126366	0.00833781	0.00177114	0.137862
n	0.0763654	0.020317	0.114792	0.089015	0.248287	0.0776249	0.0808334	0.0103868	0.0669483	0.0347074	0.0270618	0.0225604	0.0346096	0.024273	0.0722175
g	0.0357904	0.0363792	0.172223	0.112924	0.209061	0.103892	0.0460898	0.00421146	0.0213944	0.0252143	0.0483847	0.025741	0.035668	0.013247	0.10978
έ	0.0143204	0.0375182	0.285179	0.219966	0.232523	0.114861	0.041777	0.00261336	0.00773164	0.0036519	0.0168987	0.00328207	0.00364159	0.00320833	0.0128275
é	0.00857928	0.00390022	0.182924	0.119945	0.208836	0.0933645	0.262692	0.0145923	0.0349332	0.00768146	0.0183614	0.0124794	0.0118836	0.00268295	0.0171453
b	0.00515451	0.000940531	0.00945121	0.0280878	0.020835	0.0369788	0.364367	0.398456	0.0943203	0.0123955	0.00789458	0.00713143	0.00421144	0.00039292	0.00938313
v	0.00130843	0.000483193	0.00154393	0.024345	0.00888602	0.0237056	0.123732	0.779213	0.0196124	0.00915434	0.00174	0.00242236	0.00226187	4.46351e-05	0.00154715
u	0.00189704	0.00136559	0.00282127	0.0107105	0.0193442	0.0300276	0.113486	0.739813	0.0408814	0.0254305	0.00420757	0.00272775	0.00555037	6.55502e-05	0.00167178
u	0.0144227	0.00282783	0.0188779	0.00664118	0.0619076	0.0588522	0.195412	0.0905565	0.236974	0.124364	0.0398655	0.0643121	0.028685	0.00600046	0.0503003
s	0.00241518	0.00295688	0.00724047	0.00667145	0.0158868	0.0193044	0.20904	0.121416	0.374962	0.0979369	0.0429176	0.0318435	0.02599	0.0051351	0.0362831
í	0.0042998	0.00248977	0.006091	0.0119316	0.0208981	0.0173874	0.0602243	0.0218786	0.395919	0.168428	0.122813	0.0441961	0.0336221	0.0312703	0.0585514
n	0.00374965	0.00143944	0.00597528	0.000985729	0.0125386	0.00749771	0.0203473	0.00361663	0.152261	0.225427	0.337086	0.0705882	0.0595605	0.0667441	0.0321827
y	0.0051503	0.00874006	0.00813549	0.00132064	0.00314449	0.003111	0.00441153	0.000558586	0.058038	0.142439	0.590092	0.0524136	0.0510428	0.0300702	0.0413322
