 	il	a	eu	un	accident	</S>
w	0.773744	0.191988	0.0130915	0.01892	0.00117185	0.00108411
a	0.706493	0.250691	0.0061583	0.0299002	0.00564103	0.00111658
á	0.209977	0.552464	0.145239	0.0743757	0.00337819	0.0145662
m	0.0494447	0.358311	0.362224	0.146961	0.0518386	0.0312201
i	0.0103276	0.0841835	0.561361	0.176141	0.0229116	0.145076
k	0.00762004	0.022997	0.530026	0.122244	0.207209	0.109903
u	0.00645334	0.0111037	0.308487	0.20253	0.303997	0.167429
l	0.00153569	0.00633845	0.263476	0.247055	0.426313	0.0552816
á	0.0484368	0.03359	0.24053	0.238107	0.108475	0.330862
o	0.034753	0.0727323	0.186583	0.368849	0.263646	0.0734364
t	0.0119479	0.00722155	0.0325809	0.086448	0.729626	0.132175
ó	0.00108604	0.00305584	0.0261218	0.0448325	0.885968	0.0389356
n	0.000979574	0.0066229	0.0776765	0.0613261	0.719308	0.134087
g	0.00494782	0.00918916	0.133999	0.0967162	0.290202	0.464946
i	0.124901	0.0825551	0.0411131	0.021893	0.20369	0.525848
</S>	0.00730191	0.011688	0.0832362	0.10406	0.0738719	0.719842
