 	c'	est	un	homme	d'	une	grande	bonté	</S>
w	0.342389	0.322953	0.122641	0.0875812	0.0811706	0.0277105	0.012959	0.00228497	0.000310378
a	0.632792	0.210405	0.0296226	0.00626529	0.031629	0.0115854	0.0557315	0.0216714	0.000297578
a	0.122974	0.278604	0.415041	0.076217	0.0596448	0.0251621	0.00845947	0.00220007	0.0116969
d	0.0154608	0.203809	0.403321	0.223831	0.0616846	0.0341687	0.0338435	0.0138522	0.0100288
í	0.0124099	0.195663	0.323893	0.139511	0.0900364	0.105707	0.0166413	0.00142023	0.114718
m	0.00563127	0.0219275	0.138672	0.173819	0.232853	0.209216	0.0650122	0.00719191	0.145677
o	0.012998	0.0663555	0.359122	0.24392	0.137746	0.049605	0.0550184	0.00896993	0.0662656
r	0.00335295	0.0111088	0.128925	0.0976443	0.12128	0.202464	0.14754	0.191845	0.0958407
o	0.00193512	0.00914975	0.214177	0.0397447	0.120735	0.199187	0.185004	0.0596741	0.170393
ω	0.00254879	0.00572842	0.131511	0.0347866	0.0555849	0.136543	0.117107	0.101774	0.414417
b	0.000413602	0.00213969	0.00969642	0.00674385	0.0437037	0.178853	0.355044	0.362098	0.0413078
v	0.000330432	0.00194752	0.00253251	0.0105071	0.0307005	0.0430394	0.112524	0.753128	0.0452903
έ	5.6972e-05	0.000373523	0.00255106	0.0132035	0.0485499	0.0912551	0.139115	0.684684	0.0202109
w	0.000227331	0.000614382	0.00258511	0.0033263	0.0364671	0.0457687	0.0535068	0.0543377	0.803167
a	0.0146323	0.00614737	0.0254399	0.0143738	0.161343	0.2434	0.278124	0.094912	0.161627
m	0.00128922	0.000941593	0.0109405	0.00372425	0.0123531	0.0219094	0.0869408	0.0496971	0.812204
έ	0.0115648	0.0186605	0.0592777	0.0515383	0.0289912	0.0386323	0.163217	0.0910466	0.537072
n	0.000816844	0.00341747	0.0223151	0.00933177	0.0265942	0.04128	0.200121	0.104906	0.591217
d	0.000661201	0.000755761	0.00415134	0.00094463	0.00747688	0.0172647	0.0787804	0.0446747	0.84529
e	0.000572904	0.000652905	0.00218916	0.000247545	0.00151236	0.00991571	0.0334833	0.0278329	0.923593
</S>	0.000317706	0.000628209	0.00490124	0.000446718	0.00350602	0.0191987	0.0744191	0.0130238	0.883559
