 	la	ciga	rette	fait	perdre	le	bon	sens	aux	enfants	</S>
a	0.691941	0.24267	0.0531265	0.00214238	0.000571743	0.00114124	0.000849793	0.000305519	0.00699188	0.000214581	4.49071e-05
k	0.24967	0.637015	0.0390001	0.041589	0.011073	0.00430927	0.00300659	0.0078179	0.00299696	0.00112056	0.00240181
έ	0.00953543	0.974666	0.00205933	0.00194136	0.00595323	0.000751556	0.00124486	0.00172431	0.00135502	0.000342197	0.000426378
έ	0.0890298	0.336565	0.21754	0.114667	0.110566	0.0455909	0.0137676	0.0167586	0.00655402	0.0139593	0.0350011
m	0.208095	0.0329835	0.515585	0.145242	0.0499544	0.0186	0.00473505	0.0025443	0.00351826	0.000886058	0.0178573
á	0.125605	0.00431919	0.176904	0.46012	0.0294308	0.0460253	0.0242059	0.063317	0.016473	0.00845668	0.0451436
a	0.324792	0.0145052	0.402129	0.0685845	0.0227021	0.0234858	0.0138074	0.0176424	0.0128374	0.0549202	0.044594
f	0.0257218	0.0214228	0.0394736	0.249227	0.291259	0.0983089	0.102029	0.091021	0.0153036	0.0382332	0.0279999
u	0.00461316	0.0475659	0.0288097	0.212302	0.259786	0.082593	0.103273	0.163226	0.00810973	0.00920577	0.0805162
m	0.0241277	0.00842522	0.121248	0.244882	0.120123	0.0687169	0.0478632	0.135328	0.0198649	0.0255295	0.183891
b	0.0693725	0.00621154	0.150597	0.137998	0.00700619	0.0546874	0.0486026	0.334075	0.0958349	0.0830328	0.0125824
ú	0.0687605	0.0138678	0.0261548	0.0401452	0.0289722	0.0543552	0.0595163	0.643979	0.0332024	0.0134836	0.0175633
s	0.0325048	0.00384714	0.0403338	0.0346091	0.0209413	0.150279	0.160483	0.222674	0.221966	0.0412842	0.071078
á	0.0243867	0.000672722	0.00141762	0.016231	0.0219927	0.170225	0.11401	0.183523	0.380925	0.00882523	0.0777921
b	0.0199097	0.000914157	0.00673749	0.00257088	0.0019592	0.0131748	0.02891	0.0452436	0.394421	0.457006	0.0291534
á	0.013885	0.00591554	0.0382631	0.00295567	0.000368056	0.00908981	0.0313367	0.0351329	0.153719	0.696814	0.0125202
n	0.00219326	0.00233183	0.0253534	0.00198566	0.000268302	0.00700212	0.0316804	0.0242535	0.196877	0.650057	0.0579972
a	0.00160679	0.0013452	0.00995318	0.0050089	0.000717956	0.00956894	0.0252502	0.0661857	0.110234	0.682782	0.0873478
</S>	0.0100987	0.00815308	0.0219795	0.0373952	0.0147586	0.0723049	0.106785	0.0699329	0.248309	0.0294856	0.380797
