 	notre	père	manque	de	canne	</S>
t	0.441269	0.45666	0.0353034	0.0523594	0.0131383	0.00126995
á	0.0890481	0.874679	0.0049181	0.0168674	0.0130958	0.00139139
á	0.0635925	0.564074	0.144394	0.046916	0.0800096	0.101014
y	0.694914	0.253916	0.0108221	0.0102631	0.001277	0.0288079
a	0.824894	0.100399	0.0082623	0.0174224	0.00579588	0.043227
b	0.962102	0.0217336	0.00161354	0.00182384	0.000361764	0.0123656
í	0.924819	0.0557684	0.00558156	0.00643603	0.00170718	0.00568805
s	0.964883	0.0196711	0.00387534	0.00155954	0.00077821	0.00923228
í	0.837297	0.0357309	0.0205567	0.0266951	0.00273656	0.0769838
á	0.0552946	0.333127	0.225489	0.22328	0.0133344	0.149474
m	0.00463642	0.0431998	0.708664	0.172108	0.0116032	0.0597886
i	0.00606453	0.00725043	0.372075	0.491162	0.0374039	0.0860436
k	0.000665911	0.000486375	0.897392	0.0748968	0.0124158	0.0141431
á	8.29729e-06	7.46829e-05	0.938757	0.0329122	0.0113202	0.0169276
m	0.000912343	0.00142691	0.785716	0.108554	0.0642894	0.0391014
b	0.00303175	0.00037881	0.150702	0.576664	0.121277	0.147946
á	0.0136999	0.00128708	0.064061	0.160698	0.183572	0.576682
m	0.00320701	0.00587767	0.0117335	0.546032	0.335446	0.0977041
ó	0.0133163	0.00222372	0.00393034	0.113656	0.301969	0.564904
t	0.00384231	0.00514921	0.00533442	0.0719678	0.772938	0.140768
ú	0.000224261	0.000123573	0.00250372	0.0135544	0.954773	0.0288207
m	0.00727649	8.97161e-05	0.0149735	0.0402035	0.674633	0.262823
u	0.00191719	4.89823e-05	0.00451506	0.0441757	0.61014	0.339203
</S>	0.00143715	0.00029622	0.0153975	0.132489	0.0705837	0.779796
