 	on	ne	l'	aime	pas	à	cause	de	son	avarice	</S>
b	0.371467	0.1442	0.125701	0.0525846	0.0870505	0.0560216	0.0492057	0.0532785	0.0569101	0.00216619	0.00141555
á	0.387652	0.0596016	0.108638	0.072986	0.0886937	0.0891831	0.0649849	0.0594208	0.0514227	0.0125985	0.00481887
a	0.57344	0.0462928	0.0347155	0.0336852	0.044067	0.0692921	0.0496792	0.0588032	0.0405802	0.0190529	0.0303922
b	0.179805	0.415529	0.25117	0.0184122	0.0201177	0.0183861	0.00882446	0.0132152	0.00860346	0.00149631	0.0644409
h	0.0942229	0.131063	0.226402	0.160892	0.0904054	0.0647132	0.0733397	0.0561772	0.0262373	0.00790099	0.0686462
i	0.0505272	0.0890485	0.305584	0.22246	0.132264	0.0613014	0.0643791	0.0346302	0.0142536	0.00241848	0.0231326
n	0.0271126	0.12921	0.405939	0.137569	0.0889734	0.04499	0.0317083	0.0260816	0.00983406	0.00547771	0.0931036
á	0.118491	0.143904	0.325652	0.115212	0.0390684	0.0400539	0.0162472	0.0353363	0.0243758	0.0128034	0.128856
á	0.213317	0.130354	0.219675	0.214023	0.073504	0.0574975	0.0193316	0.0196103	0.0205191	0.0126497	0.019518
w	0.0711378	0.128952	0.301277	0.202595	0.0991789	0.0791004	0.0338564	0.0246948	0.0170736	0.00690739	0.0352264
a	0.0328501	0.0746849	0.207025	0.173691	0.091813	0.0729041	0.0659534	0.0850136	0.0901881	0.0425712	0.0633055
m	0.00809938	0.040774	0.101638	0.30433	0.21858	0.122042	0.0789098	0.0371845	0.023074	0.0181273	0.0472418
ó	0.00594344	0.0199754	0.0378003	0.142059	0.0662072	0.169295	0.195796	0.144108	0.0566344	0.096409	0.0657726
p	0.0110988	0.0193048	0.0500833	0.126238	0.105204	0.21194	0.263998	0.0996186	0.0413268	0.0469684	0.0242192
ó	0.00179917	0.00823938	0.0200657	0.215981	0.156662	0.124031	0.346843	0.0752921	0.015384	0.0147325	0.0209703
s	0.00059892	0.00396935	0.0170943	0.142541	0.11718	0.115983	0.346005	0.1162	0.0335562	0.0271197	0.0797536
á	0.0014235	0.0117506	0.0303655	0.18374	0.112334	0.131969	0.263911	0.148831	0.0443297	0.0258173	0.0455287
b	0.0133529	0.00379015	0.00911746	0.0216641	0.0859612	0.188092	0.171865	0.184793	0.170635	0.125793	0.0249366
e	0.0223813	0.00837106	0.0171526	0.0477221	0.285063	0.230054	0.165868	0.105073	0.0560431	0.0437938	0.0184776
a	0.00346295	0.00165612	0.00470458	0.0220076	0.179924	0.135607	0.328207	0.162386	0.0530126	0.0672689	0.0417631
y	0.001336	0.0024771	0.00607484	0.0072714	0.0493041	0.112269	0.0958662	0.283079	0.210556	0.0907815	0.140985
é	0.00807696	0.0412113	0.0407865	0.0263032	0.020724	0.0826276	0.036531	0.100546	0.126572	0.460058	0.0565643
é	0.00519132	0.00696513	0.0128222	0.00622412	0.0249338	0.0925754	0.0451001	0.186768	0.305997	0.187677	0.125747
d	0.00412394	0.04035	0.042661	0.0167778	0.0362788	0.0578603	0.0412293	0.193462	0.261254	0.0987285	0.207274
í	0.000697019	0.0142877	0.0146042	0.00826141	0.0133264	0.0295548	0.0194088	0.0985426	0.148918	0.0781975	0.574201
l	0.00238749	0.00629551	0.0112516	0.00402487	0.0446056	0.0896324	0.0432844	0.151876	0.269839	0.0538876	0.322916
a	0.00721172	0.00537744	0.00852904	0.0073164	0.0075897	0.0174395	0.01187	0.0745908	0.133749	0.155495	0.570832
w	0.00100164	0.00298295	0.00877154	0.00459933	0.00865574	0.0217251	0.00932344	0.0953198	0.340967	0.309066	0.197587
a	0.0100847	0.00440033	0.00804916	0.0160046	0.0366423	0.0487816	0.0393785	0.157003	0.323409	0.269169	0.087078
</S>	0.0010539	0.00099856	0.00264353	0.00334187	0.00832721	0.0134253	0.0192891	0.117229	0.2368	0.150564	0.446327
