 	cette	femme	a	caché	sa	hotte	dans	les	herbes	</S>
o	0.59069	0.262069	0.0137835	0.0172908	0.0482305	0.0215732	0.0288658	0.0147364	0.00200708	0.000753165
y	0.186587	0.809373	0.00199869	0.000425606	0.000562416	0.000103901	0.000270883	0.00042877	0.000161337	8.90068e-05
ú	0.915697	0.0831646	0.000178746	0.000359168	0.000267367	6.88438e-05	4.25806e-05	2.36153e-05	0.000163918	3.43982e-05
r	0.986382	0.011967	1.63095e-05	9.01807e-05	0.000516232	0.000231209	0.000199494	0.000124875	0.000228346	0.000244646
u	0.947422	0.0163115	0.0116697	0.00104713	0.00812353	0.0017026	0.0037487	0.00388781	0.00297472	0.00311197
w	0.0244984	0.0752725	0.728835	0.0825421	0.0329986	0.0128919	0.0125359	0.00836523	0.00314233	0.0189177
ó	0.0964686	0.00550964	0.448409	0.157861	0.0896119	0.0308998	0.0444933	0.0407859	0.0365373	0.0494225
á	0.00845413	0.0011479	0.721008	0.178455	0.0559354	0.00795124	0.00958299	0.00520996	0.00164496	0.01061
b	0.00206242	0.000417313	0.156065	0.761541	0.0291711	0.00497646	0.0144525	0.00838401	0.00573814	0.0171921
h	0.00663298	0.000121515	0.0541144	0.883327	0.0362439	0.00674679	0.00716782	0.00161664	0.000627106	0.00340148
í	0.0740571	0.000171853	0.0218349	0.840368	0.0518894	0.00423271	0.00550205	0.00115671	0.000244407	0.000543069
s	0.00380141	0.000172687	0.0776449	0.708949	0.0587499	0.0220035	0.0342581	0.0142992	0.020465	0.0596562
i	0.0190185	1.82736e-05	0.0138866	0.457618	0.362307	0.0617568	0.0428739	0.0111675	0.0139578	0.0173955
m	0.00252682	5.34721e-05	0.0308124	0.0757533	0.198528	0.570937	0.0846607	0.023789	0.00546192	0.00747776
ú	0.000452735	0.000901431	0.000430596	0.000841707	0.0247644	0.962292	0.00687564	0.00188798	0.000441146	0.00111191
a	0.000671287	0.000503069	0.00248157	0.0474216	0.201881	0.471152	0.202951	0.0306995	0.0183777	0.0238614
s	0.00306538	1.167e-05	0.00549976	0.00400224	0.152917	0.159237	0.357878	0.208307	0.0702102	0.0388721
á	0.00709314	5.86872e-06	0.00143049	0.0230602	0.111876	0.0507931	0.317321	0.179368	0.145741	0.16331
p	0.0228772	0.000154551	0.00104897	0.00190572	0.0613127	0.0872796	0.18341	0.220188	0.385757	0.0360664
f	0.000433488	2.06401e-06	0.000164994	0.000384872	0.00483694	0.00199271	0.0221489	0.0199688	0.935825	0.0142419
ú	0.00146617	4.37395e-06	0.000113927	0.000529664	0.00704077	0.0019035	0.0213639	0.0217947	0.92434	0.0214424
l	0.0117915	2.75185e-05	0.000296946	0.00188172	0.0231071	0.00930546	0.0760637	0.101923	0.703602	0.0720011
ú	0.00352222	4.85445e-06	0.000512481	0.00216075	0.0128776	0.0235932	0.254782	0.270045	0.289589	0.142912
</S>	0.00140321	6.05423e-06	0.000777555	0.00166449	0.00997547	0.00449026	0.113938	0.219716	0.100636	0.547394
