 	le	ciel	se	brouille	</S>
i	0.905783	0.0638605	0.0300595	2.08851e-05	0.0002758
k	0.07997	0.914278	0.00374066	0.000659053	0.00135201
o	0.0232854	0.975767	0.000769302	6.25434e-05	0.000115244
ó	0.00507872	0.993412	0.000423448	0.000337196	0.000748474
í	0.254507	0.0584587	0.58454	0.00402542	0.0984686
b	0.174872	0.0110023	0.734519	0.042004	0.0376024
h	0.163679	0.216268	0.258772	0.0394741	0.321806
í	0.261617	0.108939	0.412622	0.0254412	0.191381
o	0.0131306	0.00736191	0.172166	0.170244	0.637097
t	0.00423216	0.00434728	0.0142742	0.910079	0.0670674
s	0.000757464	0.00336999	0.00556649	0.928219	0.0620867
a	0.0109495	0.0190268	0.174749	0.48839	0.306885
</S>	0.00354888	0.00172207	0.064866	0.072082	0.857781
