 	il	agit	toujours	bien	</S>
w	0.980174	0.00779242	0.00350343	0.0078411	0.000688885
a	0.948609	0.00131367	0.0164403	0.0328453	0.000791613
a	0.393183	0.390591	0.108552	0.0077827	0.0998917
d	0.100399	0.481131	0.175186	0.0381613	0.205123
í	0.033656	0.245574	0.111371	0.00479396	0.604605
í	0.0132609	0.205343	0.205093	0.0180226	0.55828
l	0.0844345	0.378969	0.454717	0.0237945	0.0580858
á	0.0275449	0.44271	0.332517	0.0202438	0.176984
a	0.221302	0.282976	0.267601	0.0783541	0.149767
k	0.000739671	0.250472	0.546057	0.0900857	0.112645
y	0.000948905	0.208497	0.343795	0.299556	0.147203
á	0.00461129	0.215689	0.417555	0.2031	0.159045
ω	0.00858777	0.0345701	0.412796	0.154871	0.389175
b	0.000402125	0.0136665	0.320852	0.545785	0.119295
v	0.00132463	0.00327557	0.178729	0.730003	0.0866673
έ	0.000698506	0.000530615	0.0693152	0.895095	0.0343604
</S>	0.000222125	0.000401529	0.0758004	0.153977	0.769599
