 	les	arbres	bordent	la	piste	</S>
a	0.878981	0.119229	0.000317711	0.00140982	4.96095e-05	1.24262e-05
b	0.147499	0.837782	0.00846949	0.00295062	0.00290645	0.000393191
v	0.108097	0.875266	0.00391484	0.00623983	0.00295522	0.00352705
ú	0.288995	0.697412	0.00327596	0.00199828	0.000593067	0.00772594
a	0.341213	0.490082	0.0616304	0.0450642	0.0347112	0.027299
á	0.266038	0.415724	0.0650725	0.0365936	0.0025565	0.214015
d	0.163943	0.163947	0.506324	0.111746	0.00981134	0.0442287
i	0.146107	0.0485884	0.445959	0.149311	0.0010171	0.209017
m	0.0239661	0.00975234	0.692911	0.23609	0.00986748	0.0274123
ó	0.0181106	0.00183626	0.355155	0.309733	0.000610266	0.314555
p	0.0251969	0.00682156	0.778761	0.123523	0.0469242	0.0187741
ε	0.00330753	0.0045747	0.82713	0.0436533	0.108945	0.01239
l	0.0169628	0.021429	0.640514	0.0541254	0.167841	0.0991272
έ	0.020807	0.0184339	0.470828	0.138233	0.130782	0.220916
m	0.00758172	0.00390084	0.126075	0.479201	0.279056	0.104186
á	0.0104784	0.000881754	0.155602	0.307547	0.00752664	0.517964
k	0.0446752	0.00626165	0.0575032	0.0960347	0.757213	0.0383122
ó	0.000564296	0.00443533	0.0173583	0.00459392	0.968021	0.00502737
ó	3.1951e-05	0.000331445	0.0551471	0.0049138	0.932451	0.00712459
</S>	0.00952097	0.0106717	0.0434677	0.264868	0.138914	0.532558
