 	j'	aime	manger	le	rein	du	porc	</S>
n	0.769123	0.161132	0.0370318	0.0218927	0.00045996	0.00836687	0.00160064	0.000392581
g	0.980119	0.00379391	0.00109005	0.00131698	0.000658248	0.000673608	0.0122512	9.64563e-05
á	0.981319	0.00459028	0.00204548	0.00158231	0.00229911	0.000150904	0.00799067	2.27336e-05
i	0.270425	0.331287	0.0868947	0.0485311	0.0100001	0.0412397	0.00496786	0.206655
d	0.010184	0.892514	0.0533876	0.0127029	0.0117054	0.0032925	0.000576731	0.0156365
í	0.0816755	0.705569	0.117534	0.0183741	0.0191199	0.0047169	0.000649207	0.0523615
l	0.15186	0.465691	0.17983	0.0611779	0.0199467	0.0351669	0.00288749	0.0834408
a	0.202206	0.420992	0.227156	0.0274049	0.0103058	0.0173421	0.00132154	0.0932718
p	0.0190813	0.680982	0.20402	0.0224352	0.0182442	0.00363097	0.00806256	0.0435444
ó	0.00312898	0.732781	0.199818	0.0197842	0.0164187	0.00294182	0.000636616	0.024491
s	0.000593398	0.749702	0.191458	0.0377727	0.0100778	0.00385044	4.08978e-05	0.00650488
á	0.000664317	0.590282	0.215816	0.0905244	0.0274013	0.0116724	0.000474418	0.0631648
o	0.047306	0.082199	0.285021	0.389049	0.055139	0.045386	0.00545891	0.0904414
d	0.00176317	0.0843847	0.395131	0.218123	0.25956	0.00671322	0.00304534	0.0312789
z	0.00093201	0.0237131	0.23033	0.210667	0.435208	0.00872337	0.00633742	0.0840891
á	0.000436453	0.0284197	0.48885	0.0772048	0.39391	0.00152656	0.00273205	0.00691956
l	0.00258983	0.00633118	0.126109	0.339263	0.150922	0.0997954	0.00468094	0.270309
e	0.00369497	0.0111479	0.0619347	0.170777	0.197961	0.137502	0.0172064	0.399776
n	0.000803179	0.00813948	0.0310885	0.176065	0.466185	0.0797929	0.0259048	0.212021
d	0.0195275	0.000796357	0.0048767	0.0308049	0.497527	0.0186027	0.38562	0.0422447
z	0.00168929	0.000141305	0.00335929	0.0102493	0.451248	0.0255612	0.477857	0.0298951
o	2.83969e-05	5.90177e-05	0.00343009	0.0162823	0.674348	0.0166471	0.27977	0.00943474
ó	0.000390247	0.00130821	0.0380564	0.0987961	0.136097	0.0341174	0.423087	0.268148
l	4.06374e-05	0.000274507	0.00288141	0.0384336	0.0152612	0.12171	0.0219578	0.79944
á	0.00153419	0.00514698	0.0148319	0.0592091	0.0753434	0.181477	0.12248	0.539978
n	0.0119055	0.00285541	0.00325764	0.0201441	0.0372225	0.176555	0.575859	0.172201
g	0.00435537	2.29254e-05	0.000165389	0.00105818	0.00678304	0.00479994	0.966429	0.0163856
ú	0.00295129	2.02918e-05	0.000447693	0.00229471	0.0202928	0.0103868	0.945887	0.0177196
l	0.000620104	1.35661e-05	0.000838205	0.00442894	0.057576	0.019191	0.878745	0.0385871
u	0.000112465	0.00174599	0.0152567	0.0572827	0.0989151	0.299311	0.119312	0.408064
</S>	0.000156852	0.000410564	0.00308993	0.01906	0.0147023	0.20134	0.0474712	0.713769
