 	cet	enfant	prend	bien	soin	de	ses	cahiers	scolaires	</S>
m	0.868264	0.104979	0.00236939	0.00371425	0.00336524	0.00782775	0.00713555	0.0017495	0.000458712	0.000135887
w	0.0312057	0.965793	0.000241101	0.000496175	0.00110829	0.000268442	0.000225382	5.75488e-05	1.71613e-06	0.000602515
á	0.00273476	0.996948	8.79459e-05	2.61911e-05	7.45898e-05	4.6522e-05	1.47093e-05	3.30103e-05	8.79262e-07	3.36928e-05
n	0.427332	0.546266	0.00310137	0.00102694	0.00058642	0.0012914	0.00148897	0.00304941	0.000482727	0.015375
a	0.383014	0.517331	0.0214961	0.0110687	0.00574203	0.0049704	0.00753477	0.00418908	0.000647365	0.0440062
w	0.626571	0.0568057	0.0807091	0.0881966	0.026631	0.014236	0.0185401	0.00487562	0.00660105	0.0768339
ó	0.141415	0.0595658	0.219546	0.287949	0.121054	0.0225784	0.0326477	0.0219193	0.0318256	0.0614991
l	0.0733999	0.043479	0.461516	0.161995	0.086784	0.0144529	0.0166978	0.00774958	0.00935845	0.124567
á	0.0379029	0.00667255	0.209754	0.240811	0.120232	0.0492991	0.0469642	0.0222317	0.0117346	0.254398
a	0.15485	0.00714641	0.149743	0.221263	0.283536	0.0632976	0.04071	0.0359161	0.0142558	0.0292824
l	0.00706139	0.00727541	0.566677	0.22329	0.148448	0.00627599	0.00612725	0.00548861	0.00697977	0.0223774
o	0.00389558	0.00836172	0.573599	0.110524	0.181019	0.0146636	0.0141503	0.0083854	0.0159828	0.0694188
n	0.00489345	0.00242699	0.318224	0.224564	0.366461	0.0192893	0.00812018	0.00610182	0.00613108	0.043788
d	0.00314019	0.000571328	0.0697253	0.406775	0.297092	0.129855	0.0591364	0.00885839	0.00265477	0.0221913
á	0.00196935	0.00123332	0.0773054	0.27472	0.324825	0.157426	0.0578959	0.0281809	0.00871736	0.067727
k	0.00399054	0.000322975	0.00386277	0.145133	0.173973	0.292502	0.198052	0.152115	0.0242703	0.00577901
á	0.000999865	0.000181725	0.0117475	0.0234471	0.0164654	0.116642	0.131571	0.143357	0.546934	0.00865386
s	0.000527141	0.000121186	0.00973766	0.011892	0.019535	0.118884	0.160845	0.336682	0.272663	0.0691126
i	0.000181732	8.11915e-05	0.016015	0.0460974	0.0603946	0.147785	0.356946	0.182972	0.142455	0.0470718
y	0.00134944	0.000179203	0.00453319	0.0382656	0.0822295	0.1851	0.235207	0.150066	0.195033	0.108037
á	0.0476477	0.00197747	0.0117774	0.0246203	0.117029	0.236935	0.0760158	0.25458	0.156229	0.0731887
l	0.0104129	0.000261223	0.00203027	0.0112114	0.0167356	0.125003	0.125546	0.127016	0.487133	0.0946513
e	0.00211364	0.000205767	0.0023086	0.0110772	0.0217483	0.0528145	0.0770447	0.02557	0.628827	0.178291
k	0.000492768	7.37097e-05	0.000940649	0.00489997	0.0167312	0.0541035	0.0537699	0.0441734	0.352676	0.472139
ώ	0.000397364	0.000208687	0.00808147	0.0118872	0.00925727	0.0139552	0.0300814	0.014039	0.745425	0.166667
ώ	7.13145e-05	9.34752e-06	0.000946567	0.00377737	0.0042462	0.0127798	0.0226201	0.0314758	0.713313	0.21076
l	0.00185216	0.000845753	0.0091289	0.0151979	0.0137163	0.0391792	0.04414	0.011698	0.0294429	0.834799
i	0.00188384	0.000237378	0.00806578	0.0189071	0.019752	0.0527163	0.0702988	0.0187643	0.161027	0.648348
</S>	0.0126049	0.000196705	0.00189396	0.0153953	0.0137385	0.0576348	0.0513867	0.0225805	0.0415763	0.782992
