 	ils	honorent	le	chef	beaucoup	</S>
b	0.965534	0.0206999	0.00684746	0.00633683	0.00052484	5.72222e-05
á	0.947189	0.0317546	0.0131094	0.00489537	0.00254408	0.000507505
a	0.983833	0.00616121	0.00727406	0.000848807	0.000517773	0.00136556
b	0.436754	0.112737	0.198573	0.017126	0.0251768	0.209633
á	0.547947	0.133117	0.179935	0.0161905	0.0295505	0.0932598
a	0.628149	0.0850527	0.150209	0.00926433	0.0217649	0.105559
k	0.0071448	0.873407	0.0375099	0.0169409	0.00310961	0.0618878
a	0.00185302	0.923869	0.0360046	0.0174716	0.00301698	0.0177845
n	0.00195099	0.943144	0.0228992	0.0228793	0.000660905	0.00846521
d	0.00308721	0.764985	0.132398	0.0726599	0.00314724	0.0237228
í	0.00106017	0.62269	0.161924	0.0579306	0.0091591	0.147236
s	0.00607122	0.0950822	0.766974	0.111195	0.0108609	0.00981635
á	0.00183819	0.0490673	0.605193	0.0763345	0.0579779	0.209589
o	0.00643712	0.00931325	0.436226	0.437081	0.095015	0.0159279
k	0.000385882	0.0395154	0.0800817	0.787071	0.0727747	0.0201711
o	4.5459e-05	0.0491187	0.0187941	0.882847	0.0367106	0.0124846
n	2.30694e-05	0.1326	0.0938621	0.733023	0.0251249	0.0153675
d	0.000458535	0.26456	0.0287861	0.589362	0.00738924	0.109444
z	0.000793165	0.378622	0.163556	0.379825	0.0194204	0.057783
i	0.00421913	0.165844	0.0586818	0.656796	0.0255012	0.0889579
w	0.000385916	0.0216491	0.136247	0.107802	0.227456	0.50646
a	0.0272684	0.02638	0.199445	0.224547	0.247426	0.274934
m	0.00118206	0.0028609	0.0712566	0.0345482	0.46412	0.426032
έ	0.0131758	0.0019682	0.129051	0.0365662	0.542891	0.276348
n	0.00168287	0.001517	0.0530411	0.048559	0.572194	0.323006
d	0.00155929	0.0018675	0.0269838	0.00638414	0.49179	0.471415
e	0.000304025	0.00484204	0.00624982	0.0199183	0.245057	0.723629
</S>	2.56779e-05	0.00206165	0.0230776	0.0354748	0.266417	0.672943
