 	il	y	a	un	feu	de	brousse	</S>
k	0.238186	0.404224	0.177592	0.0680411	0.0539631	0.0290295	0.0196195	0.00934423
ώ	0.040221	0.131019	0.0383641	0.0540393	0.0254362	0.0633293	0.622954	0.0246376
é	0.0276196	0.312774	0.180975	0.209183	0.0148324	0.03059	0.0953533	0.128672
m	0.116994	0.184996	0.326523	0.0855163	0.0412304	0.0781713	0.00869526	0.157874
i	0.0189909	0.0314689	0.0326363	0.111982	0.351824	0.102184	0.00641457	0.344499
b	0.0045351	0.0313558	0.0747766	0.276035	0.209457	0.0532866	0.132301	0.218253
o	0.0160734	0.0728499	0.0860915	0.280311	0.0382186	0.0226501	0.343864	0.139942
n	0.00490318	0.0687706	0.0845897	0.37093	0.0189075	0.0126134	0.34171	0.0975754
g	0.0590239	0.108223	0.134719	0.519965	0.0326719	0.0316886	0.0634568	0.0502527
a	0.210449	0.108718	0.0724622	0.222225	0.0711671	0.0610997	0.163691	0.0901868
</S>	0.0480888	0.0608118	0.139356	0.0939614	0.178748	0.299082	0.0574303	0.122522
