 	l'	oiseau	donne	la	becquée	à	ses	petits	</S>
n	0.419237	0.420835	0.0719651	0.0346091	0.0232321	0.0122994	0.0137925	0.00240961	0.00161983
y	0.0299194	0.969683	7.79824e-05	0.000240605	4.96725e-06	1.19191e-05	4.77308e-05	1.00335e-05	4.49157e-06
ω	0.00986262	0.983939	0.00174423	0.00285521	0.00058479	0.000240244	0.000156405	0.000554845	6.27146e-05
s	0.0052218	0.993155	0.000343142	0.00069115	1.79292e-05	2.49356e-05	1.73482e-05	4.34325e-05	0.000485011
í	0.0320638	0.180366	0.284686	0.0167193	0.000973371	0.0372597	0.00810292	0.0122475	0.427582
l	0.174581	0.0380304	0.631571	0.0611249	0.0052348	0.0146634	0.0106307	0.00430056	0.0598636
á	0.130914	0.0745662	0.279062	0.0370229	0.00203749	0.0423992	0.0253269	0.0153793	0.393292
a	0.742656	0.0299745	0.101893	0.0653054	0.0240897	0.00805297	0.00994303	0.00601291	0.012072
d	0.0141757	0.0173533	0.733929	0.138019	0.020787	0.037219	0.00762046	0.00830197	0.0225951
z	0.00201223	0.00113982	0.492152	0.268861	0.00687242	0.0916978	0.00762386	0.0171344	0.112506
é	0.0289182	0.00298159	0.661744	0.113291	0.00529071	0.111009	0.00916728	0.00801116	0.0595857
s	0.00680839	0.000447178	0.162393	0.443365	0.0246224	0.101807	0.0565091	0.0105166	0.193531
á	0.00854577	0.000949981	0.0545273	0.711554	0.0178206	0.0709656	0.0384637	0.0224265	0.074747
b	0.03095	0.00487932	0.020517	0.379525	0.262494	0.14044	0.110734	0.034657	0.0158028
á	0.0144267	0.000633054	0.00763989	0.0368599	0.869973	0.0258304	0.00577377	0.0379145	0.000948582
n	0.00776248	0.000793735	0.00508478	0.103629	0.757661	0.0315821	0.0213255	0.0561848	0.0159763
a	0.0384692	0.00945812	0.00590929	0.367349	0.254194	0.0495883	0.0766276	0.130656	0.0677481
</S>	0.00432247	0.00274616	0.0495561	0.154108	0.0328728	0.465625	0.200807	0.0425907	0.0473723
