 	quand	tu	dépèces	un	animal	garde-toi	de	crever	la	bile	car	celle-ci	est	amère	</S>
w	0.885551	0.0608971	0.0202208	0.011168	0.00271678	0.0145287	0.0011637	8.22933e-05	0.000939777	0.000688152	0.00122643	0.000358758	0.000338096	6.36887e-05	5.66566e-05
á	0.580817	0.324401	0.0188249	0.0288465	0.0211599	0.0193852	0.00369449	3.42569e-05	0.00123287	0.00112718	0.000151575	0.000273419	4.43818e-05	3.819e-06	3.55598e-06
á	0.168359	0.284244	0.45675	0.0193888	0.00788469	0.0198012	0.0154268	0.00213593	0.00941873	0.00202903	0.00368271	0.00448975	0.0024957	4.04262e-05	0.00385305
l	0.088622	0.226647	0.524922	0.021112	0.0261089	0.012021	0.0125447	0.0114616	0.0169991	0.0111042	0.00340803	0.00587465	0.00919817	0.00168266	0.0282944
ó	0.0725825	0.34722	0.116542	0.0491016	0.114263	0.0269098	0.0700693	0.034922	0.053475	0.0137804	0.00702463	0.0262614	0.0178862	0.000176573	0.0497863
o	0.0599297	0.110986	0.166746	0.129508	0.124537	0.0231308	0.168997	0.0267926	0.0504272	0.0317083	0.00870661	0.0348699	0.0184221	0.000324288	0.0449138
k	0.00722324	0.00364506	0.779172	0.159326	0.0111273	0.019732	0.0041831	0.00501646	0.00213312	0.000510909	0.000639101	0.00208471	0.00109299	0.000299734	0.00381365
y	0.0041373	0.00202251	0.854639	0.087791	0.00410885	0.0182599	0.00377106	0.00567587	0.00557497	0.00177376	0.00254562	0.00300845	0.0021432	0.000183991	0.00436426
έ	0.0100219	0.00730079	0.89677	0.0658173	0.00397088	0.00607142	0.0013032	0.00172368	0.00129854	0.000741491	0.00147045	0.000933132	0.000412753	0.000200068	0.00196481
s	0.00282358	0.0106798	0.547191	0.156975	0.0182282	0.0193828	0.00920054	0.0166434	0.0243772	0.0177267	0.0193919	0.0119469	0.00984249	0.00752813	0.128063
έ	0.00554079	0.00793677	0.678455	0.244058	0.0210258	0.00671336	0.00305145	0.00325063	0.00933698	0.00202685	0.0103478	0.00261367	0.00223637	0.000192995	0.00321409
n	0.012226	0.045779	0.0734724	0.500695	0.159869	0.0610086	0.0146384	0.0232705	0.0249462	0.00539566	0.0203378	0.0121837	0.0101821	0.0022335	0.0337615
y	0.00796709	0.0974413	0.010183	0.112007	0.642108	0.0183515	0.0128495	0.0024217	0.0195638	0.0568262	0.00450454	0.00570573	0.00185225	8.76987e-05	0.00813086
a	0.000707012	0.0149477	0.00554257	0.0471992	0.847102	0.0217888	0.00854394	0.00326632	0.00675337	0.0347155	0.00198525	0.00221837	0.00119979	0.000120122	0.0039099
m	0.000511211	0.00612622	0.0853598	0.41835	0.229564	0.0747446	0.0591626	0.0153332	0.0176652	0.0634305	0.00421224	0.00418672	0.00327351	0.000474013	0.0176064
a	0.00301787	0.00155476	0.0111718	0.396457	0.0755764	0.204365	0.18041	0.0239361	0.0214031	0.00159591	0.0162013	0.0330442	0.00917335	0.000252892	0.0218412
o	0.00778435	0.00896092	0.0144408	0.30943	0.23186	0.239765	0.0723494	0.0394965	0.0210391	0.00409011	0.00818142	0.00871896	0.00982758	0.00135186	0.0227043
b	0.00061398	0.00016728	0.0240452	0.0695928	0.0943603	0.73509	0.0364671	0.0236984	0.00360697	0.00223897	0.000912398	0.00186683	0.00134371	0.00149346	0.00450294
á	0.000536713	8.52927e-05	0.00838436	0.0495138	0.0182081	0.843188	0.0396559	0.0182982	0.00546932	0.000992289	0.00315974	0.00618453	0.00112458	0.000902102	0.00429748
r	0.0010577	0.000367664	0.00730738	0.061096	0.0563753	0.501064	0.0574179	0.0540839	0.0327519	0.00188869	0.00892509	0.023188	0.00780616	0.00216531	0.184505
a	0.000476469	0.000178665	0.0125646	0.0487198	0.108511	0.509876	0.0505251	0.0502332	0.0480806	0.0190989	0.0355138	0.0256238	0.00933234	0.000847192	0.0804178
a	0.000698411	0.00157424	0.00265278	0.055584	0.0343022	0.247702	0.383546	0.182332	0.0371983	0.00498285	0.0140801	0.00704813	0.00835058	0.00137538	0.0185729
w	0.00133733	0.000951901	0.0149492	0.0363477	0.0271522	0.0902005	0.199414	0.450909	0.107496	0.0132385	0.00882871	0.00813647	0.0220301	0.00266399	0.0163438
á	0.0022374	0.00124744	0.00899486	0.0257963	0.00566707	0.0497191	0.0693496	0.408737	0.134281	0.030822	0.0843978	0.0404025	0.0369557	0.00995821	0.0914339
á	0.00151968	0.00127496	0.00337024	0.00814133	0.02112	0.102766	0.0880141	0.280398	0.0560789	0.00823301	0.0478989	0.0315056	0.0190421	0.018547	0.312091
o	0.00143121	0.00262487	0.00222531	0.0110521	0.0425998	0.0439993	0.170277	0.309592	0.240727	0.0856409	0.0368627	0.0168821	0.0184219	0.00137886	0.0162848
b	0.000243607	8.83716e-05	0.0163996	0.018249	0.0111072	0.0544269	0.138324	0.482778	0.100337	0.0939499	0.0228502	0.0183687	0.00806676	0.0287602	0.00605071
o	0.00105863	0.000350982	0.0321529	0.0710047	0.00799018	0.208259	0.136421	0.242134	0.125525	0.0360968	0.0538251	0.0420959	0.0104077	0.0129748	0.0197045
n	0.00050248	0.000133089	0.0587532	0.015681	0.0149932	0.207671	0.147082	0.278033	0.0683228	0.0260306	0.0480265	0.0171413	0.0112504	0.0138404	0.0925384
d	0.000411985	0.000103634	0.0133844	0.0152678	0.0102267	0.0530703	0.200161	0.289588	0.0944598	0.122063	0.0507242	0.0281598	0.0167787	0.00535089	0.10025
z	0.000368105	0.000215276	0.0122026	0.00775086	0.00624294	0.0518752	0.171125	0.290489	0.0834896	0.0652078	0.0414804	0.0212976	0.00877498	0.0192307	0.22025
í	0.000376745	0.000123927	0.00470454	0.00240926	0.00189215	0.0268353	0.206356	0.130067	0.0527081	0.087539	0.165547	0.0467815	0.00730397	0.013359	0.253997
e	0.0013954	0.0015029	0.00214169	0.00484439	0.00454972	0.0113666	0.118232	0.20814	0.298911	0.0918076	0.154243	0.0495742	0.0215639	0.00270948	0.0290176
n	0.000550018	0.000166562	0.00203573	0.00636469	0.00131249	0.00661856	0.0235122	0.110943	0.167678	0.111269	0.196483	0.172067	0.116158	0.0314089	0.0534328
i	0.000563624	0.000568587	0.00140293	0.00145225	0.025291	0.00675093	0.0264032	0.0095156	0.0389103	0.813798	0.0222235	0.0281232	0.00355063	0.000362732	0.0210832
n	1.99917e-05	2.41332e-05	0.000210888	0.000917943	0.00354208	0.00418385	0.0471351	0.0450579	0.0941322	0.640892	0.0676972	0.0496171	0.0145602	0.000966622	0.0310423
