 	le	trou	de	l'	aiguille	est	très	petit	</S>
i	0.435459	0.394641	0.128247	0.0283922	0.00293277	0.00736547	0.00275217	8.04515e-05	0.000129634
b	0.0929455	0.815244	0.04122	0.0229936	0.0181184	0.00453069	0.00222811	0.000935786	0.00178344
h	0.0163087	0.899441	0.0312141	0.0180282	0.0202305	0.00371464	0.00344616	0.00443345	0.00318291
ó	0.100099	0.638922	0.143828	0.0515602	0.0312106	0.00967194	0.00409726	0.00360682	0.0170047
l	0.476312	0.282481	0.185025	0.0357241	0.00996237	0.00384679	0.00122696	0.000598459	0.00482437
á	0.246018	0.111332	0.135803	0.0799543	0.0848321	0.039256	0.0109986	0.0123603	0.279446
l	0.332111	0.0458089	0.300422	0.191684	0.0709922	0.0187763	0.0229943	0.00277047	0.0144408
á	0.0697679	0.0141192	0.125334	0.273875	0.227369	0.0243075	0.0235729	0.0213179	0.220336
t	0.207477	0.0299915	0.222214	0.247463	0.179565	0.0358906	0.0401246	0.0109907	0.0262838
o	0.00839741	0.0168079	0.031901	0.0720721	0.829075	0.019167	0.010651	0.00563192	0.00629637
n	0.00571324	0.00339972	0.0294557	0.0421576	0.86068	0.0239283	0.00416867	0.00358226	0.0269143
g	0.0421849	0.0121685	0.116329	0.151835	0.610035	0.0305939	0.00364178	0.00350953	0.0297026
a	0.160028	0.0312216	0.0826834	0.110291	0.578166	0.0147416	0.00268821	0.00392291	0.016258
í	0.0132435	0.00315094	0.146973	0.153013	0.0743426	0.465657	0.111909	0.00953618	0.0221739
d	0.0090302	0.00517669	0.03076	0.0472663	0.0438535	0.379728	0.437476	0.0341461	0.0125628
í	0.00253415	0.000411772	0.00447432	0.0196982	0.0293128	0.323574	0.190493	0.138971	0.290531
i	0.00207744	0.000139163	0.00808703	0.0217018	0.0137204	0.22359	0.452712	0.095841	0.182131
t	0.00262422	0.00309437	0.0031468	0.00663135	0.0248303	0.0808177	0.307972	0.362619	0.208264
í	0.000861694	0.00229724	0.00443705	0.00913754	0.0442748	0.0712721	0.268224	0.425713	0.173782
i	0.00232885	0.00151174	0.00424781	0.00541892	0.0279644	0.0812275	0.106472	0.286516	0.484313
s	0.000465397	0.00042676	0.00170987	0.0032309	0.009433	0.0399618	0.339864	0.28435	0.320558
í	0.00473429	0.00137824	0.0102699	0.0111401	0.0613469	0.0892915	0.391454	0.207612	0.222773
</S>	0.00299311	0.000655133	0.00711514	0.00828349	0.00417855	0.0448545	0.194183	0.246253	0.491484
