 	cet	enfant	est	en	train	de	serrer	la	corde	qui	attache	son	pantalon	à	la	taille	</S>
m	0.768277	0.212734	0.00415552	0.0022076	0.00328878	0.000785083	0.000390063	0.00150126	0.00187073	0.000314281	0.000846129	0.00181261	0.00112815	0.000221336	0.000238673	0.000222331	6.11936e-06
w	0.0631263	0.895545	0.0139814	0.00795163	0.00979082	0.00171238	0.000789293	0.000629347	0.00062735	0.000301356	0.00148494	0.00106634	0.000248992	0.00146631	0.000629312	5.23368e-06	0.000644369
á	0.0162007	0.982083	9.97626e-05	0.000170224	0.000893804	3.26175e-06	6.68145e-05	1.34346e-05	0.000187688	1.14083e-05	7.6916e-05	5.53238e-05	8.83856e-05	3.76516e-05	3.95223e-06	4.72235e-06	2.93914e-06
n	0.0600381	0.92876	0.000891449	0.00106098	0.00178767	0.000121213	0.000428582	0.000418767	0.000881499	0.000395441	0.000744773	0.000952875	0.000857974	0.000821421	0.000147076	3.6521e-05	0.00165606
a	0.278376	0.581985	0.0299381	0.00930274	0.0101424	0.010655	0.00560178	0.00516894	0.00578758	0.00574807	0.00833017	0.0085053	0.00322211	0.0100935	0.00206149	0.000258186	0.0248235
w	0.697633	0.0792871	0.113837	0.0354965	0.00258821	0.00615665	0.00285997	0.00701105	0.00686419	0.00786515	0.00939802	0.0124646	0.003271	0.00429886	0.00687037	0.00140386	0.00269462
o	0.348678	0.0366332	0.0933363	0.0476141	0.0371335	0.0535066	0.0145321	0.0313815	0.0218096	0.0253202	0.0324216	0.0441235	0.0217846	0.0540114	0.0600612	0.00853103	0.0691212
b	0.062156	0.00603789	0.436549	0.305058	0.0367426	0.0204749	0.0166813	0.00747096	0.00345914	0.00722921	0.00911776	0.0112455	0.0237352	0.0128186	0.00624796	0.01453	0.020446
o	0.263366	0.00639278	0.126464	0.213503	0.228898	0.0649014	0.00915419	0.0154573	0.00365396	0.005424	0.00789803	0.0103878	0.0158964	0.0138629	0.00708301	0.0011113	0.00654633
l	0.0057392	0.00832544	0.187087	0.328665	0.332047	0.0122245	0.00564319	0.00436977	0.00120841	0.00391143	0.00464528	0.00505138	0.0267298	0.0090394	0.0079354	0.0256745	0.0317035
á	0.013097	0.000871709	0.0957861	0.181625	0.0758005	0.0548526	0.0475111	0.0309096	0.0187578	0.0243425	0.0547942	0.0405835	0.0641311	0.0657774	0.0512043	0.0289906	0.150965
a	0.0705883	0.0179591	0.207398	0.137149	0.102987	0.136744	0.109029	0.0279466	0.0143213	0.0157247	0.019965	0.0176639	0.0146004	0.0249674	0.0206268	0.00427935	0.058049
s	0.00226678	0.00127728	0.210859	0.255055	0.132543	0.113764	0.178376	0.0115514	0.00291798	0.00893429	0.0131227	0.00655487	0.0232012	0.00927705	0.0056601	0.00713018	0.0175098
w	0.0139914	0.00173231	0.210781	0.215708	0.0991904	0.0518402	0.289939	0.0120718	0.0105726	0.0112331	0.0164742	0.00598897	0.00798416	0.0100513	0.0038312	0.00141999	0.03719
έ	0.0103652	0.00308108	0.108826	0.254766	0.0616608	0.0466569	0.269344	0.0312052	0.00787865	0.0152637	0.0231808	0.0231632	0.0303502	0.0353161	0.0103924	0.00823926	0.0603099
n	0.00139105	0.000343626	0.0452596	0.0816953	0.0211509	0.119185	0.274314	0.0937003	0.0138886	0.0205008	0.0261	0.0204643	0.0113609	0.0464061	0.0215409	0.00478765	0.197911
g	0.00147992	0.000323796	0.0157711	0.0789057	0.0369247	0.125629	0.380576	0.126222	0.0645935	0.0201351	0.0283569	0.0422006	0.00703579	0.0324447	0.0218545	0.000998296	0.0165493
έ	0.00822886	0.000498774	0.00644898	0.0294361	0.0346917	0.0690725	0.574696	0.070777	0.124521	0.0130592	0.0139014	0.0154215	0.00283189	0.0107973	0.00733226	0.000618514	0.0176672
s	0.000454726	6.55132e-05	0.00349542	0.011452	0.00849038	0.250957	0.249641	0.306923	0.0682081	0.0335234	0.0235303	0.0209295	0.00607329	0.00732766	0.00536937	0.000863168	0.00269554
έ	0.000349215	1.93958e-05	0.00287994	0.00401059	0.00137684	0.0884702	0.371448	0.190602	0.145192	0.112549	0.0364708	0.0188171	0.00570181	0.00819003	0.00292831	0.000507168	0.0104876
o	0.000687028	3.65933e-05	0.00252976	0.00203826	0.000802998	0.0338016	0.114215	0.258575	0.259414	0.194634	0.0645988	0.0358358	0.00939178	0.00842776	0.00664296	0.00128855	0.00708093
n	0.000355623	0.000173155	0.00904557	0.0113064	0.00845604	0.0191736	0.054965	0.137887	0.083023	0.266431	0.205257	0.0424093	0.130141	0.0113814	0.0042212	0.00833298	0.00744121
d	0.0116946	0.00113718	0.00489784	0.00682249	0.00545947	0.0117486	0.131664	0.0527994	0.274451	0.260588	0.0906111	0.0296899	0.0325755	0.0190885	0.00476044	0.00200308	0.060009
