 	le	chasseur	a	laissé	un	signe	sur	le	chemin	qu'	il	a	emprunté	</S>
o	0.966782	0.0311317	0.000485592	1.14654e-05	6.03341e-05	0.000163453	0.00030897	0.000238487	0.000299356	0.000313152	0.000120899	6.70503e-05	8.3793e-06	9.54937e-06
b	0.115208	0.839117	0.00576332	0.0268484	0.0022286	0.00531142	0.000712147	0.000371708	9.8636e-05	0.00027043	0.000293108	0.000544337	0.00117444	0.0020583
e	0.682147	0.312927	0.000226993	0.000233084	0.000279541	0.00371436	0.000126169	0.00011945	2.70349e-05	4.96141e-05	4.84157e-05	4.35747e-05	3.86023e-05	1.97655e-05
n	0.354166	0.621881	0.00073556	0.00335616	0.00122145	0.00400775	0.00163454	0.00106812	0.000411677	0.000742901	0.00101414	0.000745066	0.00259594	0.00641914
g	0.903764	0.0366537	0.0158266	0.00189445	0.00215754	0.00375949	0.00200817	0.00218453	0.00549849	0.00599264	0.00721203	0.00223568	0.00080499	0.010008
i	0.798089	0.108678	0.0579545	0.0106201	0.00426684	0.00337763	0.0020769	0.00151404	0.00139804	0.00177477	0.00299814	0.0025331	0.000717302	0.0040009
á	0.016535	0.00123551	0.911483	0.0391663	0.0106758	0.000647702	0.00316434	0.00167935	0.000605808	0.00247507	0.00329321	0.00356478	0.000234811	0.00523982
y	0.000331959	0.000255933	0.0192637	0.954099	0.0150928	0.00689309	0.000575013	0.00028089	0.000171257	5.62422e-05	0.000210294	0.000329687	0.00121214	0.00122781
í	0.000201638	6.89954e-05	0.0131742	0.912904	0.0521616	0.00760292	0.00228009	0.00112784	0.000256756	0.00022174	0.000742016	0.00201297	0.00442434	0.00282052
i	0.000685155	3.0728e-05	0.00484945	0.955877	0.0282317	0.0035007	0.00131955	0.000677705	0.000177679	0.000126599	0.00027422	0.000373456	0.00120478	0.00267167
l	0.000509352	0.000138122	0.0726496	0.0859905	0.445993	0.106165	0.11592	0.0510635	0.0164205	0.0272665	0.0252376	0.0265535	0.00310419	0.0229889
e	0.000113201	6.13432e-05	0.00610628	0.0262761	0.429863	0.162598	0.151402	0.0882512	0.0075398	0.0234137	0.0304896	0.033515	0.00449903	0.0358715
m	0.000403715	9.19243e-05	0.00231037	0.00774704	0.226856	0.365592	0.208247	0.0995006	0.0144147	0.0239575	0.018299	0.00938969	0.00618122	0.0170092
b	0.000426161	0.000337429	0.000141655	0.000227282	0.0552929	0.768236	0.0901513	0.058024	0.00139314	0.00808439	0.0070658	0.00297144	0.000795349	0.00685329
v	1.05675e-05	0.000203861	2.11235e-06	2.32199e-05	0.00265982	0.98781	0.00559228	0.00254701	0.000192888	0.000175961	0.000158756	3.81374e-05	0.000229236	0.000356058
ú	7.90255e-06	0.000186882	1.05443e-05	6.2352e-05	0.00298425	0.977569	0.00677378	0.00550424	0.000644382	0.000322278	0.00064425	0.000219118	0.000347708	0.00472295
n	0.00801502	0.00300268	0.00214402	0.00210589	0.0136052	0.845991	0.0449347	0.0354677	0.0233355	0.00371116	0.00699565	0.00252302	0.000675583	0.0074929
y	0.00017338	0.000364319	0.000368123	0.000471562	0.0332343	0.646163	0.0776545	0.106608	0.0745419	0.0127043	0.00911513	0.00195034	0.0172179	0.0194333
u	0.000143102	0.00021074	0.000105404	0.000533939	0.0424458	0.498789	0.115864	0.140601	0.0759548	0.0227693	0.02267	0.00244511	0.0132275	0.0642402
ó	0.000103076	4.08897e-06	0.00388261	0.0043032	0.052837	0.0626314	0.300258	0.262499	0.0497049	0.124093	0.0728574	0.0425665	0.00224947	0.0220116
k	0.000604543	9.83233e-05	0.00906001	0.0281387	0.0463854	0.00271726	0.238951	0.252576	0.160578	0.0649522	0.108202	0.0663164	0.0123876	0.00903218
ó	0.000116927	5.59479e-05	0.000264909	0.00132912	0.00663238	0.00543842	0.031009	0.0591085	0.817421	0.016637	0.0267626	0.00483634	0.00344646	0.0269416
ó	0.00118985	0.000278269	0.000934534	0.00462869	0.0145565	0.0751778	0.039569	0.049612	0.517453	0.0270245	0.059654	0.0172642	0.032976	0.159681
y	0.000509328	2.11553e-05	0.00190853	0.00116656	0.00591179	0.00393079	0.0730011	0.0904024	0.0375898	0.320325	0.221118	0.200855	0.0107156	0.0325455
e	0.000753638	1.12091e-05	0.00349415	0.00623047	0.0219608	0.00297012	0.0779053	0.101416	0.0146551	0.231258	0.199258	0.193243	0.0864968	0.0603482
e	0.000389782	6.16169e-05	0.00201047	0.00193267	0.00503662	0.00142578	0.0281896	0.0516475	0.0174368	0.302254	0.17322	0.305329	0.0856304	0.0254357
p	0.000101157	0.000171261	0.00113359	0.0030439	0.0143647	0.0100129	0.0195024	0.0310217	0.0429701	0.0268451	0.0909374	0.067402	0.569468	0.123026
ώ	2.72237e-05	4.49117e-05	0.000545341	0.00468205	0.0061127	0.00260042	0.00654325	0.0194063	0.112109	0.0172642	0.0801614	0.0625732	0.462802	0.225128
r	0.000119395	1.13861e-05	0.000127758	0.000295509	0.00179828	0.00706301	0.00622673	0.0188937	0.117825	0.0370968	0.061661	0.0333987	0.550799	0.164684
í	0.000172983	5.59935e-05	0.000543125	0.000457788	0.00317926	0.00377218	0.0159068	0.0644756	0.139307	0.102501	0.199666	0.134458	0.130621	0.204882
w	0.000573092	2.4297e-06	0.00153078	0.000318381	0.00168751	0.000777569	0.019127	0.0302539	0.0154047	0.17536	0.173789	0.347229	0.058097	0.17585
a	0.00317576	3.65189e-05	0.00168053	0.000301851	0.0029521	0.00357616	0.011231	0.0457409	0.0814052	0.271697	0.257995	0.211926	0.0298312	0.0784517
</S>	0.00031737	1.22931e-05	0.000399201	0.000109886	0.000671162	0.0005027	0.00493288	0.0115304	0.0304809	0.137455	0.104203	0.192333	0.200161	0.316891
