 	il	est	passé	devant	notre	maison	</S>
w	0.82497	0.127395	0.00731072	0.00930836	0.0295756	0.00123457	0.000205945
a	0.704363	0.118846	0.00450502	0.0563255	0.115156	0.000745341	5.9684e-05
á	0.0933843	0.761337	0.102096	0.0149741	0.00926271	0.00224259	0.0167037
l	0.0333028	0.450202	0.428229	0.0422195	0.0098293	0.00443871	0.0317783
e	0.00638464	0.133865	0.594085	0.0402232	0.00514608	0.0070596	0.213237
e	0.00254643	0.0886627	0.834372	0.0376924	0.00321536	0.00299179	0.0305194
n	0.192197	0.190635	0.194024	0.225507	0.100567	0.0633844	0.033686
i	0.29265	0.107665	0.080052	0.0725226	0.101117	0.276705	0.0692884
ó	0.0377672	0.149767	0.222546	0.362027	0.158777	0.0487053	0.0204109
b	0.00042632	0.00302266	0.100199	0.773656	0.029431	0.0893196	0.00394599
o	0.000746638	0.00169915	0.0173468	0.871784	0.0693361	0.0328833	0.00620434
s	0.000224347	0.00428821	0.0371927	0.845773	0.0484675	0.0255193	0.0385348
ó	0.000443361	0.00301861	0.0533766	0.731467	0.117174	0.0226424	0.0718785
b	0.00469408	0.0373341	0.225692	0.180306	0.282444	0.0396765	0.229853
á	0.0339055	0.03368	0.058128	0.0893112	0.543603	0.0940951	0.147277
n	0.010255	0.0051989	0.00803846	0.0365928	0.50099	0.326074	0.112851
d	0.00222766	0.000201853	0.000267359	0.00190766	0.0350153	0.949894	0.010486
é	0.00165521	0.000768307	0.00104902	0.00389962	0.0172311	0.912753	0.0626441
e	0.00111652	0.00110401	0.0095414	0.0297379	0.038512	0.299544	0.620444
y	0.000668006	0.00501964	0.0169754	0.0279786	0.086146	0.0353252	0.827887
á	0.00230704	0.0373839	0.0917364	0.0467041	0.46719	0.0439683	0.31071
b	0.00412542	0.0118991	0.0375993	0.0420324	0.705283	0.0865646	0.112496
í	0.00943335	0.00589042	0.00163829	0.0583652	0.764638	0.134724	0.0253114
s	0.00634312	0.00100202	0.00137769	0.0317568	0.737738	0.192615	0.0291677
í	0.000319313	0.000660018	0.0044952	0.033719	0.27009	0.357431	0.333286
</S>	0.000895928	0.00637137	0.013268	0.00699779	0.141737	0.0232551	0.807474
