 	qui	parmi	vous	a	laissé	l'	argent	pour	les	courses	</S>
o	0.29657	0.500022	0.10146	0.0560574	0.00760341	0.0112968	0.0106206	0.00823186	0.00744792	0.00063123	5.84376e-05
k	0.0139661	0.0362418	0.0298974	0.0817068	0.718747	0.0710399	0.0104396	0.0151211	0.00526273	0.0154726	0.00210499
ú	0.0133552	0.231232	0.040955	0.13997	0.0855448	0.228049	0.0696132	0.0912212	0.0132392	0.0680582	0.0187629
l	0.0015459	0.0424204	0.0219184	0.038742	0.341848	0.380203	0.0453304	0.0654694	0.017688	0.0159127	0.0289225
u	0.111005	0.116428	0.0855165	0.0780568	0.0776451	0.29309	0.0453114	0.0948065	0.0531746	0.00613298	0.0388324
m	0.258609	0.090026	0.181046	0.196509	0.0334106	0.0729498	0.0821617	0.0254944	0.0318511	0.00532962	0.0226129
b	0.0506484	0.00899853	0.0181038	0.0277831	0.00494954	0.0451422	0.640777	0.100529	0.0649186	0.01044	0.0277099
ώ	0.000686859	0.00272687	0.0111519	0.00144845	0.000847656	0.02648	0.872265	0.0496803	0.0207151	0.0109579	0.00303994
n	0.00497993	0.0181196	0.0146483	0.00610695	0.000558616	0.0237133	0.78328	0.0922833	0.0167639	0.0351133	0.00443241
g	0.0329904	0.00857321	0.0146726	0.0274535	0.0452154	0.283307	0.283818	0.104554	0.0260978	0.0131581	0.16016
ω	0.0575768	0.0190759	0.0474432	0.00827278	0.0152122	0.0775671	0.708575	0.0190716	0.0213695	0.0158834	0.00995238
y	0.0260541	0.00995502	0.0206471	0.118844	0.0532554	0.226992	0.0907428	0.260263	0.170062	0.00693381	0.01625
á	0.125175	0.0144576	0.00875168	0.0575006	0.0593326	0.124011	0.130315	0.176281	0.169228	0.0109862	0.123961
d	0.0372527	0.0266102	0.0769037	0.0563896	0.0582229	0.148012	0.042857	0.166557	0.268827	0.110925	0.00744375
z	0.00615021	0.004258	0.0045369	0.00575532	0.283399	0.128052	0.0417313	0.223622	0.0732239	0.119861	0.109411
á	0.00619939	0.00483582	0.00412157	0.0108371	0.338716	0.228084	0.0301557	0.202163	0.0399998	0.0342295	0.100657
n	0.0051204	0.00302236	0.00336741	0.0107672	0.0190538	0.0641736	0.0194391	0.217713	0.448564	0.0874213	0.121358
d	0.00496736	0.00674286	0.0249997	0.01301	0.0565291	0.103296	0.0571059	0.117351	0.228551	0.261383	0.126064
e	0.00315332	0.00109526	0.00467758	0.00299572	0.0766013	0.0361503	0.0411456	0.063873	0.0856538	0.204955	0.479699
s	0.00147114	0.00219946	0.0073672	0.0232527	0.0373392	0.129767	0.0326409	0.176175	0.321144	0.107857	0.160786
á	0.00876248	0.00190025	0.00216176	0.00271635	0.0141122	0.0493144	0.0374942	0.0944557	0.201081	0.211354	0.376648
b	0.00649993	0.0026878	0.00860467	0.00908036	0.00712752	0.0313755	0.00507505	0.0535783	0.31508	0.315658	0.245234
í	0.000846364	0.00499539	0.00672885	0.00110322	0.000173075	0.0027169	0.0016013	0.0131215	0.108168	0.855666	0.0048803
n	0.000952595	0.00249757	0.0132847	0.00076935	0.000297596	0.00300863	0.00907856	0.0113101	0.146382	0.798853	0.013566
í	0.00243878	0.00164848	0.00500035	0.00124651	0.00148405	0.0145203	0.0244756	0.0248101	0.104147	0.545861	0.274368
n	0.000766688	0.000510729	0.00249185	0.00784441	0.0105635	0.0454272	0.00756904	0.0892617	0.262596	0.137703	0.435265
d	0.00536621	0.00159132	0.00388015	0.00469496	0.0173482	0.0387098	0.0104995	0.0277171	0.0702234	0.263685	0.556284
a	0.00124897	0.00037693	0.00292854	0.000788854	0.00958957	0.00939156	0.0163117	0.00805239	0.0309626	0.214144	0.706205
</S>	0.000171133	0.000342308	0.000521716	0.000950976	0.00396542	0.0284587	0.00683401	0.049952	0.0417466	0.0530344	0.814023
