 	on	l'	a	accusé	à	tort	d'	avoir	volé	un	cabri	</S>
á	0.32691	0.245191	0.295783	0.0297188	0.012653	0.0435832	0.0363753	0.00272166	0.00137058	0.00540351	0.000230049	5.97752e-05
k	0.0287377	0.164172	0.319909	0.420083	0.03297	0.0200885	0.00128292	0.00261347	0.00378173	0.00511441	0.000959805	0.000287211
a	0.00495771	0.0138378	0.102179	0.789149	0.0437431	0.0143483	0.00510919	0.00752814	0.00230492	0.0093233	0.000237973	0.00728218
n	0.00779359	0.0647772	0.270147	0.529796	0.0601015	0.00570025	0.00492511	0.00918542	0.0168864	0.0228456	0.000271489	0.00757078
g	0.0864826	0.217401	0.239859	0.215152	0.091709	0.0569066	0.0273392	0.0145456	0.0026704	0.0138779	0.000396014	0.0336603
i	0.0620874	0.380314	0.109877	0.0764903	0.0610803	0.222301	0.0253598	0.00316478	0.000259948	0.00278464	0.00612639	0.0501547
w	0.110119	0.139426	0.112645	0.0486862	0.236548	0.140554	0.129243	0.029788	0.00263877	0.00847154	0.000996154	0.0408843
á	0.0434594	0.0641071	0.11155	0.140042	0.146559	0.275809	0.1324	0.0254434	0.00300748	0.0258044	0.00181111	0.0300062
e	0.133699	0.0319016	0.030863	0.0248918	0.184339	0.283177	0.223182	0.0305448	0.00332001	0.00967326	0.00508481	0.0393246
k	0.00491289	0.00762715	0.0287719	0.329184	0.17822	0.315417	0.0468675	0.0454642	0.0222956	0.01204	0.00165587	0.00754377
a	0.000939009	0.00350676	0.0155655	0.518441	0.122639	0.248057	0.0341834	0.0205522	0.013117	0.0158379	6.66834e-05	0.00709469
y	0.000444766	0.00282597	0.0113167	0.243807	0.102061	0.427455	0.136163	0.0176008	0.017547	0.0220138	0.000632088	0.018133
a	0.00159714	0.00727927	0.00522512	0.0889578	0.0736347	0.699052	0.0696632	0.0115602	0.00263371	0.00747461	0.000710334	0.032212
w	0.00222058	0.0130093	0.016864	0.0215905	0.133186	0.0306983	0.489432	0.22607	0.0202485	0.0141934	0.000269713	0.0322168
á	0.0265671	0.0268511	0.0389613	0.0736528	0.11155	0.174998	0.359637	0.111659	0.00646878	0.0309996	0.0020326	0.0366232
r	0.0736787	0.0377954	0.0183286	0.0102438	0.158965	0.0852629	0.295805	0.18687	0.0405746	0.0569406	0.00628651	0.0292491
e	0.0363308	0.0508706	0.0116007	0.0100743	0.222388	0.281185	0.0902633	0.0620821	0.00498806	0.0181327	0.0734681	0.138616
w	0.00257545	0.00768569	0.00580871	0.00314038	0.0802936	0.105354	0.524376	0.235128	0.00100236	0.0154684	0.00473305	0.0144338
a	0.114235	0.0577967	0.0445581	0.0617609	0.0787288	0.12745	0.23413	0.130905	0.0177951	0.0402009	0.00594329	0.0864963
á	0.00300737	0.00727014	0.00462225	0.00195583	0.0333005	0.00951379	0.252992	0.417285	0.0711567	0.15049	0.000942927	0.0474632
y	0.00120267	0.00415504	0.00807925	0.00719748	0.0083821	0.000462953	0.00680889	0.347216	0.374841	0.188286	0.00172442	0.0516444
í	0.000875692	0.0113632	0.00329618	0.00346865	0.010841	0.00358149	0.0060314	0.189137	0.527661	0.145979	0.0107494	0.0870155
b	0.000729907	0.00358811	0.00133368	0.00222791	0.0283814	0.00184901	0.0101856	0.127479	0.236535	0.452997	0.0101673	0.124527
h	0.00119521	0.00143641	0.00126069	0.00440631	0.0112952	0.00520043	0.00682041	0.0743851	0.551757	0.305745	0.00783207	0.0286659
i	0.000191257	0.000639952	0.000702859	0.00467087	0.0189379	0.00420346	0.0279787	0.0628111	0.164461	0.418966	0.0182894	0.278148
m	0.00188886	0.00427146	0.00399505	0.00424918	0.0225372	0.0103067	0.0378423	0.0524519	0.119264	0.530894	0.100272	0.112027
b	0.00178777	0.000852072	0.000396468	0.000233186	0.0085373	0.000224569	0.000692362	0.00223478	0.00165633	0.0294393	0.90209	0.051856
ó	1.5689e-05	2.15295e-05	5.38481e-06	1.7298e-05	0.00027907	8.10963e-05	4.99533e-05	7.48923e-05	9.12555e-05	0.00437926	0.987254	0.00773092
s	2.99029e-05	0.000333492	0.000244044	0.000481969	0.00238372	0.000694332	0.00123006	0.00601661	0.0038876	0.0413515	0.869793	0.0735542
i	0.000116319	0.00142853	0.000688391	0.00296698	0.00828091	0.0227899	0.00466071	0.00869759	0.00192189	0.185128	0.355755	0.407566
</S>	0.000527516	0.00266132	0.00239678	0.0022037	0.00634335	0.00281154	0.0189607	0.0481725	0.00847769	0.0982541	0.0424611	0.76673
