 	attention	tu	vas	tomber	</S>
ω	0.864095	0.114069	0.0163865	0.00317214	0.00227776
t	0.401275	0.446287	0.0893089	0.0227409	0.0403887
á	0.0802836	0.185614	0.396338	0.039482	0.298283
a	0.0775041	0.190119	0.506319	0.068657	0.157401
p	0.171623	0.2131	0.551724	0.0230789	0.0404741
é	0.0362494	0.130693	0.392492	0.104328	0.336237
n	0.0328606	0.120243	0.345195	0.333882	0.167819
a	0.0253403	0.265793	0.364055	0.200642	0.14417
o	0.0288105	0.125856	0.390943	0.163819	0.290572
b	0.000163516	0.00215908	0.0304726	0.879066	0.0881391
v	8.59772e-05	0.00104792	0.0448458	0.912696	0.0413243
e	0.000108097	0.00331211	0.0608386	0.887168	0.0485735
</S>	0.000140732	0.00296427	0.019991	0.330503	0.646401
