 	le	barri	est	un	bon	légume	</S>
i	0.725473	0.224007	0.0285363	0.00490045	0.0163733	0.000547049	0.00016218
b	0.0231597	0.970878	0.00361362	0.000833068	0.000452447	0.000863117	0.000199626
ó	0.00139243	0.996585	0.000292253	0.000175503	0.000204793	0.0012363	0.000114249
l	0.00330107	0.993846	0.00116755	8.95252e-05	0.000151495	0.00103241	0.000412121
ó	0.242915	0.622007	0.0467314	0.00353392	0.00205083	0.00491061	0.0778518
í	0.179825	0.0242145	0.705805	0.0302685	0.0173026	0.007998	0.0345867
d	0.0366355	0.00722373	0.569717	0.267103	0.0423394	0.0198895	0.0570921
i	0.00300954	0.000246643	0.229067	0.589066	0.0304959	0.0133815	0.134733
t	0.0102893	5.67482e-05	0.12535	0.606025	0.0736188	0.0276949	0.156965
ú	0.00712699	0.00115486	0.128024	0.315691	0.104043	0.246154	0.197807
n	0.00104178	5.90256e-05	0.0253728	0.143028	0.0441872	0.228937	0.557374
g	0.00670213	0.000132092	0.014126	0.213864	0.104296	0.438252	0.222627
u	0.0216801	0.000207286	0.0288826	0.158285	0.375186	0.375086	0.0406731
m	0.00278713	8.18144e-05	0.0270693	0.0452772	0.329739	0.428086	0.166959
b	0.00385409	0.000107577	0.0264016	0.0780665	0.107459	0.552716	0.231395
v	0.00588659	0.000221926	0.00548407	0.0535862	0.281384	0.526247	0.12719
έ	0.00828186	0.0103699	0.00658797	0.0765083	0.270427	0.36504	0.262784
</S>	0.00036637	4.82986e-05	0.0281316	0.0724685	0.0525609	0.149432	0.696992
