 	il	a	été	touché	par	balle	lors	du	combat	</S>
w	0.846665	0.0949657	0.0455883	0.00392517	0.000921374	0.00167861	0.00236555	0.00198694	0.00183929	6.44986e-05
a	0.67178	0.203905	0.0341153	0.00338715	0.017011	0.0185308	0.00461324	0.0318431	0.0146718	0.000142996
á	0.0463356	0.473318	0.386943	0.0837418	0.00447172	0.00152326	0.0016513	0.000713885	4.71131e-05	0.00125484
p	0.0106529	0.145055	0.512247	0.296798	0.00896989	0.00484996	0.00701779	0.00319174	0.000610264	0.010607
ώ	0.00203583	0.0300565	0.255465	0.639151	0.0214962	0.0180109	0.0196029	0.00333136	0.000356778	0.0104939
r	0.00374281	0.065314	0.202218	0.532208	0.0387104	0.0381103	0.109119	0.0031119	0.000172233	0.00729331
i	0.0789388	0.226703	0.228017	0.250233	0.0680566	0.0836071	0.0387205	0.0184597	0.000423073	0.0068419
i	0.148972	0.12965	0.0721675	0.0661227	0.122664	0.209	0.112618	0.0825156	0.0322752	0.0240165
t	0.00219865	0.00705819	0.0231954	0.0113984	0.306067	0.263037	0.297087	0.0410804	0.0425942	0.00628414
s	0.0024939	0.00854915	0.0245496	0.0243646	0.202431	0.268771	0.388931	0.0640332	0.00676647	0.00911058
u	0.000269889	0.0018954	0.0126142	0.0197564	0.0706926	0.168606	0.636983	0.0778312	0.00453812	0.00681298
ω	8.31725e-05	0.000178463	0.000546276	0.000200283	0.0124688	0.253449	0.58646	0.141241	0.00166069	0.00371256
s	0.000822317	0.00293178	0.00555935	0.00252758	0.0895375	0.109415	0.331909	0.397501	0.0172863	0.0425098
á	0.00204683	0.00282186	0.00286396	0.00150881	0.0545963	0.0805214	0.23524	0.441435	0.0175123	0.161454
b	0.0131187	0.00321409	0.00251787	0.000672695	0.00889216	0.0348705	0.0802108	0.27234	0.564102	0.0200613
i	0.00821692	0.00317223	0.00152365	0.00010645	0.00628548	0.00401395	0.00152407	0.0856266	0.879654	0.00987698
r	0.000145103	0.000244775	0.000484518	6.13057e-05	0.00393339	0.00598604	0.00327493	0.0284422	0.873242	0.0841853
á	7.11035e-05	0.000249676	0.0012844	0.00130144	0.0386686	0.0946325	0.308805	0.121718	0.142345	0.290924
</S>	0.000267173	0.00056624	0.000892407	0.000762624	0.0109076	0.00653143	0.0119035	0.043913	0.0366472	0.887609
