 	ceux-ci	sont	des	seins	de	jeunes	filles	et	ceux-là	d'	une	vieille	femme	</S>
m	0.339461	0.463956	0.065955	0.0487822	0.0221026	0.0176569	0.0140411	0.0199998	0.00224165	0.00139822	0.00160479	0.00273583	8.38423e-06	5.67726e-05
á	0.169075	0.279213	0.204073	0.0294484	0.0477952	0.0390952	0.0261699	0.0224153	0.00717212	0.0250328	0.0437277	0.0406714	0.00841718	0.0576938
a	0.177709	0.37101	0.188604	0.0362218	0.0378304	0.0458692	0.0288977	0.0334054	0.0110735	0.00675295	0.00916183	0.0210409	0.0281525	0.00427102
b	0.104582	0.244519	0.451064	0.100278	0.0198539	0.013683	0.00637694	0.00834728	0.0190912	0.0152163	0.00557678	0.00246761	0.000705845	0.0082373
έ	0.00542129	0.0272745	0.186015	0.530333	0.0612644	0.032048	0.0370056	0.0683839	0.0302186	0.00846959	0.00443281	0.000271803	0.00049537	0.0083667
ε	0.0712983	0.117879	0.375624	0.174986	0.0785751	0.0501761	0.019821	0.0229541	0.0159838	0.0118764	0.0110998	0.00321165	0.00062394	0.0458908
m	0.0640336	0.076501	0.329697	0.327573	0.11321	0.0332119	0.0186652	0.00664606	0.010051	0.00726989	0.004027	0.00285687	0.000694182	0.00556409
á	0.165815	0.079723	0.220421	0.142145	0.0838228	0.0391392	0.0451536	0.0593931	0.109885	0.0207331	0.00288713	0.000943417	0.0213299	0.00860776
p	0.0715372	0.0752548	0.253839	0.161332	0.132298	0.102518	0.0615783	0.0375409	0.0388655	0.0182342	0.0093263	0.0082447	0.01671	0.0127202
f	0.00381058	0.0206648	0.11219	0.355439	0.11526	0.0970425	0.18067	0.0603656	0.0250215	0.00757398	0.0080354	0.00232543	0.00175517	0.00984623
é	0.0129023	0.0102022	0.143472	0.256018	0.174783	0.137236	0.183273	0.0458073	0.0169379	0.00528819	0.00497242	0.00359426	0.000514879	0.00499899
é	0.00508562	0.00756567	0.0821239	0.177368	0.244498	0.203713	0.20494	0.0301197	0.00775436	0.00588116	0.008781	0.00904221	0.000253091	0.012874
o	0.00670513	0.00723117	0.0488865	0.076485	0.166652	0.189929	0.210662	0.0740137	0.093201	0.085302	0.0220764	0.00289482	0.000785279	0.0151773
y	0.0116217	0.008947	0.0379677	0.0697542	0.112838	0.0682775	0.174658	0.147178	0.234743	0.0894354	0.030021	0.00387958	0.00515613	0.00552397
ú	0.0251618	0.0104686	0.0307677	0.0172396	0.0800281	0.0681838	0.157415	0.0278587	0.0246104	0.0806297	0.146897	0.0980582	0.182936	0.049746
l	0.0299433	0.00391784	0.0542526	0.0122844	0.113962	0.132882	0.113246	0.0257119	0.0399831	0.130232	0.135972	0.079768	0.0356948	0.0921505
u	0.00344662	0.00203202	0.0525148	0.064063	0.160705	0.309251	0.228243	0.0736811	0.0218463	0.0234033	0.0180457	0.0304822	0.00030074	0.0119851
m	0.00213498	0.00215063	0.0107064	0.0137262	0.0532578	0.102816	0.153756	0.181396	0.170032	0.149893	0.0608229	0.0828807	0.00369189	0.0127349
έ	0.00717137	0.0058759	0.0111614	0.00377162	0.0199922	0.0219497	0.0290264	0.199972	0.391281	0.0973748	0.0230073	0.0154113	0.145213	0.0287928
ε	0.000381191	0.000746042	0.00584484	0.00379503	0.0155456	0.019662	0.0192477	0.208237	0.528271	0.132049	0.0349684	0.00867672	0.0167514	0.00582404
m	0.000333539	0.000441142	0.00130707	0.00213766	0.00479209	0.00551617	0.0194778	0.0972374	0.550794	0.181754	0.0972731	0.0227559	0.0079673	0.00821307
é	0.00110301	0.000743358	0.0014786	0.000849523	0.00247175	0.00214156	0.00696102	0.0704467	0.550388	0.116738	0.0300271	0.0123618	0.149898	0.0543914
d	0.00140116	0.00164969	0.00583646	0.00328706	0.00976025	0.00846082	0.0178412	0.101348	0.432432	0.142223	0.10247	0.115829	0.0466181	0.0108424
u	0.00219889	0.000543422	0.00113554	0.00037951	0.00219702	0.00111885	0.00283828	0.0194427	0.0966355	0.161135	0.409299	0.0703455	0.0802069	0.152524
n	0.000613027	0.000339562	0.000897991	0.000446542	0.00356553	0.00629934	0.00940221	0.0140507	0.0336954	0.101159	0.411876	0.377749	0.0193445	0.0205614
ú	0.000370575	9.06321e-05	0.000659465	0.000244825	0.00212475	0.00276207	0.00420822	0.00614778	0.00440689	0.0383563	0.31985	0.604128	0.00457581	0.0120739
o	0.000526931	0.000372187	0.00206024	0.00113785	0.00593124	0.0104729	0.011948	0.0319833	0.0559933	0.127539	0.173177	0.365908	0.00153533	0.211414
y	0.000470576	0.00163009	0.0105248	0.00664705	0.0135061	0.00689989	0.00891464	0.0131981	0.0665843	0.131505	0.299442	0.341918	0.00263377	0.096125
ú	0.00109871	0.000493764	0.0014999	0.000650544	0.00239941	0.00170142	0.00510297	0.000788357	0.00111669	0.00993211	0.126943	0.728298	0.0829238	0.037051
r	0.00118318	0.000192938	0.000682308	9.19295e-05	0.00116319	0.0034432	0.00245632	0.00102323	0.00145675	0.0162766	0.199549	0.537167	0.0248756	0.210438
u	0.000402532	8.67522e-05	0.00134677	0.000745809	0.0056998	0.00847286	0.0294766	0.0164463	0.00693824	0.0310027	0.176228	0.688989	0.00670388	0.0274604
</S>	0.00122271	0.00044067	0.0017601	0.000943429	0.00304224	0.00709232	0.00754458	0.015391	0.0381757	0.0706211	0.100977	0.214173	0.00218172	0.536434
