 	les	vagues	ont	fait	couler	le	bateau	à	pic	</S>
m	0.557804	0.402661	0.0252881	0.00728444	0.00403662	0.00182895	0.000395335	0.000661859	9.76094e-06	3.03191e-05
v	0.187877	0.528983	0.064077	0.0194059	0.083485	0.0629655	0.0196161	0.00316293	0.00218894	0.0282386
é	0.0379219	0.772977	0.00352978	0.0063751	0.0419962	0.0340906	0.100783	0.00060764	0.00115688	0.000562598
n	0.570956	0.277103	0.0180472	0.0207259	0.0440102	0.0234955	0.00200833	0.00271637	0.00126303	0.0396745
g	0.233762	0.52169	0.0192221	0.0368289	0.0827471	0.0175047	0.0155486	0.00421945	0.00440271	0.0640751
é	0.164186	0.470303	0.0801253	0.0981948	0.143964	0.0119597	0.00165252	0.00180988	0.00149711	0.0263085
é	0.00765541	0.00655229	0.783768	0.120938	0.0475324	0.0161467	0.00388482	0.00524407	0.000316296	0.00796158
l	0.00124428	0.0012939	0.110749	0.43304	0.317842	0.0136841	0.103956	0.00688356	0.00387519	0.00743296
i	0.000933477	0.000730745	0.0536147	0.357937	0.407711	0.0121868	0.131488	0.0065855	0.0125438	0.0162687
n	0.00428698	0.00103264	0.0279008	0.174432	0.631068	0.0465774	0.0923631	0.00678339	0.00303024	0.0125252
d	0.0156879	0.00915738	0.0569745	0.180624	0.467556	0.129844	0.108987	0.0157812	0.00361542	0.0117726
i	0.0120678	0.00532602	0.0302036	0.0831957	0.283306	0.130454	0.416984	0.017635	0.00740979	0.013418
s	0.0116387	0.00670868	0.0474554	0.042487	0.034085	0.554419	0.0907193	0.189667	0.00631432	0.0165063
i	0.00210756	0.000392699	0.00034739	0.00824319	0.148502	0.290311	0.521197	0.0139687	0.0115227	0.00340692
a	0.00716923	0.00127657	0.0089657	0.00983562	0.0208646	0.447956	0.100491	0.340023	0.0510912	0.0123271
s	0.000992494	0.00124096	0.00735303	0.0122167	0.0316284	0.0968843	0.209365	0.376577	0.24613	0.0176119
ú	0.00409072	0.000384403	0.00114527	0.00286271	0.0127654	0.0877127	0.270746	0.142943	0.413225	0.064125
a	0.000420381	2.9965e-05	0.000306436	0.00113232	0.0032504	0.0522275	0.112864	0.119701	0.594987	0.11508
</S>	0.000254778	7.30177e-05	0.00652919	0.00881359	0.00570417	0.0707865	0.0296327	0.444726	0.140482	0.292998
