 	il	a	le	visage	boursouflé	par	les	coups	</S>
w	0.805054	0.146601	0.0395245	0.00341367	0.000995563	0.000393508	0.00372377	0.000269821	2.39449e-05
a	0.796938	0.134164	0.0392168	0.000718194	0.00072139	0.00106627	0.0131273	0.0140329	1.52894e-05
e	0.177595	0.492921	0.277867	0.0240855	0.0102369	0.0069415	0.00371003	0.00144326	0.00519845
l	0.0362399	0.284624	0.406475	0.0650369	0.0452591	0.0820583	0.0171495	0.00622362	0.056933
é	0.0448661	0.273959	0.383983	0.0793493	0.0307804	0.0413145	0.0175832	0.00595625	0.122209
n	0.0134823	0.0543142	0.351804	0.466021	0.031625	0.0134766	0.0101555	0.00608091	0.0530403
g	0.0105412	0.0520802	0.267603	0.658818	0.00310693	0.00159032	0.002414	0.00171562	0.00213058
é	0.0043236	0.0162514	0.105193	0.865582	0.00309544	0.00141561	0.000620547	0.00108282	0.00243541
é	0.0540522	0.127907	0.518057	0.138629	0.084322	0.0287487	0.02417	0.00421268	0.0199012
d	0.00432994	0.0307222	0.292503	0.400603	0.219683	0.0373343	0.00628973	0.00119448	0.00734062
í	0.000494075	0.00749287	0.158294	0.603232	0.138169	0.025188	0.00513664	0.00133549	0.0606576
e	0.00125954	0.00598464	0.104645	0.114094	0.642209	0.0749904	0.019606	0.00293334	0.0342779
f	0.000466442	0.00261559	0.0175081	0.119622	0.792245	0.0601847	0.00187588	0.00112244	0.00435966
ú	0.000738652	0.00333576	0.0379975	0.0328743	0.652227	0.241861	0.00373225	0.00337561	0.0238577
ú	0.000254902	0.000641598	0.0149877	0.0295536	0.810427	0.0514479	0.00387055	0.00101677	0.0877998
s	0.000874061	0.00140588	0.0158527	0.0136352	0.625253	0.188877	0.0667186	0.00235708	0.085027
á	0.00114198	0.00154837	0.0284148	0.0417498	0.290275	0.332621	0.216191	0.0075867	0.0804704
f	0.00229558	0.00299008	0.020098	0.0246914	0.24641	0.518679	0.123485	0.033545	0.0278068
u	0.00101167	0.00119474	0.00502774	0.00186094	0.130752	0.779655	0.02192	0.01893	0.0396474
u	0.000987697	0.000616685	0.00637489	0.00562005	0.374176	0.547301	0.0198234	0.00657254	0.0385272
s	0.000424474	0.000940669	0.00493005	0.00151831	0.0957011	0.426689	0.386072	0.0227883	0.0609361
a	0.00132692	0.00192506	0.0151351	0.00469593	0.104347	0.348426	0.384059	0.0317153	0.108369
m	0.000246095	0.000491163	0.00650336	0.00290059	0.0366583	0.307893	0.390728	0.177149	0.0774297
b	0.00350138	0.00332315	0.00651721	0.00201863	0.0212572	0.0984085	0.212198	0.151379	0.501397
é	0.000445273	0.000338261	0.000944367	0.00152145	0.0127642	0.0599215	0.0691379	0.558247	0.29668
á	0.000919952	0.00135081	0.00516416	0.000934343	0.0195199	0.214666	0.164196	0.273948	0.319301
l	0.00160706	0.00313082	0.0130495	0.00831485	0.017239	0.0593352	0.349794	0.368197	0.179332
í	0.00189141	0.00355263	0.0106289	0.00965442	0.0107633	0.0705394	0.091571	0.255805	0.545594
t	0.000566113	0.00129066	0.0087194	0.00143468	0.00756161	0.0473668	0.244721	0.53246	0.15588
s	0.000880293	0.00265407	0.01967	0.00315454	0.0435277	0.315375	0.228684	0.212279	0.173774
ω	0.000133139	8.25304e-05	0.000876828	0.00137733	0.0138844	0.156781	0.0684085	0.636556	0.1219
ώ	2.46503e-05	3.84295e-05	0.000751556	0.000827636	0.0278576	0.162976	0.177587	0.316615	0.313323
</S>	0.000349374	0.000628773	0.00322843	0.00183151	0.0101635	0.0289093	0.379491	0.169551	0.405847
