 	appelle	les	manoeuvres	pour	commencer	le	travail	</S>
b	0.26477	0.705193	0.012303	0.0126439	0.00262718	0.00211833	0.00026151	8.2665e-05
é	0.187532	0.802809	0.00404466	0.00263916	0.0017559	0.00109288	6.9958e-05	5.58757e-05
á	0.108294	0.660159	0.0580833	0.100344	0.0438549	0.0118552	0.00356819	0.0138419
a	0.0985218	0.404334	0.319415	0.0598497	0.00770172	0.01583	0.00623579	0.0881116
s	0.0146817	0.0648129	0.804199	0.0410302	0.051703	0.0105114	0.00458554	0.0084756
á	0.00541666	0.0106815	0.926405	0.027964	0.0217316	0.00221051	0.000341758	0.00524892
l	0.022525	0.0297616	0.517546	0.193962	0.0727604	0.00748133	0.00391448	0.152049
i	0.162329	0.112795	0.211313	0.36662	0.076323	0.0222022	0.00420609	0.0442109
b	0.0421047	0.0334152	0.109497	0.60533	0.143878	0.0233935	0.00556489	0.0368167
a	0.0741034	0.169835	0.066452	0.222662	0.365561	0.0396867	0.053605	0.00809602
á	0.00845253	0.0235399	0.0238868	0.291325	0.57382	0.0271886	0.0227872	0.0289998
l	0.00336647	0.00955976	0.160108	0.395	0.182459	0.16683	0.0156437	0.0670337
é	0.00241651	0.00656872	0.0902586	0.164481	0.208052	0.167514	0.0151275	0.345582
b	0.00646143	0.00354632	0.0191465	0.150514	0.296724	0.41192	0.0323424	0.0793452
á	0.00961122	0.0241792	0.0690791	0.136914	0.35231	0.16732	0.218073	0.0225133
n	0.00409218	0.00527871	0.0118378	0.147008	0.205728	0.249496	0.277267	0.0992918
d	0.00150075	0.00287782	0.00232807	0.0787654	0.747933	0.11097	0.00845509	0.0471696
a	0.00582999	0.00349632	0.00602042	0.0814831	0.619651	0.213734	0.0079764	0.0618094
i	0.00308911	0.00315484	0.0126132	0.0839681	0.0946852	0.499512	0.132072	0.170905
s	0.0041854	0.00224801	0.00375688	0.0107507	0.0105774	0.308004	0.281744	0.378733
á	0.0182492	0.00284853	0.0320821	0.0314333	0.00671355	0.271187	0.262167	0.37532
l	0.0329342	0.0112246	0.00630626	0.0343091	0.00941464	0.0911502	0.669431	0.14523
a	0.00168437	0.0019314	0.0102694	0.0206856	0.0173451	0.116324	0.293003	0.538757
</S>	0.00708626	0.00209707	0.00167437	0.0128086	0.00502743	0.130507	0.439827	0.400972
