 	les	ouvrières	des	termites	sont	sur	le	bois	mort	</S>
a	0.806423	0.126616	0.0285604	0.0107115	0.00784217	0.00225059	0.00440726	0.012545	0.000503306	0.000140762
t	0.0965136	0.727497	0.041204	0.0726645	0.0157764	0.017245	0.00924816	0.0115692	0.00440345	0.00387875
y	0.0035706	0.91057	0.00507385	0.0675155	0.00383586	0.00215903	0.00181285	0.00141228	0.00150195	0.00254792
e	0.0147174	0.780394	0.0302175	0.12309	0.0192267	0.00704689	0.00640308	0.00578972	0.00532007	0.00779385
e	0.109309	0.595069	0.10305	0.103559	0.017533	0.00638978	0.00987117	0.00817696	0.00793544	0.0391076
l	0.127858	0.0261605	0.489752	0.108991	0.179273	0.025188	0.0127385	0.0088064	0.00277262	0.0184596
i	0.13078	0.0140999	0.199558	0.197251	0.166052	0.0438373	0.0329789	0.0185475	0.0188273	0.178069
á	0.118999	0.00835907	0.293919	0.13972	0.226899	0.078599	0.0433624	0.0310311	0.0125284	0.0465835
d	0.0110625	0.00578396	0.0644914	0.0936256	0.278936	0.29158	0.10775	0.08575	0.032751	0.0282692
i	0.00169411	0.000781328	0.0287536	0.0518987	0.157825	0.433292	0.106756	0.0255565	0.0420259	0.151417
m	0.004522	0.000326217	0.0234004	0.0198752	0.0714586	0.464767	0.229546	0.0808774	0.0393633	0.0658642
ó	0.00692511	0.000311422	0.0523756	0.049215	0.146893	0.295565	0.19282	0.0294628	0.082029	0.144403
l	0.00646636	0.00257646	0.0147178	0.0293726	0.0276276	0.0838391	0.139553	0.268345	0.37583	0.0516718
e	0.00276818	0.00119895	0.0127651	0.0131292	0.029551	0.13081	0.117792	0.16633	0.392115	0.133541
k	0.000263469	0.000492571	0.00334335	0.00784552	0.00750545	0.0256726	0.0464997	0.150883	0.537004	0.220491
ó	0.000790267	0.00328424	0.00109833	0.00915257	0.00434205	0.0305618	0.118994	0.271865	0.293369	0.266543
n	0.000163578	0.00324334	0.00321326	0.0222903	0.0100295	0.0314639	0.123805	0.26232	0.229817	0.313654
y	0.00167717	0.00823271	0.00978663	0.0570142	0.0182253	0.110698	0.262778	0.190816	0.17244	0.168331
i	0.00316416	0.0122827	0.00838784	0.0706831	0.0143617	0.0449431	0.176772	0.169083	0.223679	0.276643
</S>	0.00492319	0.00139638	0.0312332	0.0132674	0.0516618	0.0716464	0.137654	0.126319	0.196743	0.365155
