 	ces	gens-ci	sont	en	train	de	se	taquiner	</S>
b	0.287618	0.298682	0.376121	0.0258484	0.0105198	0.000286737	0.000476861	0.000126597	0.00032108
a	0.120627	0.864269	0.00341198	0.00282676	0.0081557	9.60557e-05	0.000271114	0.000237209	0.000105187
r	0.155001	0.79611	0.026078	0.0158795	0.00547552	0.000512773	0.000600678	7.52777e-05	0.000267319
e	0.618652	0.347653	0.0191787	0.00404201	0.000652084	0.00193488	0.00102918	0.000549513	0.00630903
b	0.144733	0.14032	0.560515	0.115091	0.00611131	0.0182901	0.00612439	0.000831284	0.00798409
á	0.207615	0.173967	0.169381	0.215844	0.0318092	0.087546	0.0266554	0.00590306	0.081279
b	0.24856	0.0562781	0.352458	0.171605	0.079194	0.0462215	0.0214167	0.0044302	0.019836
ó	0.153581	0.112109	0.0437714	0.134897	0.519909	0.0276289	0.00565953	0.000858682	0.00158569
b	0.0404993	0.0365085	0.0915282	0.187426	0.567985	0.040765	0.0225194	0.00268432	0.0100837
á	0.26509	0.0734554	0.0735238	0.168942	0.204951	0.180722	0.0256099	0.00250915	0.00519745
a	0.0795072	0.0414885	0.223192	0.172143	0.101791	0.252764	0.0748792	0.0171711	0.0370631
k	0.000945825	0.00152546	0.00402095	0.00528076	0.00120937	0.405408	0.509288	0.0487694	0.0235522
y	0.00272908	0.0178144	0.00716819	0.0120393	0.00238265	0.292938	0.479731	0.0956924	0.0895057
a	0.0521291	0.0125125	0.0103985	0.0150428	0.00186903	0.339517	0.371393	0.103281	0.0938571
á	0.00300884	0.00412007	0.00925516	0.00714611	0.00087245	0.208376	0.3139	0.253514	0.199808
i	0.00393007	0.00167209	0.00822572	0.00647348	0.0006965	0.046955	0.196437	0.594523	0.141087
n	0.00555733	0.00351818	0.00117172	0.00128175	9.62893e-05	0.0173211	0.115937	0.711115	0.144001
y	0.00582075	0.00256864	0.0025978	0.00528141	0.000131511	0.0143524	0.053386	0.591887	0.323975
a	0.00769563	0.00353019	0.00884623	0.0145049	0.00051592	0.0124883	0.0399374	0.48285	0.429632
á	0.000250068	0.000329729	0.000736836	0.0011913	0.000171933	0.00774487	0.0523952	0.492279	0.444901
</S>	0.00250026	0.00368176	0.0190807	0.00771869	0.00018848	0.0369742	0.0908126	0.276961	0.562083
