 	la	tenue	qu'	elle	a	choisie	pour	le	deuil	est	de	couleur	noire	foncée	</S>
o	0.743447	0.099217	0.0469248	0.00943169	0.00782718	0.00252423	0.0169018	0.0149675	0.0117375	0.0177186	0.0176293	0.000613552	0.00412853	0.00670969	0.000221432
k	0.0245091	0.947789	0.00247301	0.000500286	0.000879052	0.000424786	0.000265976	0.000808892	0.000962841	0.000873905	0.00316174	0.00303866	0.00102844	0.0119085	0.00137626
á	0.00449863	0.921233	0.00573218	0.00148311	0.00126718	0.00391617	0.00152897	0.00594554	0.0106759	0.00205563	0.00372483	0.0116883	0.00393434	0.0195848	0.00273148
n	0.00555022	0.82892	0.0140007	0.00747043	0.00780678	0.0263972	0.00869268	0.0128699	0.00900478	0.00457622	0.00836268	0.0191049	0.0100172	0.0271462	0.0100799
d	0.2164	0.747561	0.0066002	0.00346607	0.00195724	0.0011663	0.00341418	0.00401961	0.00297089	0.0018301	0.00175239	0.000864107	0.00150569	0.00201812	0.00447493
á	0.167441	0.660796	0.0340331	0.015258	0.00793848	0.00779336	0.00352529	0.00616033	0.00771443	0.00401901	0.00465623	0.00120006	0.000999847	0.00515246	0.0733131
m	0.176013	0.0920406	0.480296	0.0664099	0.0611129	0.034406	0.0235495	0.010231	0.00541585	0.017464	0.00973166	0.00293365	0.00272643	0.000912943	0.0167561
ó	0.315663	0.0144603	0.286944	0.21846	0.0847424	0.0176679	0.0195959	0.0143511	0.00499392	0.010511	0.00368314	0.000134329	0.00114275	0.000338134	0.00731276
o	0.389895	0.0515018	0.242579	0.0895564	0.0478044	0.060304	0.0178991	0.0233551	0.0253063	0.0117514	0.0110631	0.00168555	0.00473867	0.00317834	0.0193821
k	0.0924393	0.204818	0.0621366	0.0842489	0.124251	0.240354	0.0678181	0.0444604	0.0110635	0.00755898	0.00555161	0.00982889	0.00611961	0.0313555	0.00799453
ó	0.0106742	0.0814271	0.0122159	0.02604	0.0603586	0.410332	0.120177	0.0841357	0.0204901	0.0165876	0.00882932	0.0311955	0.0159563	0.0532263	0.0483546
í	0.00699346	0.0753049	0.0183074	0.0207507	0.0358045	0.584508	0.055438	0.0348508	0.0192251	0.0100105	0.00767636	0.0592328	0.0212617	0.0429786	0.00765679
w	0.00914643	0.00128592	0.0587859	0.108284	0.118934	0.0502876	0.282203	0.170252	0.103201	0.0537551	0.0249329	0.00481998	0.00771521	0.000921138	0.00547575
a	0.0226513	0.00632216	0.106893	0.168679	0.0593343	0.0928943	0.0813838	0.107089	0.16783	0.0541197	0.0420887	0.00656813	0.0460049	0.00603064	0.0321108
p	0.00152621	0.000678549	0.0403955	0.0680227	0.0333252	0.0129033	0.181996	0.163646	0.308516	0.0919336	0.0461236	0.00643341	0.014133	0.000946639	0.0294194
í	0.00603644	0.0115916	0.0138485	0.0425682	0.0418825	0.0663854	0.0761687	0.135741	0.295959	0.0709893	0.0470817	0.11693	0.0319383	0.0176199	0.0252593
l	0.00110188	0.00337459	0.00782348	0.0289426	0.0193976	0.0537876	0.119814	0.140757	0.299288	0.0449996	0.0317642	0.136076	0.0303691	0.00570711	0.076797
i	0.000275272	0.0028981	0.00485105	0.0126532	0.0160123	0.0304584	0.109842	0.165946	0.377319	0.0612951	0.0529776	0.057322	0.0453598	0.0114886	0.0513006
ó	0.000584808	0.000903157	0.00582744	0.00587331	0.0115498	0.00937971	0.088277	0.122733	0.223459	0.175324	0.170796	0.0590791	0.0891609	0.00677694	0.0302748
d	0.00398399	0.00496268	0.00213083	0.00137816	0.00324313	0.00509849	0.0268049	0.0405844	0.042503	0.069188	0.127577	0.339459	0.161931	0.108178	0.062977
z	0.00204373	0.0024036	0.00113269	0.000959069	0.00216545	0.00135417	0.0169496	0.0313885	0.0533987	0.0588628	0.111657	0.164764	0.0280404	0.0142451	0.510635
e	0.0037661	0.00437623	0.00310242	0.00289131	0.00508189	0.00177962	0.0130921	0.0632593	0.130373	0.0571677	0.229064	0.246386	0.0721492	0.0179659	0.149546
p	0.000668461	0.000199279	0.000709285	0.000779847	0.00175796	0.00268044	0.0314817	0.0484391	0.0433829	0.0595637	0.13244	0.182352	0.330019	0.113112	0.0524139
i	0.000369688	0.00125039	0.000725007	0.00119184	0.0034444	0.00964106	0.0107892	0.0227821	0.033218	0.0304508	0.0571556	0.385097	0.176105	0.154627	0.113152
k	0.00013953	0.000382259	0.000719211	0.000453607	0.000984355	0.00375032	0.00845735	0.0102666	0.0140439	0.0320707	0.0450096	0.168052	0.299825	0.188104	0.227742
ó	0.000316603	0.000976656	0.000328717	0.000384867	0.00133217	0.00900079	0.00644345	0.00795816	0.00697544	0.0149336	0.0200187	0.113067	0.114717	0.619336	0.0842105
b	4.94347e-05	0.000315021	0.000151299	0.000136393	0.000263129	0.00438136	0.00262597	0.00420735	0.00668736	0.00829135	0.00899477	0.132949	0.13532	0.642728	0.0528986
h	0.00135338	0.00232177	0.000987031	0.00102893	0.00183644	0.0116483	0.0141357	0.0171158	0.0190229	0.0206559	0.0270938	0.103336	0.175673	0.409356	0.194434
o	0.00322084	0.0053378	0.00346269	0.00198946	0.000916269	0.00951821	0.0148107	0.0180458	0.0240105	0.0158422	0.0170853	0.0247762	0.0872764	0.62525	0.148458
k	0.00109466	0.000499139	0.000478259	0.000247589	0.000705454	0.0022443	0.00506241	0.00630186	0.00450514	0.0226964	0.0569028	0.0802019	0.107524	0.204035	0.5075
ó	0.00240789	0.00535681	0.00600202	0.00725426	0.0300219	0.0452365	0.0535579	0.0550433	0.0465142	0.137	0.159451	0.0804965	0.081127	0.144086	0.146445
