 	le	bébé	pleure	désespérément	</S>
o	0.932176	0.0675859	0.00013155	7.69223e-05	2.96385e-05
n	0.237646	0.751257	0.00330038	0.00401161	0.0037845
y	0.119634	0.812511	0.0106815	0.0190531	0.0381197
á	0.116609	0.857766	0.00047018	0.00774033	0.0174147
m	0.221544	0.563553	0.0338949	0.0228129	0.158195
á	0.607305	0.370611	0.00669201	0.000625292	0.0147669
b	0.174965	0.0855639	0.601868	0.0608452	0.076758
o	0.430988	0.0235344	0.0822924	0.0264043	0.436781
m	0.132449	0.00788382	0.749821	0.0680841	0.0417619
ó	0.729404	0.0722454	0.171101	0.00249891	0.0247509
o	0.621598	0.0382821	0.133757	0.13017	0.0761936
l	0.00396485	0.00125899	0.801512	0.166805	0.0264593
e	0.00257558	0.00189009	0.570926	0.304237	0.120372
á	0.00939141	0.00318133	0.63676	0.253457	0.0972107
y	0.0281613	0.00282832	0.0269279	0.740136	0.201947
é	0.00674628	0.000749854	0.0272334	0.810712	0.154559
l	0.010689	0.00116311	0.0299116	0.530862	0.427374
a	0.000877694	0.00015277	0.00525268	0.362457	0.63126
y	0.00496304	0.0003176	0.00842742	0.463188	0.523104
é	0.0027308	0.00122002	0.00501999	0.822127	0.168902
l	0.00419957	0.000283291	0.00767873	0.285955	0.701883
a	0.00250328	0.000545325	0.00220754	0.207236	0.787508
</S>	0.00147194	0.000100062	0.00726252	0.23997	0.751195
