 	les	enfants	qui	ont	accepté	d'	aller	au	front	sont	des	kamikazes	</S>
b	0.204421	0.777499	0.0102057	0.00160306	0.00144689	0.00277697	0.000338943	0.000777196	0.000129329	9.9082e-05	0.000313843	0.000386594	3.13263e-06
á	0.0244217	0.973617	0.00111606	0.000431984	7.95657e-05	5.60373e-05	3.601e-05	4.75194e-05	1.91929e-05	2.61876e-05	0.000117182	2.54166e-05	6.15004e-06
n	0.0636949	0.881823	0.0292783	0.0144851	0.00243963	0.0022987	0.00115523	0.000806566	0.00073902	0.000456572	0.00107446	0.000388467	0.0013598
a	0.27751	0.654936	0.0356702	0.00295293	0.0026885	0.00246852	0.00275439	0.00111734	0.00137763	0.00105126	0.000890343	0.00115307	0.0154299
b	0.287642	0.102222	0.29315	0.175659	0.0601129	0.0202502	0.00559424	0.0178832	0.00401457	0.0114052	0.00924991	0.000510987	0.0123065
á	0.0330898	0.0663436	0.230621	0.117927	0.0552162	0.0935881	0.0141637	0.0797627	0.0177786	0.0490383	0.104546	0.0427742	0.0951516
á	0.0237576	0.0577297	0.257383	0.384536	0.116702	0.0424387	0.0183833	0.018277	0.0190017	0.00949093	0.011079	0.00723108	0.0339886
b	0.00170092	0.000606447	0.0205183	0.221528	0.596199	0.0712947	0.0400959	0.00755292	0.0213296	0.00712492	0.00476642	0.00117996	0.00610323
é	0.000640882	0.00128534	0.00323679	0.0595901	0.84623	0.0392374	0.0103944	0.00596509	0.0224958	0.00323595	0.00240825	0.00265012	0.00263003
n	0.0177269	0.000803624	0.0262435	0.15634	0.553071	0.121942	0.0285104	0.0177414	0.037597	0.0072675	0.00697858	0.00173977	0.024038
y	0.00879153	0.000323426	0.0400839	0.120052	0.600161	0.14973	0.0232152	0.0204559	0.0113037	0.005612	0.00369535	0.00110811	0.0154671
í	0.00356695	0.000197897	0.0399862	0.0796445	0.35181	0.375299	0.0580673	0.0473947	0.00267877	0.00940544	0.00677865	0.00315697	0.0220129
i	0.00827153	0.00103584	0.11401	0.105655	0.142175	0.309682	0.108186	0.15836	0.0105159	0.0108513	0.00726138	0.00235646	0.0216404
d	0.00217952	0.000768782	0.00331213	0.015135	0.0254449	0.161171	0.486621	0.147128	0.111264	0.0157562	0.012073	0.0114582	0.00768776
z	0.000346383	5.01873e-06	0.000338243	0.00378414	0.00871183	0.0616091	0.708995	0.12793	0.046573	0.0192219	0.00632689	0.00519519	0.010964
w	0.00047958	8.63715e-05	0.000287025	0.000809083	0.00174335	0.0149588	0.945158	0.0219613	0.00359525	0.00606794	0.000771123	0.00161046	0.0024714
a	0.000375948	0.000112216	0.00254781	0.00488458	0.00276111	0.0422085	0.751562	0.124616	0.017329	0.0273639	0.00858759	0.0122992	0.00535236
l	0.000315981	5.3984e-06	0.00198476	0.00485185	0.00185481	0.0438618	0.177898	0.406787	0.186155	0.0890627	0.0400186	0.00917857	0.0380254
á	0.00301689	0.000271234	0.013369	0.015125	0.0133965	0.0801985	0.175296	0.251723	0.24122	0.0479066	0.0257063	0.00497408	0.127797
b	0.00585249	0.00118849	0.0049919	0.00587892	0.00324297	0.0303756	0.0549149	0.206176	0.402134	0.148188	0.0770533	0.0188835	0.0411197
i	0.00937341	0.00458897	0.00362522	0.00819605	0.0113952	0.0231405	0.0276805	0.0501985	0.680519	0.0554808	0.029233	0.0720726	0.0244964
r	0.000351079	5.72643e-05	0.000623125	0.00174257	0.00373229	0.00650681	0.0200686	0.034298	0.857226	0.0218509	0.00800278	0.0141091	0.0314314
á	0.0030613	0.000151952	0.000915591	0.00118941	0.00140645	0.0342791	0.141282	0.108253	0.358811	0.12032	0.0382246	0.0423042	0.149802
á	0.00135117	1.34574e-05	0.00267832	0.00241871	0.000813249	0.0100799	0.0150045	0.0904767	0.136636	0.443291	0.182186	0.0246117	0.0904391
d	0.0014215	1.68643e-05	0.00163812	0.00408531	0.00479285	0.00742893	0.00549171	0.0215096	0.0466435	0.343058	0.4685	0.0422703	0.0531437
i	0.000758378	1.76057e-06	0.00100229	0.00144603	0.0016364	0.00239271	0.0146931	0.0219995	0.0365815	0.347597	0.215374	0.0297487	0.326769
i	0.000251716	3.61931e-06	0.000370066	0.000895524	0.000593402	0.00365257	0.00422057	0.0207415	0.0692037	0.214466	0.43533	0.135561	0.11471
b	0.000538769	2.61593e-05	0.000473426	0.00114529	0.000541471	0.00255358	0.00515159	0.00683787	0.0377148	0.144616	0.364009	0.295734	0.140658
h	0.000456149	4.21915e-05	0.00146368	0.00201322	0.00364161	0.00612328	0.00163225	0.00536137	0.0366014	0.0488653	0.123291	0.73775	0.0327584
o	0.000222668	2.55927e-06	5.17318e-05	7.44696e-05	0.000462112	0.000845607	0.000442245	0.00154793	0.0127618	0.0153766	0.0310104	0.917958	0.0192437
n	0.000136872	2.08389e-05	2.41316e-05	4.22323e-05	0.000117404	0.000917764	0.00146716	0.00461566	0.0304721	0.0382745	0.0574704	0.724071	0.14237
g	0.012101	0.00377256	0.00354727	0.00124468	0.00126487	0.00924659	0.0368963	0.0124683	0.0334362	0.0595913	0.0646849	0.463326	0.29842
ó	0.00993166	0.0130859	0.00920545	0.000483134	0.00235422	0.00849884	0.0109108	0.0149904	0.00635875	0.0266496	0.0294866	0.386555	0.48149
</S>	0.012495	0.0033452	0.00270108	0.00130558	0.00263127	0.0112292	0.00788154	0.0181189	0.00500234	0.0750572	0.185036	0.109644	0.565552
