 	ils	viennent	de	cueillir	des	avocats	</S>
b	0.993693	0.00406125	0.00114367	2.40956e-05	0.00075409	0.00030037	2.38471e-05
á	0.987473	0.0106517	0.000320223	1.36745e-05	0.00116408	0.000331774	4.51578e-05
a	0.967018	0.0297903	0.00180039	0.000149934	0.000417717	0.000143114	0.000680064
á	0.0336596	0.860251	0.0626645	0.0027265	0.00470649	0.000307677	0.0356838
w	0.00124785	0.382742	0.516803	0.0638365	0.0133809	0.00499509	0.0169943
ú	0.000220933	0.120944	0.682566	0.145418	0.0205437	0.010332	0.0199761
r	0.00806025	0.0405778	0.680351	0.138102	0.0702954	0.0231467	0.039466
u	0.00146267	0.121539	0.691747	0.0641175	0.0918225	0.0107916	0.0185199
o	0.0672174	0.0819179	0.593421	0.0848416	0.144157	0.0167838	0.0116612
t	6.63594e-05	0.000398183	0.0179399	0.889974	0.00856069	0.0770256	0.00603554
ú	7.78176e-06	8.70778e-05	0.0102386	0.953366	0.00422725	0.0186454	0.0134278
s	4.39942e-05	8.36242e-05	0.0120845	0.898147	0.00828701	0.00684016	0.0745139
á	8.65787e-05	0.000466879	0.0297142	0.800129	0.0503358	0.0327808	0.0864862
á	0.00405367	0.0217387	0.122386	0.0470454	0.485388	0.181178	0.13821
a	0.0046263	0.0129233	0.0745958	0.0142742	0.393757	0.368438	0.131385
s	0.00026177	0.000246772	0.00676107	0.040798	0.0330982	0.8687	0.0501343
a	1.22313e-05	6.5998e-05	0.0079382	0.0381168	0.0365944	0.800135	0.117137
b	2.55256e-05	3.60539e-05	0.00830336	0.0194541	0.175359	0.472868	0.323954
o	0.000732195	0.00117968	0.0283601	0.0147915	0.382886	0.370317	0.201733
k	3.67368e-05	0.00015152	0.0100645	0.0235933	0.0868143	0.118347	0.760993
á	0.00125733	0.00205495	0.0321517	0.0391626	0.185849	0.0945384	0.644986
</S>	0.00110405	0.00250315	0.0135263	0.00696765	0.0583519	0.2018	0.715747
