 	com-	ment	tu	t'	appelles	</S>
k	0.723202	0.242338	0.0176976	0.0106317	0.00359257	0.00253828
ó	0.624642	0.293834	0.0294063	0.0237145	0.0231874	0.00521505
m	0.233254	0.587334	0.0144867	0.005001	0.00915278	0.150771
b	0.141737	0.770458	0.0146104	0.00706529	0.0522712	0.0138584
ó	0.0440759	0.803836	0.0275502	0.0433011	0.0413444	0.0398922
l	0.0418798	0.210986	0.196462	0.0856916	0.0563903	0.40859
á	0.00823655	0.0442541	0.255696	0.138848	0.0909769	0.461989
n	0.0849632	0.0519838	0.341839	0.176705	0.301147	0.043361
ώ	0.000834008	0.0123531	0.552865	0.298314	0.12197	0.0136645
n	0.0022202	0.0183163	0.111456	0.118963	0.217743	0.531301
d	0.000340766	0.0336481	0.064325	0.168378	0.448355	0.284953
a	0.000217394	0.0149986	0.0610546	0.111983	0.60325	0.208496
</S>	0.000774801	0.0287739	0.0246433	0.0693755	0.322836	0.553596
