 	la	maison	mon	père	a	pris	feu	</S>
n	0.211757	0.681667	0.0725898	0.018583	0.0106305	0.00397428	0.000309748	0.00048808
d	0.0679279	0.920829	0.00991883	0.000691714	0.000582316	3.41358e-05	1.07616e-05	5.72697e-06
é	0.00720045	0.983844	0.0036563	0.00480598	0.000400916	3.99203e-05	4.64361e-05	6.20353e-06
e	0.119035	0.586621	0.232975	0.0313389	0.0122791	0.00492898	0.00327676	0.00954585
y	0.125032	0.119712	0.578486	0.0688625	0.055286	0.0262789	0.0079199	0.0184225
á	0.228781	0.122026	0.46661	0.0490329	0.0265367	0.0183156	0.0159729	0.0727242
t	0.144956	0.080094	0.369834	0.337089	0.0315828	0.019603	0.0052771	0.0115648
á	0.0204145	0.0553954	0.0540396	0.791065	0.040663	0.0230248	0.00559139	0.00980598
á	0.019031	0.00848591	0.0761591	0.811691	0.0213119	0.00542242	0.00785486	0.0500439
y	0.0160283	0.0139395	0.320982	0.300118	0.220443	0.093045	0.0169317	0.0185131
a	0.0494121	0.0342891	0.416075	0.305952	0.108191	0.0446689	0.0110486	0.0303632
n	0.0307757	0.0237719	0.552289	0.239172	0.0881675	0.0420935	0.0081633	0.0155672
g	0.0282909	0.300563	0.51131	0.0677652	0.0626224	0.0106673	0.00704743	0.0117335
á	0.0187809	0.248437	0.365073	0.192314	0.0977802	0.0295238	0.0145039	0.033588
é	0.00314749	0.00355207	0.18756	0.0384586	0.338098	0.3386	0.0586523	0.0319312
l	0.00296111	0.00164998	0.0053139	0.0107274	0.233916	0.529986	0.19182	0.0236259
o	0.000765518	0.000663113	0.0059421	0.0326781	0.266364	0.212014	0.198531	0.283042
i	0.00158241	0.000883548	0.00644858	0.00303123	0.074432	0.686704	0.12965	0.097269
</S>	0.00342698	0.00200881	0.0917539	0.0382503	0.178777	0.242981	0.255788	0.187014
