 	s'	il	te	plait	essaie	ce	vêtement	pour	voir	s'	il	te	convient	</S>
m	0.642524	0.147538	0.0833617	0.0244802	0.00361584	0.0233237	0.0270166	0.0242089	0.00820335	0.00640691	0.00221482	0.00666293	0.00032637	0.000116023
ó	0.0392725	0.223749	0.399051	0.0969989	0.0449136	0.0199283	0.00431909	0.0101935	0.00201512	0.0126625	0.0699305	0.0378994	0.000153076	0.038914
m	0.216593	0.13585	0.238084	0.276677	0.101135	0.0109976	0.00673	0.00540168	0.00166088	0.00290978	0.00151267	0.00124375	0.000118055	0.00108619
e	0.0277616	0.213298	0.0666275	0.372426	0.294641	0.0111955	0.000742311	0.00435968	0.000218554	0.000736965	0.00217478	0.000977555	7.2101e-05	0.00476888
á	0.0354592	0.0947802	0.264154	0.399583	0.10883	0.0351884	0.00565104	0.0187573	0.00298485	0.00996935	0.0123993	0.00141276	0.00145258	0.00937879
o	0.0326465	0.0746808	0.237426	0.386352	0.0963712	0.0658936	0.0259368	0.0106963	0.011824	0.0123491	0.0119103	0.0052319	0.00367127	0.0250104
k	0.00126711	0.00265422	0.0259678	0.147525	0.440322	0.0598249	0.288064	0.00438621	0.00282098	0.00298624	0.00366373	0.000204576	0.00992738	0.0103864
á	0.00111756	0.00134376	0.00986228	0.0490929	0.0984986	0.0606124	0.691663	0.00855203	0.0139741	0.00902341	0.0114292	0.000949032	0.0195146	0.0243668
n	0.00381449	0.0124326	0.0326823	0.186161	0.179521	0.0909378	0.331787	0.0216589	0.02507	0.0170889	0.0239673	0.00190374	0.0186844	0.0542906
d	0.0836662	0.0767353	0.197759	0.0740772	0.0578527	0.0620985	0.299446	0.0407762	0.0291432	0.0196416	0.0249588	0.00548979	0.00187097	0.0264841
á	0.0790744	0.181464	0.320024	0.0549532	0.0755663	0.0522885	0.100593	0.0213929	0.026755	0.0168081	0.0155837	0.00977652	0.00110068	0.0446196
m	0.0264002	0.0505466	0.196848	0.09352	0.0598448	0.309339	0.0754185	0.123519	0.0292807	0.0149502	0.0100587	0.00370826	0.000873899	0.0056916
ú	0.0580896	0.0910921	0.109037	0.1718	0.180129	0.131014	0.0178606	0.196993	0.00320482	0.00706022	0.0129976	0.00286224	9.39214e-05	0.0177657
w	0.00811809	0.0280408	0.09483	0.143261	0.165201	0.306066	0.105168	0.127109	0.00337827	0.00588077	0.00633536	0.000914739	0.000640509	0.0050565
á	0.0146421	0.0156649	0.0557965	0.0471195	0.0923047	0.150526	0.240757	0.243196	0.0456333	0.0269458	0.0314557	0.00402808	0.00571774	0.0262126
á	0.0108529	0.0166824	0.0628632	0.035853	0.0456672	0.162539	0.167956	0.20105	0.0941879	0.0370985	0.0393774	0.00885827	0.0199463	0.0970683
m	0.00442263	0.0093557	0.0168496	0.0328311	0.0441519	0.169916	0.0935411	0.289313	0.255749	0.0429718	0.0160616	0.0108235	0.0020525	0.0119606
ó	0.0180517	0.0331624	0.0151417	0.076975	0.157825	0.189239	0.0240993	0.290117	0.0236832	0.0504707	0.0523558	0.0101848	0.00195742	0.0567378
o	0.00622492	0.00817889	0.0215558	0.0196283	0.0171354	0.152635	0.105554	0.206974	0.333365	0.0771008	0.0117373	0.00736287	0.0214849	0.0110627
k	0.000780672	0.00111058	0.00234024	0.0155855	0.0310391	0.0862398	0.334736	0.0806763	0.303009	0.0809846	0.0115723	0.00178891	0.0407063	0.00943051
o	3.16532e-05	4.32746e-05	0.00027152	0.000981954	0.00402682	0.0241408	0.804874	0.0223445	0.0483258	0.014038	0.00566661	0.000708249	0.058394	0.0161531
á	2.40553e-05	3.44712e-05	0.000405422	0.00230391	0.0203268	0.0416889	0.761344	0.0243756	0.0664599	0.024375	0.00746921	0.00360174	0.0326295	0.0149616
l	0.00127609	0.00332677	0.00859542	0.0109018	0.0112784	0.0482539	0.0182897	0.236964	0.143096	0.341631	0.110972	0.0388735	0.0106392	0.015901
a	0.00243439	0.000880032	0.00279433	0.00288615	0.00492654	0.0092138	0.01717	0.0475949	0.219608	0.21716	0.11189	0.0765074	0.048662	0.238273
n	0.00259253	0.0018878	0.0046475	0.00287439	0.00142121	0.0130741	0.00414165	0.124706	0.226586	0.35677	0.0949436	0.105919	0.0374323	0.0230055
ω	0.00254818	0.00254189	0.00780446	0.00103814	0.00242232	0.00643994	0.00567652	0.048258	0.0950903	0.204747	0.0768889	0.519751	0.00651927	0.0202745
</S>	0.000410009	0.0012861	0.00308603	0.00172076	0.00271972	0.00873124	0.00146021	0.0317271	0.166359	0.259827	0.115315	0.361344	0.0146023	0.031412
