 	celles-ci	sont	mes	chenilles	celles-là	sont	à	toi	</S>
y	0.537291	0.265424	0.111959	0.0496443	0.0231338	0.00368314	0.0080606	0.000535876	0.000269165
é	0.677383	0.227513	0.0233392	0.0554267	0.0145903	0.000870977	0.000496576	0.00017206	0.000208324
k	0.024044	0.126755	0.0329826	0.789431	0.0208483	0.00252702	0.00170339	0.000641477	0.00106784
o	0.0504	0.0301338	0.0147395	0.830469	0.00589364	0.0102997	0.00440113	0.00391227	0.0497513
n	0.0910589	0.0368615	0.0100223	0.845652	0.00392656	0.00142741	0.00116032	0.000209601	0.00968094
g	0.114213	0.0322	0.0194315	0.808333	0.00697931	0.00288127	0.00150495	0.000787613	0.0136693
ó	0.168253	0.0725583	0.118428	0.568917	0.0377068	0.0029275	0.00348855	0.00621742	0.0215035
y	0.0149446	0.148861	0.34475	0.0646822	0.356117	0.0206443	0.0250678	0.00749183	0.0174426
á	0.00618385	0.0847979	0.213972	0.11534	0.467682	0.0312069	0.0168515	0.0062455	0.0577201
n	0.000714766	0.00434232	0.425502	0.045969	0.468925	0.0133788	0.0179224	0.0195808	0.00366424
g	5.63428e-05	0.000219036	0.224003	0.00391392	0.714217	0.0023327	0.00430091	0.0497322	0.00122542
á	0.000769398	0.00112346	0.102175	0.012683	0.775408	0.00709005	0.0120303	0.0775581	0.0111622
y	0.00102164	0.00201314	0.0171855	0.0191358	0.629286	0.143003	0.136555	0.0204823	0.0313175
é	0.00213987	0.0157675	0.0864191	0.00835024	0.648282	0.117241	0.0689748	0.0290995	0.0237261
y	0.000707831	0.00375933	0.0657727	0.03255	0.263534	0.224353	0.245951	0.0640603	0.0993117
á	0.000907363	0.0064459	0.0415136	0.0249371	0.375916	0.261765	0.167567	0.0423	0.0786492
n	0.00117462	0.00201941	0.0595417	0.0209471	0.157403	0.206822	0.345267	0.0871066	0.119719
ω	0.000122685	0.00023784	0.0310806	0.00447649	0.167872	0.0656656	0.163734	0.441131	0.125681
</S>	0.000349759	0.00104543	0.00766598	0.00757444	0.0692228	0.10034	0.179457	0.203845	0.430501
