 	notre	champ	se	trouve	entre	deux	montagnes	</S>
n	0.234748	0.258235	0.309518	0.091961	0.0636198	0.0398727	0.00173324	0.000312346
g	0.0282576	0.961396	0.00478146	0.000412983	0.00046377	0.000692069	0.00382707	0.00016876
o	0.0048825	0.992402	0.00135664	0.000231577	0.000296359	8.43393e-05	0.000671281	7.54449e-05
n	0.00459082	0.973626	0.00982506	0.00130584	0.00224847	0.000783397	0.0033888	0.00423112
d	0.00248473	0.0495485	0.0785291	0.0271101	0.0334132	0.0103833	0.0225716	0.775959
a	0.0172388	0.532511	0.16437	0.0353535	0.0197413	0.00512409	0.0122949	0.213366
y	0.200717	0.289209	0.35421	0.0878004	0.0171747	0.00877148	0.00429035	0.0378269
á	0.402854	0.253087	0.170279	0.095465	0.0166509	0.00611202	0.00444219	0.0511095
b	0.840021	0.0955789	0.0390305	0.0187629	0.00326984	0.000933392	0.000540575	0.00186331
í	0.967978	0.00407942	0.0164516	0.00560566	0.00134477	0.00167612	0.00229364	0.000570921
s	0.986054	0.00183155	0.00679458	0.00177659	0.00026409	0.00121836	0.00033342	0.00172701
í	0.465282	0.0931151	0.268036	0.0272374	0.0134422	0.0237593	0.0329774	0.0761507
é	0.0413083	0.0303975	0.579923	0.268129	0.0346866	0.0169422	0.00472465	0.0238883
d	0.0485082	0.023465	0.193161	0.586602	0.123195	0.00874106	0.0014076	0.0149192
i	0.0474521	0.00253124	0.123634	0.443089	0.233455	0.0545543	0.0117656	0.0835187
p	0.0132981	0.00217458	0.0927717	0.403357	0.345534	0.101773	0.0141304	0.0269607
á	0.0180184	0.00375974	0.0522882	0.55712	0.329661	0.0213359	0.00211995	0.0156973
n	0.0216535	0.00308546	0.0622215	0.507534	0.338227	0.0334258	0.00435426	0.0294984
y	0.0079365	0.00402602	0.102069	0.27742	0.539566	0.0250334	0.00543509	0.0385148
á	0.00935799	0.0135552	0.147655	0.193461	0.430673	0.0196244	0.0155392	0.170135
á	0.00590426	0.00295298	0.0615996	0.206615	0.473133	0.212661	0.0145738	0.0225609
i	0.0237573	0.00391127	0.0321998	0.0626302	0.291409	0.483793	0.0771699	0.0251297
n	0.00594156	0.00326258	0.0264343	0.082827	0.334893	0.336738	0.117954	0.0919494
g	0.0175358	0.0151327	0.0375617	0.0161741	0.105596	0.200025	0.313289	0.294686
í	0.00762434	0.0430949	0.0185498	0.026593	0.143713	0.147145	0.545782	0.0674984
a	0.000190492	0.000149253	0.016944	0.0458361	0.229963	0.280464	0.343325	0.0831292
í	0.00107472	0.000276074	0.0112048	0.015066	0.0591942	0.310699	0.371924	0.230562
b	0.0136969	0.0027802	0.0411482	0.0796659	0.15726	0.161195	0.422212	0.122042
a	0.00918551	0.000406963	0.0276982	0.0499121	0.0876522	0.337487	0.43628	0.0513781
á	0.00191094	0.000662301	0.0060573	0.0123344	0.0420588	0.213385	0.458228	0.265362
</S>	0.0159706	0.0011608	0.00964801	0.00845019	0.0122019	0.0834631	0.412577	0.456528
