 	ce	malade	du	sida	n'	a	personne	pour	s'	occuper	de	lui	</S>
m	0.332181	0.443205	0.141743	0.0244445	0.00650311	0.0121529	0.00362657	0.0115499	0.0174845	0.00299912	0.00297644	0.000250493	0.000883509
o	0.10144	0.0541392	0.290743	0.151854	0.0957715	0.0462332	0.0439174	0.0336027	0.0107004	0.0026891	0.0506667	0.0123972	0.105846
r	0.208125	0.407502	0.149396	0.0835672	0.0603512	0.0202268	0.0253155	0.00557041	0.00243778	0.00652759	0.00216235	0.00300831	0.02581
o	0.150695	0.414412	0.257901	0.0712717	0.0565853	0.0219822	0.0128495	0.00360147	0.00118402	0.000673259	0.00280228	0.0024748	0.00356804
y	0.23223	0.172815	0.498535	0.0197185	0.015606	0.00691466	0.00621189	0.0135359	0.00553635	0.000642231	0.00314275	0.000489315	0.0246221
a	0.268812	0.16942	0.218206	0.0468464	0.0780326	0.0359895	0.0436775	0.038399	0.0144533	0.00531019	0.0258269	0.021625	0.033402
s	0.208046	0.0165058	0.19532	0.204698	0.112182	0.0445819	0.0180317	0.0592267	0.0248066	0.00241672	0.0342642	0.0128197	0.067101
i	0.158599	0.0278523	0.281086	0.32409	0.0948729	0.00968792	0.00953154	0.011483	0.00717237	0.00224477	0.0102636	0.00998532	0.053131
d	0.0828382	0.00917251	0.28672	0.28823	0.176696	0.0441717	0.0191696	0.0291196	0.00965961	0.00145447	0.013841	0.00827884	0.0306491
á	0.0168796	0.00183674	0.139303	0.686457	0.108397	0.00336487	0.00167305	0.000804173	0.000394487	0.000600585	0.000919124	0.00476775	0.0346026
w	0.0152536	0.00225152	0.110828	0.300498	0.247961	0.108647	0.0404083	0.0840029	0.0372062	0.00260209	0.014562	0.00703135	0.0287477
ó	0.0310806	0.0199919	0.139445	0.114733	0.0588797	0.096935	0.0762425	0.136255	0.108555	0.00620734	0.0665686	0.0825395	0.0625668
á	0.0175421	0.00417666	0.102431	0.14325	0.185648	0.146267	0.101967	0.142344	0.0653186	0.00652868	0.0184255	0.0119982	0.0541035
m	0.0115951	0.0060636	0.0182697	0.105699	0.075807	0.0706134	0.0589939	0.182308	0.292254	0.119997	0.0146467	0.00687148	0.0368807
i	0.00996283	0.000764448	0.022133	0.0941034	0.131223	0.0896904	0.237668	0.214694	0.112775	0.0235817	0.0265135	0.0113812	0.0255104
k	0.00365964	0.00311097	0.00664293	0.0426752	0.044353	0.0224672	0.0766079	0.0740956	0.145538	0.543877	0.00687723	0.00438769	0.025707
á	0.00032067	0.00297364	0.00239674	0.00960702	0.00601363	0.00386776	0.0147481	0.0139928	0.0598478	0.86651	0.00339243	0.00255805	0.0137711
m	0.00116996	0.000762297	0.00813443	0.0707633	0.0671033	0.0613818	0.0899894	0.110286	0.240485	0.188463	0.0259587	0.0480985	0.0874041
b	0.0079075	0.00140533	0.0295186	0.146445	0.0865946	0.0324883	0.073604	0.0863375	0.0865755	0.0789597	0.153911	0.132729	0.0835243
á	0.0117442	0.00917968	0.0420517	0.03334	0.0200661	0.0270646	0.0739506	0.0818807	0.115282	0.184048	0.0946101	0.101463	0.20532
o	0.00302487	0.000407812	0.00883817	0.0339437	0.0762637	0.0571856	0.0264188	0.164819	0.131571	0.0193956	0.382595	0.0785133	0.0170235
k	0.00493	0.00882473	0.0118383	0.0196312	0.00955001	0.00518797	0.0109257	0.0130112	0.0509394	0.639502	0.0552317	0.146736	0.023692
ω	4.52027e-05	0.0011828	0.000564918	0.000440219	0.000534193	0.000994508	0.00566422	0.00285073	0.0137606	0.947053	0.00448085	0.00820386	0.014225
n	3.04092e-05	0.00117512	0.000707059	0.00043152	0.00135655	0.00801893	0.0239985	0.0136879	0.042097	0.880614	0.0093126	0.00583943	0.0127308
i	0.000506656	0.00274082	0.000723901	0.00181384	0.0032015	0.00868872	0.011609	0.0103523	0.0293516	0.854771	0.0163979	0.0144226	0.0454198
s	0.00394653	0.000656059	0.0111431	0.00897159	0.0137257	0.010315	0.00953954	0.0507342	0.05407	0.0257912	0.467766	0.20258	0.140761
i	0.00828369	0.0172984	0.0471083	0.0785603	0.0175314	0.00937616	0.00531685	0.00962553	0.0115133	0.10436	0.15308	0.223643	0.314303
w	0.00886302	0.00356941	0.0182896	0.0378865	0.0214317	0.0218098	0.00491627	0.028113	0.0165514	0.00314542	0.286077	0.277247	0.2721
a	0.0161387	0.00616069	0.0214087	0.106687	0.0214418	0.0545488	0.0183111	0.03091	0.0462152	0.00892743	0.12142	0.526157	0.021673
</S>	0.0024836	0.00263048	0.00526522	0.0100747	0.00559629	0.00834983	0.00436349	0.00972653	0.00944293	0.00403787	0.152103	0.39756	0.388366
