 	arrête	d'	effrayer	ton	petit	frère	</S>
k	0.845664	0.132082	0.00724841	0.00575376	0.0079738	0.0011263	0.000151916
ú	0.977144	0.012918	0.00675567	0.0014846	0.000949736	0.000570498	0.00017776
l	0.744873	0.127603	0.0319586	0.0236727	0.00987761	0.00270339	0.0593118
á	0.104666	0.440804	0.0428005	0.258589	0.0447972	0.0155174	0.0928259
o	0.0259662	0.615513	0.230384	0.0787631	0.0315281	0.00429173	0.0135546
p	0.0147723	0.0524241	0.753865	0.055472	0.0213615	0.0870797	0.015025
a	0.0506726	0.0129271	0.844773	0.0255683	0.00799523	0.0280659	0.0299982
m	0.114094	0.0361791	0.729936	0.0498698	0.0135993	0.0283589	0.0279631
b	0.00357665	0.0509137	0.571032	0.146097	0.0890015	0.0444391	0.0949407
í	0.0187735	0.103884	0.299791	0.226965	0.0746158	0.0510802	0.22489
s	0.0161325	0.109363	0.122978	0.435692	0.215025	0.0138727	0.0869363
á	0.00297738	0.0463906	0.0452577	0.630963	0.179387	0.0134066	0.0816182
o	0.00292211	0.0235217	0.0116698	0.36148	0.534713	0.0508482	0.0148453
d	0.00121338	0.00231877	0.0181827	0.0314149	0.120805	0.777324	0.0487415
i	0.000269013	0.00270763	0.00666077	0.0264684	0.200113	0.505259	0.258522
m	0.000163842	0.00717026	0.00393893	0.091045	0.319269	0.40095	0.177464
í	0.000107373	0.002975	0.00905603	0.0318213	0.170774	0.364761	0.420505
</S>	0.000490544	0.0084127	0.00517191	0.104858	0.189908	0.110093	0.581066
