 	où	est	celui	qui	te	lance	des	pierres	</S>
o	0.29492	0.0892473	0.10592	0.0509801	0.163038	0.268235	0.0217992	0.00177605	0.00408454
m	0.000354743	0.00171557	0.00340928	0.00387625	0.0284035	0.765509	0.0483183	0.138912	0.00950147
a	0.00360095	0.0205634	0.0389947	0.0272123	0.0138996	0.118455	0.327486	0.439983	0.00980527
i	0.00391533	0.032543	0.0600917	0.0378329	0.0201716	0.293849	0.131509	0.308721	0.111366
n	0.00572083	0.0621159	0.121973	0.129845	0.0721498	0.221209	0.206015	0.0417239	0.139248
ώ	0.0662731	0.0434324	0.0614151	0.137676	0.207508	0.325272	0.0865456	0.0179117	0.0539655
a	0.00370314	0.0169939	0.0267317	0.0623069	0.333634	0.263402	0.265845	0.00442242	0.0229611
b	0.0025703	0.0262658	0.072991	0.0848381	0.211668	0.143676	0.259975	0.139648	0.0583685
v	0.00126271	0.00581271	0.0184959	0.0128029	0.101164	0.0457868	0.169201	0.537207	0.108267
e	0.00314407	0.00941167	0.0257526	0.0436998	0.32427	0.0424953	0.185434	0.30646	0.0593327
a	0.00638989	0.0126596	0.0184517	0.0497496	0.117643	0.0339094	0.145615	0.134429	0.481152
d	0.00178711	0.00898074	0.0137784	0.0293695	0.127657	0.0446756	0.239686	0.273834	0.260232
é	0.00167728	0.0123673	0.0213909	0.0390148	0.0804173	0.0276796	0.134	0.245006	0.438447
e	0.0157967	0.0218817	0.0322553	0.0728775	0.168627	0.0395403	0.131467	0.0816416	0.435912
</S>	0.00171937	0.0046608	0.00739967	0.00744528	0.0372909	0.0257459	0.0584544	0.0648564	0.792427
