 	l'	événement	a	fait	grand	bruit	</S>
i	0.48527	0.407145	0.0649182	0.0120138	0.0214478	0.00707839	0.00212662
b	0.162107	0.540849	0.065008	0.039747	0.0185562	0.169067	0.00466586
h	0.01164	0.940637	0.0244954	0.00344096	0.00205263	0.0129024	0.00483153
ώ	0.0652056	0.865829	0.0216183	0.00974606	0.00648372	0.0216831	0.0094345
ω	0.606332	0.3678	0.00830766	0.00192927	0.00918402	0.00268567	0.00376168
d	0.611951	0.182464	0.115825	0.024273	0.029766	0.00481586	0.0309051
í	0.147601	0.0161179	0.0737846	0.041867	0.0112225	0.00302623	0.706381
i	0.0786069	0.0359951	0.337401	0.075264	0.0733437	0.00643437	0.392955
í	0.052806	0.0360308	0.261929	0.311818	0.0968829	0.0381891	0.202344
k	0.0334818	0.0247356	0.25955	0.38071	0.158555	0.0627881	0.0801794
y	0.00327128	0.0310424	0.0507326	0.467216	0.098574	0.253521	0.0956429
e	0.0118861	0.0704412	0.0746137	0.390242	0.10188	0.216076	0.134861
l	0.00961424	0.0292446	0.119714	0.210097	0.24167	0.271666	0.117995
o	0.00738789	0.0238646	0.0393582	0.231518	0.121781	0.38485	0.191241
b	0.00565068	0.00798094	0.0241802	0.0529658	0.0812603	0.545879	0.282083
h	0.00501231	0.0129868	0.0227058	0.166121	0.123704	0.526371	0.1431
ó	0.00231093	0.0192837	0.00712562	0.0474458	0.0397445	0.69515	0.18894
ó	0.0029983	0.00491923	0.0104227	0.0585589	0.261699	0.287395	0.374007
m	0.0195886	0.00864635	0.0193905	0.0518442	0.2274	0.255526	0.417604
b	0.0399504	0.0352917	0.069764	0.0444692	0.293459	0.15875	0.358316
v	0.0339783	0.040915	0.0107452	0.0307988	0.130981	0.434551	0.31803
a	0.00611594	0.0332776	0.0127868	0.0415328	0.0753322	0.417962	0.412993
m	0.00133863	0.000849219	0.00407827	0.0315375	0.0588922	0.12419	0.779115
b	0.0621252	0.0595268	0.0366721	0.023513	0.230007	0.203644	0.384512
v	0.0402353	0.047539	0.00633489	0.0288009	0.0667569	0.269466	0.540867
a	0.0179056	0.0167369	0.00527057	0.0360283	0.0410141	0.210369	0.672676
</S>	0.00591102	0.00303837	0.00323054	0.0102193	0.0381368	0.0900472	0.849417
