 	le	manioc	préparé	par	cette	femme	n'	est	pas	bien	pétri	</S>
i	0.442309	0.460712	0.0359128	0.0121284	0.0170508	0.00520997	0.00571408	0.00515958	0.00684279	0.00840701	6.76834e-05	0.000486097
k	0.0562622	0.754198	0.0894288	0.00671575	0.00249164	0.00111409	0.00585963	0.010568	0.0131172	0.00617605	0.0509927	0.00307541
ώ	0.0142049	0.911558	0.0252455	0.0137623	0.002885	0.000368612	0.00393653	0.00384133	0.00299643	0.00255416	0.0132433	0.00540382
ώ	0.0193852	0.884488	0.0613065	0.00607275	0.00747878	0.000435612	0.00276066	0.0020886	0.00307098	0.00466421	0.0018868	0.00636192
b	0.460863	0.130301	0.291788	0.0249432	0.0195316	0.00641166	0.00893167	0.00872134	0.0139215	0.0134714	0.000558497	0.0205567
í	0.157609	0.114853	0.165158	0.153423	0.0596064	0.0199467	0.0209419	0.0380952	0.0498106	0.0645768	0.000417769	0.155561
í	0.173958	0.0476281	0.0915512	0.123311	0.111981	0.202357	0.0398143	0.0264909	0.0300011	0.0258112	0.00166239	0.125434
s	0.0261867	0.0099651	0.324303	0.190347	0.113124	0.130428	0.0375199	0.0413104	0.0294113	0.0148286	0.000401906	0.082175
i	0.00736122	0.000933225	0.198242	0.275992	0.141341	0.260144	0.0267334	0.0185719	0.0101224	0.00449577	0.000143752	0.0559201
á	0.0479079	0.00314016	0.0957398	0.341475	0.298616	0.0779667	0.0323029	0.0103209	0.00703259	0.00438986	0.00625617	0.0748522
o	0.00703739	0.00304088	0.0541538	0.2614	0.320172	0.21149	0.075777	0.0259423	0.0121321	0.00862272	0.00201301	0.0182187
y	0.00616752	0.00753121	0.0593188	0.267466	0.125272	0.0968414	0.178298	0.114371	0.0410968	0.0240949	0.0674898	0.0120533
ú	0.00850054	0.00290437	0.0355571	0.115007	0.210463	0.473477	0.0625769	0.0191893	0.00936408	0.00685893	0.0278039	0.0282984
r	0.0263405	0.00102263	0.0113043	0.145846	0.24582	0.0406122	0.0908224	0.0393544	0.0298268	0.0163647	0.126599	0.226086
u	0.0397677	0.00631518	0.0179994	0.205548	0.440563	0.0228847	0.098423	0.0441699	0.035004	0.0248373	0.0463318	0.018156
w	0.00284949	0.000841905	0.0119725	0.106982	0.302734	0.19765	0.210215	0.0804596	0.0419193	0.0290961	0.00146721	0.013813
ó	0.0146408	0.0212076	0.0144619	0.191193	0.210815	0.158079	0.112898	0.0605762	0.0460294	0.061766	0.0011981	0.107134
í	0.00223324	0.00274545	0.00389999	0.0416206	0.0394253	0.0245711	0.373303	0.217748	0.0808765	0.0454827	0.0197414	0.148353
d	0.00444506	0.0134973	0.0141999	0.00926839	0.0087515	0.00470128	0.127562	0.243561	0.216778	0.194061	0.106858	0.0563167
í	0.00205318	0.000334455	0.00359553	0.0165017	0.0235547	0.0316047	0.170268	0.21395	0.119279	0.0654846	0.0833937	0.269979
i	0.00237846	9.31836e-05	0.000787986	0.00472672	0.013132	0.0118292	0.0941074	0.17521	0.21121	0.134242	0.234259	0.118023
p	0.00314164	0.00182171	0.00318467	0.00714123	0.00711452	0.00847718	0.0377865	0.0607259	0.0917486	0.141359	0.420417	0.217082
f	0.000181571	0.00115113	0.00134821	0.00291343	0.00284171	0.00216103	0.0287554	0.0421536	0.0541172	0.0737958	0.730754	0.0598266
u	0.0007794	0.000638083	0.000625712	0.00321496	0.00372972	0.000762718	0.0134281	0.0230651	0.043989	0.0550145	0.813541	0.0412119
s	0.000284884	7.4288e-05	3.96306e-05	0.000616737	0.00160094	0.000140472	0.00511205	0.00691755	0.0141717	0.0191268	0.936417	0.0154985
u	0.000643178	0.000247625	7.28142e-05	0.00180812	0.00384869	0.000554293	0.0288472	0.0453595	0.105614	0.106017	0.566005	0.140982
</S>	0.000950551	0.000209734	0.000436618	0.00174824	0.00750127	0.00119098	0.0398492	0.0612494	0.184624	0.187253	0.0644146	0.450572
