 	c'	était	lui	qui	nous	a	fait	tra	verser	la	rivière	par	pirogue	</S>
é	0.556257	0.0579962	0.129558	0.104003	0.0133056	0.061855	0.0458139	0.00459302	0.00586443	0.0097401	0.005298	0.00275659	0.00256016	0.000399037
d	0.05659	0.563498	0.00972862	0.00491239	0.0014834	0.0913933	0.144109	0.0372955	0.0665108	0.00601719	0.00886301	0.00375344	0.00567797	0.000167233
z	0.0432352	0.677412	0.0200009	0.0139911	0.00177984	0.0545642	0.0929601	0.0646445	0.0143798	0.00721935	0.00134701	0.001361	0.000539864	0.00656516
e	0.17394	0.479003	0.0932528	0.127972	0.00366648	0.046443	0.0430534	0.0102123	0.00788285	0.00437013	0.00145185	0.00324167	5.82991e-05	0.00545293
w	0.092286	0.409022	0.11846	0.0634522	0.0114209	0.0486864	0.0510189	0.0238922	0.00947293	0.0332846	0.0152214	0.0184953	0.00238657	0.1029
á	0.049458	0.0239085	0.213434	0.103133	0.0214899	0.142847	0.139403	0.0189356	0.015669	0.0963942	0.0695456	0.0311342	0.00247422	0.0721738
m	0.0497541	0.0368861	0.109778	0.168177	0.24293	0.173997	0.109932	0.031767	0.0106491	0.0188293	0.010731	0.0109067	0.00580048	0.0198615
o	0.0615954	0.0875217	0.0469831	0.120486	0.200703	0.219338	0.119615	0.124832	0.00193533	0.00327601	0.000616823	0.00288208	0.000118897	0.0100966
r	0.1682	0.0627438	0.04467	0.0330453	0.00272532	0.072718	0.154969	0.394708	0.0222434	0.0141479	0.00823426	0.00873008	0.00109726	0.0117683
o	0.0434293	0.0345179	0.0740613	0.10717	0.000891185	0.0530405	0.209505	0.323748	0.0538488	0.0487934	0.0176224	0.0140377	0.000482571	0.0188519
y	0.0277621	0.0377445	0.126298	0.129823	0.0395027	0.185725	0.240063	0.148599	0.0224171	0.0182974	0.00556651	0.00735507	0.00136866	0.00947874
e	0.074536	0.0544788	0.20018	0.30609	0.0253962	0.166405	0.0866333	0.0393015	0.00513512	0.0125376	0.00557418	0.0104139	0.000114164	0.0132041
e	0.0331554	0.00532323	0.173015	0.254459	0.121992	0.137578	0.0971916	0.0921508	0.0245716	0.0161189	0.00710146	0.0111027	0.00172624	0.0245137
l	0.000989459	0.00428069	0.00161245	0.00127845	0.00244936	0.0282888	0.065055	0.745295	0.120476	0.0103738	0.00605521	0.00289522	0.00155899	0.00939219
a	0.00105289	0.00737289	0.00260552	0.00278729	0.00403615	0.0473049	0.130096	0.585366	0.134386	0.0184837	0.0128584	0.0131042	0.00771219	0.0328338
b	0.00150189	0.00743773	0.0496497	0.0715593	0.0255782	0.0840715	0.166659	0.308531	0.184198	0.0297458	0.0328103	0.0114659	0.00646091	0.02033
