 	c'	est	un	animal	sauvage	</S>
é	0.904501	0.0825971	0.00830206	0.0029947	0.00155735	4.82394e-05
d	0.245146	0.637966	0.0818738	0.0241842	0.00996711	0.000863151
í	0.0367515	0.440415	0.303502	0.181374	0.0142136	0.0237433
n	0.0170204	0.138906	0.278158	0.179199	0.077535	0.309182
y	0.00862848	0.00816685	0.0698682	0.884088	0.0066046	0.0226444
a	0.000315611	0.0022463	0.0317615	0.941939	0.0113446	0.0123928
m	0.00393319	0.0189634	0.0716272	0.556667	0.226365	0.122444
a	0.0390219	0.0294479	0.151431	0.219095	0.277398	0.283606
y	0.0216822	0.0371977	0.12201	0.106802	0.223502	0.488805
a	0.00960611	0.0146549	0.189412	0.370077	0.317954	0.0982952
k	0.0053796	0.00205287	0.0245307	0.147219	0.731192	0.0896258
ώ	0.00140498	0.00158374	0.00898932	0.00173547	0.912868	0.0734182
</S>	0.000291088	0.000787721	0.00677993	0.00271463	0.761653	0.227773
