 	cette	maladie	l'	a	rendu	pâle	</S>
i	0.263894	0.609486	0.097169	0.0105755	0.0147158	0.00143711	0.00272238
k	0.0246701	0.931926	0.00768325	0.00748721	0.0142355	0.00886281	0.0051348
ω	0.00461848	0.966756	0.0055927	0.00321921	0.000866604	0.0158067	0.00314062
n	0.00347192	0.96468	0.0209331	0.00167123	0.00158967	0.00673608	0.000918403
í	0.132598	0.811405	0.0225019	0.0080189	0.0110394	0.00452346	0.0099138
d	0.465346	0.0901496	0.329474	0.0602405	0.0113218	0.00458676	0.0388815
í	0.484147	0.0111287	0.0694737	0.0543763	0.020983	0.00987283	0.350018
í	0.42021	0.00818948	0.228222	0.178059	0.0489489	0.028656	0.0877151
m	0.233518	0.00392054	0.211914	0.261515	0.143238	0.0155633	0.130332
i	0.0467374	0.000901315	0.114238	0.212007	0.0766516	0.169754	0.37971
p	0.0322231	0.0105518	0.0560915	0.311528	0.103861	0.372142	0.113602
f	0.00114682	0.00145014	0.00625043	0.0965118	0.0164214	0.805306	0.0729131
ú	0.00566983	0.00152802	0.00873028	0.112831	0.0353883	0.708576	0.127277
m	0.00430164	0.000865197	0.00756355	0.0286064	0.0125804	0.887058	0.0590247
b	0.121948	0.00453339	0.14926	0.0499681	0.0453607	0.562197	0.0667323
ú	0.279563	0.0118226	0.0714843	0.103456	0.130206	0.355307	0.0481615
s	0.0242854	0.00195074	0.0509829	0.0780056	0.279051	0.21216	0.353565
á	0.0393664	0.00220275	0.0395996	0.20123	0.344166	0.159013	0.214423
w	0.0258546	0.00358497	0.0574818	0.119184	0.322723	0.128214	0.342958
a	0.0103365	0.00250005	0.0242137	0.104338	0.34137	0.396074	0.121168
</S>	0.00790171	0.00184056	0.0304783	0.0632586	0.142852	0.080273	0.673395
