 	le	chien	et	le	chat	ne	s'	entendent	pas	=	-bondima	</S>
m	0.845745	0.0925784	0.0184775	0.00595146	0.00770601	0.0144297	0.00337164	0.00104382	0.00346273	0.00384761	0.00327289	0.000113418
v	0.0141927	0.969046	0.00607269	0.00219802	0.0011205	0.000202311	0.000443992	0.000967745	0.00033125	0.00203735	0.000156702	0.0032307
á	0.0142243	0.973001	0.00108767	0.00306163	0.00109008	0.000208317	0.000415402	0.00312742	0.00106768	0.0024605	3.18273e-05	0.000224319
n	0.051792	0.725502	0.00949122	0.00966934	0.0113647	0.00124051	0.00169927	0.00466299	0.00196338	0.0101514	0.00330807	0.169155
d	0.152704	0.516082	0.0620622	0.0381721	0.0334501	0.0155051	0.0116031	0.00516475	0.00661359	0.0101	0.00189097	0.146651
é	0.162196	0.605676	0.0500004	0.0190016	0.0170132	0.00724323	0.0049506	0.000774866	0.0016001	0.00379803	0.001255	0.126491
b	0.193404	0.0479358	0.42736	0.0759339	0.0374576	0.0471841	0.0299911	0.0064633	0.0201083	0.0266416	0.0300002	0.0575197
á	0.0324204	0.0839501	0.52455	0.170867	0.0525066	0.0102455	0.0106357	0.00409438	0.0108497	0.0273277	0.00273833	0.0698155
a	0.315956	0.0125997	0.313888	0.0771206	0.0363658	0.0295353	0.0201714	0.0120724	0.0260513	0.0387947	0.0339973	0.0834474
l	0.0139214	0.165632	0.387084	0.19494	0.0746388	0.0255579	0.014393	0.0620455	0.0235755	0.00520678	0.00705868	0.0259466
o	0.00439829	0.0535606	0.211166	0.267954	0.101445	0.0134309	0.0117303	0.146427	0.0429359	0.0206864	0.00269034	0.123576
m	0.0100512	0.0390132	0.163286	0.278075	0.213645	0.0267368	0.00713245	0.065964	0.0451183	0.0211414	0.00466832	0.125168
b	0.0744658	0.0113808	0.130187	0.285987	0.224713	0.167733	0.0687403	0.0188615	0.00639874	0.00446849	0.000847879	0.00621689
v	0.0310466	0.190884	0.0714827	0.147397	0.402264	0.039181	0.00841653	0.00962422	0.00685127	0.0120974	0.00316408	0.0775923
w	0.00254881	0.0268263	0.0228479	0.0949468	0.736849	0.0203978	0.004769	0.00286475	0.00237064	0.00876734	0.00146962	0.0753422
έ	0.00496368	0.0155449	0.0179766	0.085587	0.701896	0.0290627	0.00721224	0.00709924	0.00858916	0.0166367	0.00438941	0.101042
l	0.00135331	0.00455001	0.0618156	0.132703	0.265311	0.28104	0.0359487	0.0161904	0.0183762	0.0101024	0.00146432	0.171146
ε	0.00594986	0.0134595	0.0311375	0.124783	0.444584	0.0817542	0.0250226	0.00540539	0.0104895	0.0340272	0.0097094	0.213678
á	0.00238081	0.000315812	0.0329972	0.04409	0.0526566	0.443711	0.32768	0.0252664	0.030825	0.0227514	0.00426067	0.0130648
d	0.00227343	0.00386372	0.0355331	0.0288581	0.0189745	0.0665034	0.133887	0.350641	0.279206	0.0353862	0.0117284	0.0331448
i	0.0008962	0.000743692	0.0142894	0.0231703	0.00922676	0.0668479	0.101064	0.391414	0.237544	0.0494152	0.00477604	0.100613
í	0.000427601	0.000149532	0.00919663	0.0206069	0.00851913	0.0469629	0.0740996	0.390066	0.329417	0.0600142	0.00545502	0.0550858
o	0.00113536	0.000435767	0.00993678	0.00987084	0.00789632	0.0271706	0.0688838	0.119643	0.310774	0.159703	0.109017	0.175533
k	0.0003349	0.00166029	0.015209	0.0172095	0.014748	0.0129066	0.0138058	0.122925	0.258273	0.219919	0.199397	0.123612
a	5.87138e-05	0.00174216	0.00386655	0.00788352	0.0105787	0.013951	0.00356519	0.0229123	0.460481	0.0801174	0.2315	0.163343
a	0.000170284	0.000411878	0.000869555	0.00174208	0.00421565	0.0121721	0.00469065	0.0288781	0.481193	0.0972246	0.167094	0.201339
n	0.000364602	0.00028695	0.00644695	0.00609047	0.00659445	0.0135988	0.0269167	0.0188221	0.131475	0.250622	0.153262	0.38552
a	0.00608076	0.0117522	0.0221942	0.0261605	0.0448437	0.00737605	0.0274281	0.00762888	0.0553582	0.392985	0.0779659	0.320226
k	0.000323894	6.96976e-05	0.00284526	0.00277556	0.00390052	0.0156451	0.0198825	0.00385829	0.0570926	0.163804	0.0692847	0.660517
a	0.000641719	0.000428509	0.0162854	0.0130769	0.0108178	0.0151149	0.00475936	0.0026944	0.0986865	0.0610025	0.513868	0.262624
á	0.000136961	0.000101434	0.00109472	0.00209327	0.00249109	0.0191188	0.00855584	0.00570977	0.123397	0.0626176	0.123425	0.651259
</S>	0.00115768	0.00135159	0.0103532	0.00891021	0.00348185	0.0149525	0.0388091	0.0198057	0.0353537	0.121192	0.0807775	0.663855
