 	les	sourcils	protègent	les	yeux	contre	la	sueur	</S>
i	0.43657	0.469564	0.0419106	0.0236753	0.0170984	0.00296292	0.00725767	0.000933303	2.81763e-05
k	0.0375683	0.909967	0.0158422	0.00318579	0.0131077	0.0100419	0.00351845	0.00619301	0.000575288
í	0.0195508	0.924217	0.00529885	0.00909304	0.000830816	0.0184686	0.0040724	0.0144737	0.00399445
i	0.0161479	0.857811	0.0587171	0.0181825	0.00369057	0.0100687	0.00329016	0.00613163	0.0259603
b	0.27424	0.195693	0.323101	0.118544	0.0195866	0.0185604	0.0188799	0.00072155	0.0306733
í	0.0860937	0.0461235	0.128808	0.0833567	0.00835441	0.0430644	0.0656577	0.00331203	0.535229
i	0.103907	0.0295153	0.413361	0.217698	0.126493	0.0270951	0.0282235	0.00477365	0.0489344
b	0.0130443	0.0281914	0.104788	0.14349	0.146262	0.423817	0.0718004	0.0116632	0.0569442
á	0.023585	0.0474863	0.132651	0.109971	0.264038	0.323656	0.0483216	0.0136228	0.0366676
r	0.0142246	0.0198929	0.197374	0.205564	0.213552	0.184359	0.0574094	0.00477593	0.102847
á	0.110555	0.0336926	0.121907	0.401553	0.0186978	0.186675	0.0341148	0.00298865	0.0898148
m	0.0188783	0.00389775	0.179285	0.244841	0.161133	0.103417	0.248855	0.0182764	0.0214173
í	0.0254997	0.00288571	0.062383	0.178466	0.317685	0.0307203	0.11517	0.0623689	0.204821
s	0.00790854	0.00682334	0.0613895	0.16768	0.088012	0.157015	0.183828	0.27695	0.0503942
i	0.0025201	0.00680408	0.0281396	0.111466	0.200714	0.300116	0.183954	0.0822158	0.0840717
l	0.000712575	0.00166979	0.00587264	0.0393634	0.0337466	0.191047	0.423391	0.22906	0.0751372
o	0.0025757	0.00431092	0.00420545	0.0388579	0.00222132	0.209911	0.271506	0.308164	0.158247
p	0.00214099	0.00160541	0.00379284	0.0224469	0.00379842	0.0828574	0.245543	0.347812	0.290003
ω	0.00214189	0.0110958	0.00127572	0.0111063	0.000377002	0.077917	0.0895406	0.750657	0.055889
m	5.3327e-05	0.000245348	0.000186423	0.00212787	0.000592814	0.0265635	0.0601657	0.858646	0.0514189
i	0.00746139	0.00297602	0.0023448	0.0278311	0.00111935	0.0462912	0.204509	0.46843	0.239037
</S>	0.00800599	0.00561553	0.0100681	0.0170838	0.00327623	0.0378793	0.236	0.0780846	0.603986
