 	c'	est	lui	qui	a	embourbé	le	véhicule	à	l'	entrée	d'	ekyembe	</S>
w	0.35173	0.208559	0.211412	0.18543	0.0318437	0.00410758	0.00461275	0.000367092	0.000887962	0.000458211	0.000297656	0.000239658	4.09858e-05	1.31371e-05
a	0.401227	0.308532	0.113092	0.0733699	0.0493156	0.011051	0.0337556	0.00260743	0.00323768	0.00145517	0.00041083	0.00109352	0.000839279	1.33124e-05
m	0.0525924	0.188756	0.459318	0.169498	0.0703044	0.0129267	0.0279554	0.0042554	0.00479091	0.00535249	0.00156777	0.00172198	0.000244866	0.000715681
b	0.120211	0.226696	0.377429	0.15515	0.080041	0.0245279	0.0076921	0.000456102	0.00258765	0.00167137	0.000462626	0.000499721	0.000108245	0.00246739
í	0.0544932	0.218215	0.212202	0.176948	0.134075	0.17151	0.00823445	0.00377188	0.00513101	0.00655963	0.0022802	0.0017278	0.00059236	0.00425992
m	0.13363	0.296651	0.249487	0.124119	0.0768833	0.0853871	0.00161541	0.000768685	0.00235949	0.00155814	0.000912168	0.000856138	0.000343265	0.02543
o	0.219626	0.264128	0.160805	0.236013	0.0866557	0.0141009	0.00606985	0.00210185	0.00297165	0.00164562	0.000359938	0.000570453	0.000331324	0.00462057
r	0.17114	0.315219	0.0720003	0.197781	0.162934	0.00141403	0.0502166	0.0219552	0.00182367	0.00129853	0.000356214	0.000482582	0.000560035	0.00281965
o	0.143379	0.102646	0.0693439	0.621166	0.0450712	0.000824317	0.0047275	0.00324649	0.00461476	0.000978738	0.000780562	0.000463823	0.000136811	0.00262053
y	0.0497738	0.0691526	0.214281	0.310404	0.252889	0.0177876	0.0386932	0.00604525	0.0130189	0.00785336	0.00565612	0.00392726	0.000858198	0.00965952
e	0.250301	0.154846	0.216065	0.268345	0.0722689	0.00104819	0.0143354	0.0062039	0.00442647	0.00574281	0.00112228	0.00115697	0.000550394	0.0035875
e	0.116803	0.0493529	0.411451	0.222716	0.117485	0.0103583	0.0353962	0.00622115	0.00599934	0.00932896	0.00255526	0.00331443	0.00089159	0.00812594
b	0.00956925	0.0338826	0.0110168	0.0277703	0.283953	0.147911	0.267755	0.185748	0.00746746	0.00521641	0.00448906	0.00172004	0.00422829	0.00927365
h	0.00177843	0.00713581	0.00229006	0.00184446	0.0548551	0.891239	0.0213239	0.015865	0.000981455	0.000618288	0.000158243	0.000211193	0.000532445	0.00116711
á	0.00201312	0.00802949	0.00290126	0.00384535	0.121794	0.756232	0.0559604	0.0328115	0.00364751	0.001297	0.00105579	0.00146484	0.00162201	0.00732597
r	0.000815257	0.00530015	0.00638937	0.00781489	0.120423	0.748577	0.0360916	0.0222284	0.00379036	0.00337167	0.00221274	0.00102309	0.00367085	0.0382916
í	0.0396567	0.0391726	0.121051	0.192504	0.218351	0.133373	0.0411284	0.0243514	0.0606969	0.0230909	0.0496908	0.00727982	0.0019967	0.0476563
s	0.00333406	0.00878123	0.054342	0.0643607	0.16676	0.427697	0.200682	0.0185855	0.0215665	0.00753856	0.00506211	0.00263287	0.000684262	0.0179743
í	0.0127681	0.0238187	0.0283457	0.0720903	0.215179	0.0978066	0.202325	0.0581923	0.136299	0.0511828	0.0256831	0.00988359	0.00219802	0.0642275
o	0.0136159	0.0137464	0.0596337	0.136839	0.14058	0.045174	0.385399	0.0516459	0.0741455	0.0424073	0.0196827	0.00644819	0.00326641	0.00741691
