 	où	la	chèvre	est	attachée	il	faut	qu'	elle	broute	</S>
m	0.519624	0.254737	0.136984	0.0398504	0.00623748	0.0179728	0.0129181	0.00439589	0.00398898	0.00302503	0.000265478
b	0.0621688	0.183079	0.433612	0.211236	0.0115855	0.00975723	0.0239548	0.0157058	0.0215212	0.00195839	0.0254222
ó	0.031973	0.144421	0.766007	0.00739889	0.00532627	0.00654935	0.0338884	0.00176797	0.000724804	0.00128875	0.000654958
s	0.0355955	0.206107	0.739668	0.00270055	0.00121335	0.000647338	0.00499825	0.000609592	0.000287105	0.000238901	0.00793448
i	0.13721	0.182577	0.557462	0.0174033	0.0219111	0.0126684	0.00608148	0.00414322	0.0041037	0.00769145	0.0487494
a	0.301334	0.23821	0.137493	0.247522	0.00704023	0.0150056	0.00431038	0.0114267	0.00525498	0.000398645	0.0320047
d	0.0672335	0.234876	0.0898834	0.343538	0.0652079	0.0230638	0.0154801	0.0527732	0.0551749	0.0163201	0.0364492
í	0.0158519	0.136926	0.0898095	0.453696	0.0261928	0.0250351	0.00404622	0.0383137	0.0329644	0.00133736	0.175827
o	0.0203112	0.0520645	0.0355389	0.366816	0.14924	0.0782358	0.00794348	0.0463796	0.0442575	0.0102138	0.189
k	0.000947311	0.0105527	0.00920595	0.131808	0.808533	0.00733864	0.00244424	0.00468564	0.00321536	0.0107113	0.0105578
a	9.15242e-05	0.00215171	0.000582575	0.00588125	0.953279	0.00461948	0.000942119	0.00381943	0.00179205	0.00820802	0.0186324
n	8.50792e-05	0.00411843	0.00604041	0.0211353	0.914473	0.0153063	0.00537122	0.00491047	0.00248211	0.00722812	0.0188496
g	0.00314411	0.0261483	0.0069144	0.109469	0.651002	0.070633	0.0264459	0.0164044	0.0085965	0.00837759	0.0728647
á	0.0147665	0.0436392	0.0472481	0.0545317	0.453618	0.209213	0.0567534	0.0174961	0.00890623	0.00871205	0.0851159
k	0.00565312	0.00815328	0.0092728	0.171843	0.21572	0.354876	0.114661	0.0664834	0.0267722	0.0032471	0.0233181
a	0.00103703	0.00148333	0.000526733	0.0028337	0.680719	0.112053	0.126275	0.0217734	0.00398047	0.0365317	0.0127863
n	0.000383428	0.00146018	0.00272315	0.0123384	0.337663	0.208049	0.243097	0.0540425	0.0145037	0.0123114	0.113427
g	0.00185344	0.0052721	0.00202918	0.0151551	0.541853	0.219103	0.110901	0.032367	0.0172494	0.00816751	0.0460494
a	0.00166882	0.00357062	0.00317668	0.0111424	0.453945	0.312575	0.129423	0.0208814	0.00697569	0.00436661	0.0522745
ó	0.00454919	0.00514685	0.00166468	0.0299065	0.0215919	0.231541	0.143449	0.318432	0.177682	0.00546742	0.060569
p	0.00247127	0.0129294	0.00415816	0.0154944	0.0146838	0.0520726	0.0632663	0.45217	0.233255	0.107587	0.0419123
e	0.000203686	0.00214302	0.00100056	0.00154879	0.0521454	0.0294727	0.0441733	0.096964	0.0746335	0.628996	0.0687186
w	0.000816115	0.00189004	0.00165816	0.00199563	0.0200188	0.0646681	0.137194	0.152081	0.143848	0.367284	0.108546
a	0.00123944	0.000963288	0.000381476	0.00357677	0.015442	0.0717426	0.17839	0.194713	0.307706	0.121869	0.103975
k	0.00298017	0.00111336	0.00104047	0.00616567	0.0019151	0.0459025	0.0482186	0.202367	0.505604	0.0594049	0.125288
á	0.000478162	0.000830641	0.000608643	0.000688661	0.0219691	0.0953388	0.140605	0.173075	0.207448	0.274919	0.0840398
a	0.000940067	0.00126253	0.00150891	0.000556029	0.00144512	0.0227872	0.0594676	0.0703658	0.0904101	0.684851	0.0664055
l	0.00032363	0.00028815	0.000199465	0.00261283	0.000922769	0.012231	0.021392	0.163866	0.586938	0.0664148	0.144811
á	0.00148065	0.00454125	0.000746429	0.00481525	0.00479212	0.0316751	0.0192664	0.179085	0.452761	0.0578383	0.242999
a	0.00247732	0.00233687	0.00692514	0.00577961	0.00315418	0.0498687	0.0767644	0.0940958	0.327281	0.257326	0.173991
d	0.000610599	0.00303663	0.000732411	0.00499251	0.0156796	0.00419943	0.00298195	0.0705004	0.21444	0.422977	0.25985
z	2.49685e-05	0.00103917	0.000253354	0.00198994	0.00425177	0.00307314	0.000603717	0.0530098	0.122565	0.2258	0.587389
á	0.000319057	0.00294876	0.00416159	0.00574795	0.00378194	0.0145354	0.00760488	0.125063	0.109918	0.478674	0.247246
a	0.000745432	0.000420823	0.000366077	0.00172359	0.00154134	0.0284601	0.0118201	0.0705213	0.126646	0.245384	0.512371
</S>	0.00134979	0.00328215	0.00143856	0.00921272	0.0109952	0.01538	0.00603778	0.0854642	0.242694	0.0716454	0.5525
