 	ton	habit-là	est	bien	usé	</S>
o	0.690208	0.27	0.0265318	0.0115856	0.000986232	0.000688368
k	0.0590358	0.926705	0.00591222	0.00339691	0.00373486	0.00121523
á	0.0107673	0.952149	0.0117123	0.00626644	0.0141017	0.00500299
n	0.0199833	0.77271	0.0526337	0.0537371	0.0384187	0.0625167
d	0.239222	0.724412	0.0147669	0.00565806	0.00148032	0.0144608
á	0.25832	0.510634	0.0425781	0.0142581	0.00521922	0.168991
m	0.503309	0.097452	0.242576	0.0845314	0.0134308	0.0587013
á	0.268672	0.230571	0.406318	0.0404005	0.00602087	0.048018
n	0.894855	0.0417412	0.0438272	0.00908423	0.00262151	0.00787048
ω	0.980186	0.007513	0.00719339	0.00208215	0.000201478	0.00282399
m	0.066696	0.0527852	0.707057	0.0441893	0.00894818	0.120324
ú	0.0626138	0.16543	0.51915	0.103892	0.0233816	0.125533
á	0.0133903	0.0424417	0.749418	0.133904	0.0122341	0.0486109
m	0.0253918	0.0143968	0.292602	0.445677	0.155287	0.0666456
i	0.00694696	0.00812184	0.355911	0.343924	0.103318	0.181778
s	0.000748674	0.0196369	0.154546	0.36009	0.423516	0.0414628
á	0.00107008	0.00731604	0.0892472	0.424947	0.41698	0.0604395
á	0.0103321	0.00168723	0.0880152	0.347999	0.256111	0.295855
o	0.0112258	0.00362804	0.0590796	0.439426	0.395973	0.0906676
y	0.000382571	0.0060225	0.00925834	0.088117	0.869042	0.0271776
o	0.00161169	0.00334031	0.0230434	0.160468	0.753298	0.0582387
a	0.00136481	0.00140566	0.0382197	0.147079	0.317102	0.494829
</S>	0.00390996	0.000315449	0.0104851	0.310687	0.119017	0.555586
