 	nous	sommes	en	train	de	marcher	dans	la	forêt	</S>
b	0.667518	0.177159	0.0927116	0.0460454	0.00737314	0.00108731	0.000988284	0.00303368	0.00355925	0.000524139
í	0.933503	0.0194953	0.0257873	0.0191936	0.000150421	0.0011542	0.000181272	0.000226092	0.000212057	9.64474e-05
s	0.956871	0.0320311	0.00759082	0.00307743	5.16314e-05	0.000329339	1.74062e-05	4.4008e-06	4.95779e-06	2.22825e-05
í	0.369795	0.450415	0.101461	0.0214761	0.00386678	0.0285181	0.00877063	0.00206467	0.00630265	0.00732983
b	0.13732	0.429484	0.175495	0.0505586	0.0334717	0.0152329	0.0140226	0.00778313	0.00579223	0.130839
ó	0.0846533	0.0308633	0.255364	0.166416	0.0721373	0.0963725	0.0851076	0.0552178	0.0299721	0.123896
l	0.0396298	0.287919	0.0837124	0.0152156	0.158167	0.0660055	0.109685	0.0574516	0.0196878	0.162526
é	0.0689297	0.0812322	0.0342765	0.0117464	0.111717	0.41472	0.124434	0.0419369	0.0190052	0.0920013
e	0.0286818	0.118934	0.0783166	0.0122329	0.270029	0.30077	0.0962332	0.064966	0.017046	0.0127912
b	0.00840233	0.0673985	0.0289578	0.00678622	0.383831	0.239859	0.156052	0.0495608	0.00795991	0.0511923
h	0.0205326	0.234294	0.107244	0.0322016	0.249087	0.272683	0.0607135	0.00718633	0.00273368	0.0133245
é	0.00969286	0.405915	0.0661134	0.036333	0.127382	0.217495	0.0985316	0.0161091	0.00682909	0.0155986
m	0.00718045	0.0329725	0.0773247	0.0635933	0.150726	0.35945	0.179833	0.0693051	0.0185308	0.0410842
b	0.00466445	0.00273325	0.00412051	0.0017131	0.12125	0.294363	0.428791	0.0694275	0.0205789	0.0523571
á	0.00108926	0.00223775	0.0101525	0.00445019	0.0457389	0.45565	0.286852	0.0924279	0.0432698	0.0581319
s	0.000842384	0.00206973	0.00263554	0.00170283	0.0657106	0.134524	0.397655	0.307348	0.0638364	0.0236765
á	0.0655461	0.00946261	0.00179479	9.14581e-05	0.0141801	0.0506954	0.300644	0.267866	0.203469	0.0862507
k	0.0292068	0.001398	0.00114521	0.000187901	0.0124369	0.00694761	0.0499577	0.233395	0.650154	0.0151709
ώ	0.00418621	0.0010702	0.00208388	0.000835436	0.000941322	0.00365869	0.023806	0.0666374	0.883938	0.0128432
</S>	0.00538933	0.000184602	0.00556901	0.0150344	0.00246425	0.0056228	0.00900718	0.0238639	0.904327	0.0285373
