 	il	a	contourné	ma	parcelle	parce	qu'	il	me	doit	de	l'	argent	</S>
w	0.818207	0.0613348	0.0346871	0.0158054	0.0193382	0.0138279	0.0152883	0.00429933	0.00725839	0.00133216	0.000983372	0.00738649	0.000154723	9.71627e-05
a	0.871778	0.0275732	0.00964706	0.0432875	0.0154206	0.00855198	0.00708718	0.00273173	0.00915663	0.000260593	0.000400214	0.00304058	0.0010337	3.04303e-05
á	0.160553	0.593845	0.0367301	0.0201538	0.0261794	0.00996994	0.0308856	0.039385	0.0279018	0.00949249	0.0113869	0.0229873	0.0060051	0.00452517
b	0.071578	0.402786	0.0835946	0.0383257	0.0289901	0.0173866	0.0330228	0.0727711	0.0788411	0.0590515	0.040721	0.0224558	0.00405568	0.0464198
h	0.103398	0.324248	0.227196	0.0595027	0.0763305	0.0262548	0.0459814	0.0346857	0.0371517	0.0242027	0.0127359	0.00621696	0.00103745	0.0210581
e	0.0161985	0.176043	0.721922	0.0246968	0.0260796	0.000789522	0.00324929	0.00553925	0.0124553	0.00370185	0.00512875	0.00166499	0.000102366	0.00242904
n	0.00545311	0.103593	0.718515	0.0265094	0.0916087	0.00191319	0.00193212	0.00255456	0.0031456	0.00181071	0.00970442	0.00167919	0.00145301	0.0301278
d	0.0653196	0.272001	0.275224	0.0966083	0.0854859	0.0192363	0.0317799	0.0285497	0.0323093	0.00859824	0.0188304	0.0159316	0.000578213	0.0495474
i	0.0322957	0.148118	0.386634	0.170458	0.0763938	0.0196255	0.015232	0.0152695	0.056795	0.00263587	0.0045981	0.00925767	0.00301115	0.0596757
e	0.0200597	0.0489962	0.0735357	0.264429	0.324951	0.113005	0.0567393	0.0238778	0.0202223	0.00654933	0.0103188	0.01592	0.00333214	0.0180636
f	0.00379437	0.0147964	0.192145	0.0763165	0.592565	0.0548411	0.024669	0.00865055	0.00373185	0.0110431	0.0070693	0.00192722	0.00135661	0.00709392
u	0.00207541	0.0251372	0.0621582	0.0283852	0.694764	0.0337635	0.0463085	0.0195859	0.00636129	0.0327143	0.0286131	0.00298706	0.00497305	0.0121733
n	0.000278493	0.0103739	0.175743	0.0382416	0.548841	0.0427203	0.0269508	0.0122969	0.00344957	0.0252481	0.0451919	0.00711178	0.00244722	0.0611053
d	0.00434731	0.0260559	0.149369	0.062591	0.481172	0.0377859	0.0250627	0.00911629	0.0112285	0.0147747	0.0463625	0.0112528	0.00143654	0.119444
u	0.00751449	0.0208715	0.127374	0.0732649	0.599032	0.0354598	0.0235239	0.00593761	0.0103786	0.00256373	0.00951202	0.00556114	0.00107152	0.0779341
y	0.00431101	0.00898574	0.0165585	0.128258	0.386716	0.143667	0.199007	0.040023	0.0096989	0.0093208	0.0114951	0.0103219	0.000455641	0.031181
á	0.00513271	0.0149154	0.00312861	0.399587	0.264345	0.0769803	0.129136	0.0486782	0.00965799	0.00279089	0.0040147	0.0167328	0.00799607	0.016904
n	0.00175735	0.00211463	0.00337287	0.212062	0.0618171	0.402368	0.176839	0.0671113	0.0450268	0.00573411	0.00347992	0.0150712	0.000867563	0.0023781
g	0.000337715	0.000408576	0.000833419	0.615623	0.0610496	0.0787052	0.0378879	0.013507	0.161214	0.00408984	0.00350407	0.00700627	0.00896137	0.00687198
á	0.000841835	0.000705588	0.00176115	0.17396	0.036291	0.0956714	0.0465528	0.0472551	0.468504	0.012086	0.00709655	0.0171915	0.0790037	0.0130795
t	0.000888218	0.00158607	0.000939956	0.029478	0.0351474	0.140609	0.455489	0.179893	0.0749652	0.0328291	0.0160977	0.024447	0.00231932	0.00531128
s	0.00211615	0.00362059	0.00133516	0.041884	0.122771	0.128744	0.343593	0.197325	0.0167056	0.0886471	0.0307855	0.0113784	0.000688944	0.0104053
i	0.000233897	0.000894749	0.00465951	0.0115337	0.0838744	0.121574	0.227797	0.190752	0.0803846	0.155429	0.0723817	0.00807537	0.000605722	0.0418041
n	0.00102402	0.00236587	0.00733896	0.0841156	0.0761929	0.177291	0.207287	0.128824	0.12511	0.0641164	0.0278597	0.0121435	0.00269895	0.0836324
a	0.00138537	0.00194535	0.0101086	0.0924661	0.0384787	0.114164	0.127932	0.0822456	0.385806	0.0144695	0.00597195	0.0107318	0.0132396	0.101055
w	0.000517865	0.00111216	0.000298838	0.0212474	0.0181255	0.0614447	0.217382	0.248383	0.232361	0.0917522	0.0368401	0.0581795	0.0023776	0.00997763
a	0.00116795	0.00228428	0.00099618	0.0243503	0.0272804	0.0976924	0.292321	0.159648	0.0770283	0.129241	0.0564567	0.0573498	0.00506973	0.0691139
