 	creuser	un	trou	est	une	entreprise	difficile	</S>
i	0.266152	0.425825	0.206101	0.0702267	0.0242273	0.00400419	0.00335408	0.000109955
t	0.203827	0.674982	0.023763	0.0592194	0.0219185	0.0117881	0.00334928	0.00115208
s	0.093455	0.62687	0.0873525	0.133977	0.0345772	0.00304745	0.017082	0.00363934
í	0.310036	0.45696	0.12281	0.0609105	0.0263873	0.00183101	0.00903297	0.0120323
m	0.195633	0.229805	0.2552	0.112295	0.139276	0.00770092	0.00906821	0.0510231
a	0.234431	0.281434	0.113134	0.186586	0.166441	0.00441808	0.000268462	0.0132877
l	0.237463	0.0863532	0.153147	0.199315	0.171852	0.0632676	0.00813343	0.0804684
í	0.302692	0.0659821	0.0621261	0.104851	0.0815175	0.2494	0.00794704	0.125485
b	0.211372	0.0618908	0.253682	0.23703	0.157111	0.0351601	0.0177488	0.0260058
é	0.186813	0.143018	0.0519518	0.116053	0.190053	0.232577	0.0298576	0.049677
á	0.0798923	0.117872	0.112704	0.114724	0.180662	0.311173	0.0333825	0.0495899
í	0.0100025	0.00552623	0.0275776	0.127323	0.240895	0.388642	0.0844078	0.115626
d	0.0146379	0.0111706	0.010537	0.0398012	0.116964	0.447918	0.281705	0.0772671
í	0.0210403	0.00295216	0.00196603	0.0104821	0.0334326	0.414873	0.0642725	0.450981
l	0.0112663	0.00238553	0.00494874	0.0488085	0.107478	0.157778	0.190009	0.477326
a	0.0246721	0.00534795	0.0112321	0.0323781	0.05073	0.0475604	0.413609	0.41447
k	0.0950774	0.0345358	0.0194125	0.0352007	0.038048	0.015839	0.551629	0.210258
y	0.0148424	0.0235391	0.00871828	0.00884309	0.016156	0.0239949	0.723179	0.180727
έ	0.00990234	0.00211903	0.0024112	0.00186633	0.00381061	0.00383535	0.887103	0.0889525
r	0.00611866	0.00351158	0.00420695	0.00501233	0.010916	0.00340857	0.343174	0.623652
ε	0.0113446	0.00932185	0.0039106	0.0109793	0.0195726	0.00387558	0.503282	0.437713
</S>	0.0180337	0.0166037	0.0209013	0.059064	0.0768876	0.00326939	0.141775	0.663465
