 	va	nettoyer	les	assiettes	</S>
d	0.972474	0.00437	0.0166588	0.00639949	9.81806e-05
z	0.967368	0.00356375	0.00701339	0.0148724	0.00718221
w	0.71744	0.275584	0.0040853	0.000513831	0.00237652
a	0.846678	0.134424	0.0122092	0.00161027	0.00507884
á	0.187133	0.257089	0.0298619	0.000889568	0.525027
o	0.199034	0.310653	0.371278	0.00685633	0.112178
s	0.0379173	0.935411	0.0121261	0.00758319	0.00696205
u	0.0062275	0.988542	0.00218611	0.00181603	0.00122786
s	0.25325	0.380171	0.275848	0.0108155	0.0799144
á	0.0416472	0.22959	0.64891	0.0247957	0.0550563
a	0.0150745	0.0191011	0.706594	0.216088	0.0431426
s	0.00521677	0.00542353	0.0498435	0.915572	0.0239447
a	0.00645832	0.0113276	0.0620055	0.86924	0.0509691
á	0.00347877	0.00376013	0.131673	0.125565	0.735523
n	0.0022266	0.00211822	0.159148	0.53637	0.300136
i	0.000947498	0.000172345	0.0135675	0.870236	0.115076
</S>	0.000873745	0.000626115	0.0980193	0.036705	0.863776
