 	cet	élève	a	porté	un	chapeau	pour	se	protéger	contre	le	soleil	</S>
m	0.789043	0.149095	0.0257529	0.00667133	0.010046	0.005276	0.00547322	0.00254329	0.00346605	0.00089146	0.00140335	0.000290292	4.77087e-05
w	0.500406	0.128526	0.211291	0.0509475	0.0345588	0.00379957	0.00977813	0.0167957	0.00630997	0.00656322	0.00370953	0.00489506	0.0224203
á	0.583974	0.0837859	0.125238	0.00560512	0.00695552	0.0032962	0.00246111	0.00311072	0.000994775	0.00107891	0.000812018	0.182277	0.000410786
n	0.474746	0.158363	0.073978	0.071177	0.0341183	0.00254109	0.0183742	0.0351207	0.0201396	0.0125	0.00326054	0.0366733	0.0590087
a	0.167429	0.100463	0.092189	0.185478	0.0467101	0.0117188	0.0411912	0.0354479	0.0129441	0.0181189	0.00454113	0.070819	0.212949
y	0.507279	0.283779	0.119739	0.0295955	0.00888693	0.0020776	0.0108416	0.00735036	0.00752143	0.0062204	0.00505832	0.00166674	0.00998432
a	0.437614	0.265526	0.106304	0.0117413	0.0297075	0.023603	0.0368657	0.0222995	0.00952287	0.0174765	0.0130791	0.0111737	0.0150864
l	0.201021	0.206447	0.352992	0.0352039	0.0243259	0.0107071	0.0448414	0.0260513	0.0075603	0.0116271	0.0138536	0.0217884	0.043581
e	0.146114	0.221348	0.268185	0.191077	0.0426556	0.00482939	0.0121028	0.0176472	0.00762985	0.0229132	0.00455174	0.00635551	0.0545912
k	0.141366	0.16818	0.34081	0.103553	0.0820352	0.0158575	0.0307509	0.0270919	0.0165944	0.0210624	0.0169534	0.00658481	0.0291601
ώ	0.0218648	0.401432	0.300489	0.0683534	0.0393499	0.117802	0.00517153	0.00847052	0.00850473	0.0156765	0.00257509	0.000308751	0.0100025
ώ	0.0175211	0.426599	0.167357	0.0493599	0.0492393	0.0536306	0.027767	0.0280632	0.0517618	0.0468904	0.027314	0.00539684	0.0490996
l	0.0643084	0.0470005	0.556209	0.0773072	0.124022	0.023785	0.0373826	0.0163377	0.0149815	0.00735733	0.0130522	0.00224718	0.0160092
i	0.0105644	0.018919	0.17377	0.397876	0.0994358	0.0217743	0.0296966	0.0332821	0.0194546	0.0314915	0.00701173	0.00281887	0.153905
w	0.0239136	0.0101583	0.175306	0.191883	0.318589	0.0525201	0.104926	0.0351576	0.0164706	0.0103204	0.0155276	0.0076174	0.0376102
ó	0.00645704	0.0129295	0.152844	0.0838959	0.168925	0.17975	0.155307	0.0747461	0.0274558	0.0420923	0.0308607	0.00448144	0.0602553
á	0.00780467	0.00592733	0.0784424	0.180857	0.233209	0.10695	0.181007	0.0699187	0.0202867	0.0202461	0.0097016	0.0011952	0.0844534
l	0.00440769	0.0235318	0.0392756	0.289787	0.178949	0.117355	0.0889719	0.0890178	0.0852187	0.025691	0.00743479	0.000861682	0.0494979
á	0.000889193	0.0102615	0.0399809	0.425327	0.149358	0.0952339	0.0563162	0.092574	0.0653637	0.0362318	0.00533401	0.000289345	0.0228404
r	0.0012002	0.00916754	0.0316046	0.277593	0.15669	0.277139	0.0695417	0.0667859	0.0463014	0.0241729	0.00676059	0.00201059	0.0310324
i	0.00221742	0.00993136	0.0569163	0.0436872	0.318145	0.321281	0.138016	0.0626777	0.0158591	0.015077	0.00835557	0.00162662	0.0062106
