 	va	l'	avertir	que	je	suis	de	retour	</S>
d	0.866482	0.107951	0.00978993	0.00950436	0.00335397	0.00143218	0.00123642	0.0002034	4.75082e-05
z	0.824549	0.0332244	0.00391848	0.00408037	0.0614313	0.0129561	0.0136535	0.0168861	0.0293007
w	0.916933	0.0575451	0.00694147	0.00172777	0.00871198	0.00237447	0.00109386	0.00296664	0.00170604
a	0.389615	0.238062	0.0279738	0.0272972	0.0731747	0.0209178	0.0102386	0.0115445	0.201177
á	0.34168	0.326754	0.0503328	0.0213243	0.00898209	0.0103957	0.00861611	0.00177333	0.230141
ω	0.100899	0.605613	0.148853	0.0710859	0.025321	0.0138392	0.0127837	0.00105573	0.0205498
s	0.00273088	0.155583	0.750376	0.0133383	0.0109132	0.0388732	0.0125277	0.00499904	0.0106591
ε	0.0134343	0.326557	0.53974	0.0171381	0.027805	0.0448092	0.00918178	0.00359276	0.0177421
r	0.00423621	0.129544	0.46308	0.0419288	0.0297751	0.08635	0.0706531	0.0159349	0.158498
έ	0.0894137	0.0597035	0.497727	0.0956399	0.0319969	0.0728912	0.0789081	0.0305243	0.0431954
w	0.0174295	0.0664053	0.303248	0.529171	0.0525457	0.0133069	0.0103137	0.00287102	0.00470884
a	0.0808436	0.10974	0.237068	0.35934	0.099001	0.0351703	0.032367	0.011745	0.0347252
w	0.00345438	0.0125633	0.0349098	0.699987	0.16817	0.00990988	0.0133127	0.00458295	0.0531102
á	0.00875152	0.0294023	0.12859	0.461659	0.0981038	0.105833	0.0738853	0.0284942	0.0652801
r	0.00263019	0.0102094	0.0296287	0.409966	0.36897	0.0518638	0.0309556	0.0168165	0.078959
e	0.00311698	0.0144358	0.00715545	0.0805554	0.772103	0.0279745	0.0117433	0.0101025	0.0728135
n	0.000352646	0.0100462	0.0102724	0.194185	0.648984	0.088901	0.0238837	0.00463447	0.0187406
g	0.00152908	0.00954146	0.00469204	0.0429047	0.845779	0.032832	0.00957033	0.00574505	0.0474062
á	0.000207401	0.00168465	0.00481175	0.0242239	0.907407	0.0371031	0.00767233	0.00769624	0.00919374
í	0.00157492	0.00273133	0.00497479	0.091875	0.184607	0.39826	0.248584	0.0324046	0.0349879
m	0.000701292	0.00830833	0.019151	0.0224227	0.0687111	0.401624	0.401261	0.0431288	0.0346925
i	0.00171878	0.0126568	0.0022409	0.00471571	0.00858282	0.158574	0.540171	0.185959	0.0853815
s	0.000201005	0.00188721	0.0117403	0.00186169	0.00891952	0.350858	0.400841	0.132012	0.0916784
á	0.000119648	0.00362934	0.0113507	0.00207939	0.0179386	0.351625	0.238951	0.196985	0.177321
á	0.000363743	0.000986947	0.00498833	0.00932941	0.0182081	0.182641	0.287224	0.14277	0.353489
o	0.00195275	0.00292668	0.00448782	0.0265658	0.0561892	0.0615818	0.307005	0.379442	0.159849
b	0.000155676	0.00171279	0.00699704	0.00123829	0.00271641	0.0534878	0.155511	0.687931	0.0902497
v	0.000567644	0.00713852	0.0538206	0.00532981	0.00279988	0.205577	0.27975	0.380769	0.0642469
ú	0.00097827	0.00242414	0.0202339	0.00603834	0.0029758	0.178574	0.172135	0.50802	0.10862
r	0.00042596	0.0013417	0.00283233	0.0105792	0.00886657	0.0513349	0.136249	0.285632	0.502738
a	0.000612588	0.000644911	0.0019439	0.00551233	0.00755465	0.0555718	0.133902	0.59011	0.204148
</S>	8.39413e-05	0.000357998	0.00212899	0.00365264	0.00259019	0.0328376	0.149745	0.0964855	0.712118
